question,answer,comments,instruction
墺,"オーストリア","オーストリア : [墺地利] , 墺地利亜 , 墺太利","Guess the Country's name from the first Kanji"
荷,"オランダ","オランダ : 荷蘭","Guess the Country's name from the first Kanji"
和,"オランダ,バチカン","オランダ : [和蘭] , 和蘭陀
バチカン : 和地関","Guess the Country's name from the first Kanji"
加,"カナダ","カナダ : [加奈陀]","Guess the Country's name from the first Kanji"
韓,"かんこく","かんこく : [韓国]","Guess the Country's name from the first Kanji"
柬,"カンボジア","カンボジア : 柬埔寨 , 柬蒲塞","Guess the Country's name from the first Kanji"
北,"きたちょうせん","きたちょうせん : [北朝鮮]","Guess the Country's name from the first Kanji"
幾,"ギニア","ギニア : [幾内亜]","Guess the Country's name from the first Kanji"
銀,"ギニア","ギニア : 銀名","Guess the Country's name from the first Kanji"
玖,"キューバ","キューバ : 玖馬","Guess the Country's name from the first Kanji"
希,"ギリシャ","ギリシャ : [希臘]","Guess the Country's name from the first Kanji"
科,"クウェート","クウェート : 科威都","Guess the Country's name from the first Kanji"
呉,"クロアチア","クロアチア : 呉呂茶","Guess the Country's name from the first Kanji"
象,"コートジボワール","コートジボワール : 象牙海岸","Guess the Country's name from the first Kanji"
哥,"コロンビア","コロンビア : [哥倫比亜]","Guess the Country's name from the first Kanji"
公,"コンゴ共和国,コンゴ民主共和国","コンゴ共和国 : 公果 , 公額
コンゴ民主共和国 : 公果 , 公額","Guess the Country's name from the first Kanji"
牙,"ジャマイカ","ジャマイカ : [牙買加]","Guess the Country's name from the first Kanji"
叙,"シリア","シリア : [叙利亜]","Guess the Country's name from the first Kanji"
星,"シンガポール","シンガポール : 星港","Guess the Country's name from the first Kanji"
新,"シンガポール,ニュージーランド","シンガポール : [新嘉坡]
ニュージーランド : [新西蘭]","Guess the Country's name from the first Kanji"
瑞,"スイス,スウェーデン","スイス : [瑞西] , 瑞士
スウェーデン : [瑞典]","Guess the Country's name from the first Kanji"
蘇,"スーダン","スーダン : [蘇丹]","Guess the Country's name from the first Kanji"
西,"スペイン","スペイン : [西班牙]","Guess the Country's name from the first Kanji"
錫,"スリランカ","スリランカ : 錫蘭","Guess the Country's name from the first Kanji"
塞,"セルビア","セルビア : 塞爾維 , 塞爾維亜","Guess the Country's name from the first Kanji"
泰,"タイ","タイ : [泰] , 泰国","Guess the Country's name"
台,"たいわん","たいわん : [台湾] , 台灣","Guess the Country's name from the first Kanji"
臺,"たいわん","たいわん : 臺灣","Guess the Country's name from the first Kanji"
捷,"チェコ","チェコ : 捷克","Guess the Country's name from the first Kanji"
中,"ちゅうごく","ちゅうごく : [中国]","Guess the Country's name from the first Kanji"
突,"チュニジア","チュニジア : [突尼斯]","Guess the Country's name from the first Kanji"
智,"チリ","チリ : [智利]","Guess the Country's name from the first Kanji"
丁,"デンマーク","デンマーク : [丁抹]","Guess the Country's name from the first Kanji"
嗹,"デンマーク","デンマーク : 嗹国 , 嗹馬","Guess the Country's name from the first Kanji"
独,"ドイツ","ドイツ : [独逸] , 独乙","Guess the Country's name from the first Kanji"
土,"ドミニカ共和国,ドミニカ国,トルコ","ドミニカ共和国 : 土弥尼加
ドミニカ国 : 土弥尼加
トルコ : [土耳古] , 土耳其","Guess the Country's name from the first Kanji"
尼,"ニカラグア,ネパール","ニカラグア : 尼加拉瓦 , 尼喀拉瓜 , 尼喀拉瓦
ネパール : 尼波羅","Guess the Country's name from the first Kanji"
日,"にほん,にっぽん","にほん,にっぽん : [日本]","Guess the Country's name from the first Kanji"
捏,"ネパール","ネパール : 捏巴爾","Guess the Country's name from the first Kanji"
諾,"ノルウェー","ノルウェー : [諾威]","Guess the Country's name from the first Kanji"
那,"ノルウェー","ノルウェー : 那威","Guess the Country's name from the first Kanji"
海,"ハイチ","ハイチ : 海地","Guess the Country's name from the first Kanji"
巴,"パキスタン,パナマ,パラグアイ,パレスチナ,ブラジル","パキスタン : 巴基斯担
パナマ : [巴奈馬]
パラグアイ : [巴拉圭]
パレスチナ : 巴勒斯旦
ブラジル : 巴西","Guess the Country's name from the first Kanji"
馬,"バハマ,マダガスカル,マレーシア","バハマ : 馬浜
マダガスカル : 馬達加斯加
マレーシア : 馬来西亜","Guess the Country's name from the first Kanji"
匈,"ハンガリー","ハンガリー : 匈牙利","Guess the Country's name from the first Kanji"
洪,"ハンガリー,ホンジュラス","ハンガリー : [洪牙利]
ホンジュラス : 洪都拉斯","Guess the Country's name from the first Kanji"
孟,"バングラデシュ","バングラデシュ : 孟加拉","Guess the Country's name from the first Kanji"
比,"フィリピン,ベルギー","フィリピン : [比律賓]
ベルギー : 比利時","Guess the Country's name from the first Kanji"
芬,"フィンランド","フィンランド : [芬蘭]","Guess the Country's name from the first Kanji"
不,"ブータン","ブータン : [不丹]","Guess the Country's name from the first Kanji"
伯,"ブラジル","ブラジル : [伯剌西爾]","Guess the Country's name from the first Kanji"
仏,"フランス","フランス : [仏蘭西] , 仏国","Guess the Country's name from the first Kanji"
勃,"ブルガリア","ブルガリア : [勃牙利]","Guess the Country's name from the first Kanji"
委,"ベネズエラ","ベネズエラ : [委内瑞拉]","Guess the Country's name from the first Kanji"
秘,"ペルー","ペルー : [秘露] , 秘魯","Guess the Country's name from the first Kanji"
白,"ベルギー","ベルギー : [白耳義]","Guess the Country's name from the first Kanji"
波,"ポーランド","ポーランド : [波蘭] , 波蘭土","Guess the Country's name from the first Kanji"
玻,"ボリビア","ボリビア : 玻利非亜 , 玻里非","Guess the Country's name from the first Kanji"
葡,"ポルトガル","ポルトガル : [葡萄牙]","Guess the Country's name from the first Kanji"
緬,"ミャンマー","ミャンマー : [緬甸]","Guess the Country's name from the first Kanji"
墨,"メキシコ","メキシコ : [墨西哥]","Guess the Country's name from the first Kanji"
毛,"モーリシャス","モーリシャス : 毛里求斯","Guess the Country's name from the first Kanji"
莫,"モザンビーク,モンゴル","モザンビーク : 莫三鼻給
モンゴル : 莫臥児","Guess the Country's name from the first Kanji"
摩,"モナコ,モロッコ","モナコ : 摩納哥
モロッコ : [摩洛哥]","Guess the Country's name from the first Kanji"
蒙,"モンゴル","モンゴル : 蒙古","Guess the Country's name from the first Kanji"
欧,"ヨーロッパ","ヨーロッパ : 欧羅巴","Guess the Country's name from the first Kanji"
老,"ラオス","ラオス : 老檛","Guess the Country's name from the first Kanji"
羅,"ラオス,ルーマニア","ラオス : 羅宇
ルーマニア : [羅馬尼亜] , 羅馬尼","Guess the Country's name from the first Kanji"
利,"リビア,リベリア","リビア : [利比亜]
リベリア : 利比利亜","Guess the Country's name from the first Kanji"
盧,"ルクセンブルク","ルクセンブルク : 盧森堡","Guess the Country's name from the first Kanji"
黎,"レバノン","レバノン : 黎巴嫩","Guess the Country's name from the first Kanji"
露,"ロシア","ロシア : [露西亜]","Guess the Country's name from the first Kanji"
魯,"ロシア","ロシア : 魯西亜","Guess the Country's name from the first Kanji"
愛撒,"アイスランド","アイスランド : 愛撒倫","Guess the Country's name from the first 2 Kanji"
愛斯,"アイスランド","アイスランド : 愛斯蘭","Guess the Country's name from the first 2 Kanji"
氷島,"アイスランド","アイスランド : 氷島","Guess the Country's name"
氷州,"アイスランド","アイスランド : 氷州","Guess the Country's name"
愛蘭,"アイルランド","アイルランド : [愛蘭] , 愛蘭土","Guess the Country's name"
亜細,"アジア","アジア : 亜細亜","Guess the Country's name from the first 2 Kanji"
阿富,"アフガニスタン","アフガニスタン : 阿富汗斯坦","Guess the Country's name from the first 2 Kanji"
阿弗,"アフリカ","アフリカ : 阿弗利加","Guess the Country's name from the first 2 Kanji"
亜米,"アメリカ","アメリカ : [亜米利加]","Guess the Country's name from the first 2 Kanji"
米利,"アメリカ","アメリカ : 米利堅","Guess the Country's name from the first 2 Kanji"
阿爾,"アルジェリア","アルジェリア : [阿爾及]","Guess the Country's name from the first 2 Kanji"
亜爾,"アルゼンチン","アルゼンチン : [亜爾然丁]","Guess the Country's name from the first 2 Kanji"
亜美,"アルメニア","アルメニア : 亜美尼亜","Guess the Country's name from the first 2 Kanji"
也門,"イエメン","イエメン : 也門","Guess the Country's name"
英吉,"イギリス","イギリス : [英吉利]","Guess the Country's name from the first 2 Kanji"
英国,"イギリス","イギリス : 英国","Guess the Country's name"
以色,"イスラエル","イスラエル : 以色列","Guess the Country's name from the first 2 Kanji"
以太,"イタリア","イタリア : 以太利","Guess the Country's name from the first 2 Kanji"
伊太,"イタリア","イタリア : [伊太利] , 伊太利亜","Guess the Country's name from the first 2 Kanji"
伊蘭,"イラン","イラン : 伊蘭","Guess the Country's name"
義蘭,"イラン","イラン : 義蘭","Guess the Country's name"
印度,"インド","インド : [印度]","Guess the Country's name"
烏克,"ウクライナ","ウクライナ : 烏克蘭","Guess the Country's name from the first 2 Kanji"
宇柳,"ウルグアイ","ウルグアイ : 宇柳貝","Guess the Country's name from the first 2 Kanji"
厄瓜,"エクアドル","エクアドル : [厄瓜多]","Guess the Country's name from the first 2 Kanji"
埃及,"エジプト","エジプト : [埃及]","Guess the Country's name"
越日,"エチオピア","エチオピア : 越日於比亜","Guess the Country's name from the first 2 Kanji"
澳大,"オーストラリア","オーストラリア : 澳大利亜","Guess the Country's name from the first 2 Kanji"
濠太,"オーストラリア","オーストラリア : [濠太剌利] , 濠太剌利亜","Guess the Country's name from the first 2 Kanji"
豪州,"オーストラリア","オーストラリア : 豪州","Guess the Country's name"
墺地,"オーストリア","オーストリア : [墺地利] , 墺地利亜","Guess the Country's name from the first 2 Kanji"
墺太,"オーストリア","オーストリア : 墺太利","Guess the Country's name from the first 2 Kanji"
阿曼,"オマーン","オマーン : 阿曼","Guess the Country's name"
和蘭,"オランダ","オランダ : [和蘭] , 和蘭陀","Guess the Country's name"
荷蘭,"オランダ","オランダ : 荷蘭","Guess the Country's name"
阿蘭,"オランダ","オランダ : 阿蘭陀","Guess the Country's name from the first 2 Kanji"
加奈,"カナダ","カナダ : [加奈陀]","Guess the Country's name from the first 2 Kanji"
韓国,"かんこく","かんこく : [韓国]","Guess the Country's name"
柬埔,"カンボジア","カンボジア : 柬埔寨","Guess the Country's name from the first 2 Kanji"
柬蒲,"カンボジア","カンボジア : 柬蒲塞","Guess the Country's name from the first 2 Kanji"
北朝,"きたちょうせん","きたちょうせん : [北朝鮮]","Guess the Country's name from the first 2 Kanji"
幾内,"ギニア","ギニア : [幾内亜]","Guess the Country's name from the first 2 Kanji"
銀名,"ギニア","ギニア : 銀名","Guess the Country's name"
玖馬,"キューバ","キューバ : 玖馬","Guess the Country's name"
希臘,"ギリシャ","ギリシャ : [希臘]","Guess the Country's name"
科威,"クウェート","クウェート : 科威都","Guess the Country's name from the first 2 Kanji"
呉呂,"クロアチア","クロアチア : 呉呂茶","Guess the Country's name from the first 2 Kanji"
象牙,"コートジボワール","コートジボワール : 象牙海岸","Guess the Country's name from the first 2 Kanji"
哥倫,"コロンビア","コロンビア : [哥倫比亜]","Guess the Country's name from the first 2 Kanji"
公果,"コンゴ共和国,コンゴ民主共和国","コンゴ共和国 : 公果
コンゴ民主共和国 : 公果","Guess the Country's name from the first 2 Kanji"
公額,"コンゴ共和国,コンゴ民主共和国","コンゴ共和国 : 公額
コンゴ民主共和国 : 公額","Guess the Country's name from the first 2 Kanji"
牙買,"ジャマイカ","ジャマイカ : [牙買加]","Guess the Country's name from the first 2 Kanji"
叙利,"シリア","シリア : [叙利亜]","Guess the Country's name from the first 2 Kanji"
新嘉,"シンガポール","シンガポール : [新嘉坡]","Guess the Country's name from the first 2 Kanji"
星港,"シンガポール","シンガポール : 星港","Guess the Country's name"
瑞士,"スイス","スイス : 瑞士","Guess the Country's name"
瑞西,"スイス","スイス : [瑞西]","Guess the Country's name"
瑞典,"スウェーデン","スウェーデン : [瑞典]","Guess the Country's name"
蘇丹,"スーダン","スーダン : [蘇丹]","Guess the Country's name"
西班,"スペイン","スペイン : [西班牙]","Guess the Country's name from the first 2 Kanji"
錫蘭,"スリランカ","スリランカ : 錫蘭","Guess the Country's name"
塞爾,"セルビア","セルビア : 塞爾維 , 塞爾維亜","Guess the Country's name from the first 2 Kanji"
泰国,"タイ","タイ : 泰国","Guess the Country's name"
台湾,"たいわん","たいわん : [台湾]","Guess the Country's name"
台灣,"たいわん","たいわん : 台灣","Guess the Country's name"
臺灣,"たいわん","たいわん : 臺灣","Guess the Country's name"
捷克,"チェコ","チェコ : 捷克","Guess the Country's name"
中国,"ちゅうごく","ちゅうごく : [中国]","Guess the Country's name"
突尼,"チュニジア","チュニジア : [突尼斯]","Guess the Country's name from the first 2 Kanji"
智利,"チリ","チリ : [智利]","Guess the Country's name"
丁抹,"デンマーク","デンマーク : [丁抹]","Guess the Country's name"
嗹国,"デンマーク","デンマーク : 嗹国","Guess the Country's name"
嗹馬,"デンマーク","デンマーク : 嗹馬","Guess the Country's name"
独乙,"ドイツ","ドイツ : 独乙","Guess the Country's name"
独逸,"ドイツ","ドイツ : [独逸]","Guess the Country's name"
土弥,"ドミニカ共和国,ドミニカ国","ドミニカ共和国 : 土弥尼加
ドミニカ国 : 土弥尼加","Guess the Country's name from the first 2 Kanji"
土耳,"トルコ","トルコ : [土耳古] , 土耳其","Guess the Country's name from the first 2 Kanji"
尼加,"ニカラグア","ニカラグア : 尼加拉瓦","Guess the Country's name from the first 2 Kanji"
尼喀,"ニカラグア","ニカラグア : 尼喀拉瓜 , 尼喀拉瓦","Guess the Country's name from the first 2 Kanji"
日本,"にほん,にっぽん","にほん,にっぽん : [日本]","Guess the Country's name"
新西,"ニュージーランド","ニュージーランド : [新西蘭]","Guess the Country's name from the first 2 Kanji"
尼波,"ネパール","ネパール : 尼波羅","Guess the Country's name from the first 2 Kanji"
捏巴,"ネパール","ネパール : 捏巴爾","Guess the Country's name from the first 2 Kanji"
諾威,"ノルウェー","ノルウェー : [諾威]","Guess the Country's name"
那威,"ノルウェー","ノルウェー : 那威","Guess the Country's name"
海地,"ハイチ","ハイチ : 海地","Guess the Country's name"
巴基,"パキスタン","パキスタン : 巴基斯担","Guess the Country's name from the first 2 Kanji"
和地,"バチカン","バチカン : 和地関","Guess the Country's name from the first 2 Kanji"
巴奈,"パナマ","パナマ : [巴奈馬]","Guess the Country's name from the first 2 Kanji"
馬浜,"バハマ","バハマ : 馬浜","Guess the Country's name"
巴拉,"パラグアイ","パラグアイ : [巴拉圭]","Guess the Country's name from the first 2 Kanji"
巴勒,"パレスチナ","パレスチナ : 巴勒斯旦","Guess the Country's name from the first 2 Kanji"
匈牙,"ハンガリー","ハンガリー : 匈牙利","Guess the Country's name from the first 2 Kanji"
洪牙,"ハンガリー","ハンガリー : [洪牙利]","Guess the Country's name from the first 2 Kanji"
孟加,"バングラデシュ","バングラデシュ : 孟加拉","Guess the Country's name from the first 2 Kanji"
比律,"フィリピン","フィリピン : [比律賓]","Guess the Country's name from the first 2 Kanji"
芬蘭,"フィンランド","フィンランド : [芬蘭]","Guess the Country's name"
不丹,"ブータン","ブータン : [不丹]","Guess the Country's name"
伯剌,"ブラジル","ブラジル : [伯剌西爾]","Guess the Country's name from the first 2 Kanji"
巴西,"ブラジル","ブラジル : 巴西","Guess the Country's name"
仏国,"フランス","フランス : 仏国","Guess the Country's name"
仏蘭,"フランス","フランス : [仏蘭西]","Guess the Country's name from the first 2 Kanji"
勃牙,"ブルガリア","ブルガリア : [勃牙利]","Guess the Country's name from the first 2 Kanji"
越南,"ベトナム","ベトナム : [越南]","Guess the Country's name"
委内,"ベネズエラ","ベネズエラ : [委内瑞拉]","Guess the Country's name from the first 2 Kanji"
秘露,"ペルー","ペルー : [秘露]","Guess the Country's name"
秘魯,"ペルー","ペルー : 秘魯","Guess the Country's name"
比利,"ベルギー","ベルギー : 比利時","Guess the Country's name from the first 2 Kanji"
白耳,"ベルギー","ベルギー : [白耳義]","Guess the Country's name from the first 2 Kanji"
波蘭,"ポーランド","ポーランド : [波蘭] , 波蘭土","Guess the Country's name"
玻利,"ボリビア","ボリビア : 玻利非亜","Guess the Country's name from the first 2 Kanji"
玻里,"ボリビア","ボリビア : 玻里非","Guess the Country's name from the first 2 Kanji"
葡萄,"ポルトガル","ポルトガル : [葡萄牙]","Guess the Country's name from the first 2 Kanji"
洪都,"ホンジュラス","ホンジュラス : 洪都拉斯","Guess the Country's name from the first 2 Kanji"
馬達,"マダガスカル","マダガスカル : 馬達加斯加","Guess the Country's name from the first 2 Kanji"
馬来,"マレーシア","マレーシア : 馬来西亜","Guess the Country's name from the first 2 Kanji"
緬甸,"ミャンマー","ミャンマー : [緬甸]","Guess the Country's name"
墨西,"メキシコ","メキシコ : [墨西哥]","Guess the Country's name from the first 2 Kanji"
毛里,"モーリシャス","モーリシャス : 毛里求斯","Guess the Country's name from the first 2 Kanji"
莫三,"モザンビーク","モザンビーク : 莫三鼻給","Guess the Country's name from the first 2 Kanji"
摩納,"モナコ","モナコ : 摩納哥","Guess the Country's name from the first 2 Kanji"
摩洛,"モロッコ","モロッコ : [摩洛哥]","Guess the Country's name from the first 2 Kanji"
莫臥,"モンゴル","モンゴル : 莫臥児","Guess the Country's name from the first 2 Kanji"
蒙古,"モンゴル","モンゴル : 蒙古","Guess the Country's name"
欧羅,"ヨーロッパ","ヨーロッパ : 欧羅巴","Guess the Country's name from the first 2 Kanji"
羅宇,"ラオス","ラオス : 羅宇","Guess the Country's name"
老檛,"ラオス","ラオス : 老檛","Guess the Country's name"
利比,"リビア,リベリア","リビア : [利比亜]
リベリア : 利比利亜","Guess the Country's name from the first 2 Kanji"
羅馬,"ルーマニア","ルーマニア : [羅馬尼亜] , 羅馬尼","Guess the Country's name from the first 2 Kanji"
盧森,"ルクセンブルク","ルクセンブルク : 盧森堡","Guess the Country's name from the first 2 Kanji"
黎巴,"レバノン","レバノン : 黎巴嫩","Guess the Country's name from the first 2 Kanji"
露西,"ロシア","ロシア : [露西亜]","Guess the Country's name from the first 2 Kanji"
魯西,"ロシア","ロシア : 魯西亜","Guess the Country's name from the first 2 Kanji"
愛撒倫,"アイスランド","アイスランド : 愛撒倫","Guess the Country's name"
愛斯蘭,"アイスランド","アイスランド : 愛斯蘭","Guess the Country's name"
愛蘭土,"アイルランド","アイルランド : 愛蘭土","Guess the Country's name"
亜細亜,"アジア","アジア : 亜細亜","Guess the Country's name"
阿富汗,"アフガニスタン","アフガニスタン : 阿富汗斯坦","Guess the Country's name from the first 3 Kanji"
阿弗利,"アフリカ","アフリカ : 阿弗利加","Guess the Country's name from the first 3 Kanji"
亜米利,"アメリカ","アメリカ : [亜米利加]","Guess the Country's name from the first 3 Kanji"
米利堅,"アメリカ","アメリカ : 米利堅","Guess the Country's name"
阿爾及,"アルジェリア","アルジェリア : [阿爾及]","Guess the Country's name"
亜爾然,"アルゼンチン","アルゼンチン : [亜爾然丁]","Guess the Country's name from the first 3 Kanji"
亜美尼,"アルメニア","アルメニア : 亜美尼亜","Guess the Country's name from the first 3 Kanji"
英吉利,"イギリス","イギリス : [英吉利]","Guess the Country's name"
以色列,"イスラエル","イスラエル : 以色列","Guess the Country's name"
以太利,"イタリア","イタリア : 以太利","Guess the Country's name"
伊太利,"イタリア","イタリア : [伊太利] , 伊太利亜","Guess the Country's name"
烏克蘭,"ウクライナ","ウクライナ : 烏克蘭","Guess the Country's name"
宇柳貝,"ウルグアイ","ウルグアイ : 宇柳貝","Guess the Country's name"
厄瓜多,"エクアドル","エクアドル : [厄瓜多]","Guess the Country's name"
越日於,"エチオピア","エチオピア : 越日於比亜","Guess the Country's name from the first 3 Kanji"
澳大利,"オーストラリア","オーストラリア : 澳大利亜","Guess the Country's name from the first 3 Kanji"
濠太剌,"オーストラリア","オーストラリア : [濠太剌利] , 濠太剌利亜","Guess the Country's name from the first 3 Kanji"
墺地利,"オーストリア","オーストリア : [墺地利] , 墺地利亜","Guess the Country's name"
墺太利,"オーストリア","オーストリア : 墺太利","Guess the Country's name"
和蘭陀,"オランダ","オランダ : 和蘭陀","Guess the Country's name"
阿蘭陀,"オランダ","オランダ : 阿蘭陀","Guess the Country's name"
加奈陀,"カナダ","カナダ : [加奈陀]","Guess the Country's name"
柬埔寨,"カンボジア","カンボジア : 柬埔寨","Guess the Country's name"
柬蒲塞,"カンボジア","カンボジア : 柬蒲塞","Guess the Country's name"
北朝鮮,"きたちょうせん","きたちょうせん : [北朝鮮]","Guess the Country's name"
幾内亜,"ギニア","ギニア : [幾内亜]","Guess the Country's name"
科威都,"クウェート","クウェート : 科威都","Guess the Country's name"
呉呂茶,"クロアチア","クロアチア : 呉呂茶","Guess the Country's name"
象牙海,"コートジボワール","コートジボワール : 象牙海岸","Guess the Country's name from the first 3 Kanji"
哥倫比,"コロンビア","コロンビア : [哥倫比亜]","Guess the Country's name from the first 3 Kanji"
牙買加,"ジャマイカ","ジャマイカ : [牙買加]","Guess the Country's name"
叙利亜,"シリア","シリア : [叙利亜]","Guess the Country's name"
新嘉坡,"シンガポール","シンガポール : [新嘉坡]","Guess the Country's name"
西班牙,"スペイン","スペイン : [西班牙]","Guess the Country's name"
塞爾維,"セルビア","セルビア : 塞爾維 , 塞爾維亜","Guess the Country's name"
突尼斯,"チュニジア","チュニジア : [突尼斯]","Guess the Country's name"
土弥尼,"ドミニカ共和国,ドミニカ国","ドミニカ共和国 : 土弥尼加
ドミニカ国 : 土弥尼加","Guess the Country's name from the first 3 Kanji"
土耳其,"トルコ","トルコ : 土耳其","Guess the Country's name"
土耳古,"トルコ","トルコ : [土耳古]","Guess the Country's name"
尼加拉,"ニカラグア","ニカラグア : 尼加拉瓦","Guess the Country's name from the first 3 Kanji"
尼喀拉,"ニカラグア","ニカラグア : 尼喀拉瓜 , 尼喀拉瓦","Guess the Country's name from the first 3 Kanji"
新西蘭,"ニュージーランド","ニュージーランド : [新西蘭]","Guess the Country's name"
尼波羅,"ネパール","ネパール : 尼波羅","Guess the Country's name"
捏巴爾,"ネパール","ネパール : 捏巴爾","Guess the Country's name"
巴基斯,"パキスタン","パキスタン : 巴基斯担","Guess the Country's name from the first 3 Kanji"
和地関,"バチカン","バチカン : 和地関","Guess the Country's name"
巴奈馬,"パナマ","パナマ : [巴奈馬]","Guess the Country's name"
巴拉圭,"パラグアイ","パラグアイ : [巴拉圭]","Guess the Country's name"
巴勒斯,"パレスチナ","パレスチナ : 巴勒斯旦","Guess the Country's name from the first 3 Kanji"
匈牙利,"ハンガリー","ハンガリー : 匈牙利","Guess the Country's name"
洪牙利,"ハンガリー","ハンガリー : [洪牙利]","Guess the Country's name"
孟加拉,"バングラデシュ","バングラデシュ : 孟加拉","Guess the Country's name"
比律賓,"フィリピン","フィリピン : [比律賓]","Guess the Country's name"
伯剌西,"ブラジル","ブラジル : [伯剌西爾]","Guess the Country's name from the first 3 Kanji"
仏蘭西,"フランス","フランス : [仏蘭西]","Guess the Country's name"
勃牙利,"ブルガリア","ブルガリア : [勃牙利]","Guess the Country's name"
委内瑞,"ベネズエラ","ベネズエラ : [委内瑞拉]","Guess the Country's name from the first 3 Kanji"
比利時,"ベルギー","ベルギー : 比利時","Guess the Country's name"
白耳義,"ベルギー","ベルギー : [白耳義]","Guess the Country's name"
波蘭土,"ポーランド","ポーランド : 波蘭土","Guess the Country's name"
玻利非,"ボリビア","ボリビア : 玻利非亜","Guess the Country's name from the first 3 Kanji"
玻里非,"ボリビア","ボリビア : 玻里非","Guess the Country's name"
葡萄牙,"ポルトガル","ポルトガル : [葡萄牙]","Guess the Country's name"
洪都拉,"ホンジュラス","ホンジュラス : 洪都拉斯","Guess the Country's name from the first 3 Kanji"
馬達加,"マダガスカル","マダガスカル : 馬達加斯加","Guess the Country's name from the first 3 Kanji"
馬来西,"マレーシア","マレーシア : 馬来西亜","Guess the Country's name from the first 3 Kanji"
墨西哥,"メキシコ","メキシコ : [墨西哥]","Guess the Country's name"
毛里求,"モーリシャス","モーリシャス : 毛里求斯","Guess the Country's name from the first 3 Kanji"
莫三鼻,"モザンビーク","モザンビーク : 莫三鼻給","Guess the Country's name from the first 3 Kanji"
摩納哥,"モナコ","モナコ : 摩納哥","Guess the Country's name"
摩洛哥,"モロッコ","モロッコ : [摩洛哥]","Guess the Country's name"
莫臥児,"モンゴル","モンゴル : 莫臥児","Guess the Country's name"
欧羅巴,"ヨーロッパ","ヨーロッパ : 欧羅巴","Guess the Country's name"
利比亜,"リビア","リビア : [利比亜]","Guess the Country's name"
利比利,"リベリア","リベリア : 利比利亜","Guess the Country's name from the first 3 Kanji"
羅馬尼,"ルーマニア","ルーマニア : [羅馬尼亜] , 羅馬尼","Guess the Country's name"
盧森堡,"ルクセンブルク","ルクセンブルク : 盧森堡","Guess the Country's name"
黎巴嫩,"レバノン","レバノン : 黎巴嫩","Guess the Country's name"
露西亜,"ロシア","ロシア : [露西亜]","Guess the Country's name"
魯西亜,"ロシア","ロシア : 魯西亜","Guess the Country's name"
阿富汗斯,"アフガニスタン","アフガニスタン : 阿富汗斯坦","Guess the Country's name from the first 4 Kanji"
阿弗利加,"アフリカ","アフリカ : 阿弗利加","Guess the Country's name"
亜米利加,"アメリカ","アメリカ : [亜米利加]","Guess the Country's name"
亜爾然丁,"アルゼンチン","アルゼンチン : [亜爾然丁]","Guess the Country's name"
亜美尼亜,"アルメニア","アルメニア : 亜美尼亜","Guess the Country's name"
伊太利亜,"イタリア","イタリア : 伊太利亜","Guess the Country's name"
越日於比,"エチオピア","エチオピア : 越日於比亜","Guess the Country's name from the first 4 Kanji"
澳大利亜,"オーストラリア","オーストラリア : 澳大利亜","Guess the Country's name"
濠太剌利,"オーストラリア","オーストラリア : [濠太剌利] , 濠太剌利亜","Guess the Country's name"
墺地利亜,"オーストリア","オーストリア : 墺地利亜","Guess the Country's name"
象牙海岸,"コートジボワール","コートジボワール : 象牙海岸","Guess the Country's name"
哥倫比亜,"コロンビア","コロンビア : [哥倫比亜]","Guess the Country's name"
