Question,Answer,Comment,Instruction,Render as
"且,||かつ||","also, furthermore","",Guess the meaning of the Kunyomi reading,Text
"賜,||たまわる||","deign to, grant, give, bestow on, honor with","Onyomi: シ = deign to, grant, give, bestow on, honor with",Guess the meaning of the Kunyomi reading,Text
"漆,||うるし||","lacquer, varnish","Onyomi: シツ = lacquer, varnish",Guess the meaning of the Kunyomi reading,Text
"遮,||さえぎる||","interrupt, obstruct, intercept","Onyomi: シャ = interrupt, obstruct, intercept",Guess the meaning of the Kunyomi reading,Text
"蛇,||へび||","snake","Onyomi: ジャ,ダ = snake, serpent, hard drinker",Guess the meaning of the Kunyomi reading,Text
"酌,||くむ||","draw (water), ladle, dip, scoop, pump, consider, sympathize with, drink, think","Onyomi: シャク = serving sake, the server",Guess the meaning of the Kunyomi reading,Text
"充,||あてる||","apply, place, put, hit (the mark), guess, succeed, expose to, sit (on a cushion), assign, allocate, call on (a pupil)","Onyomi: ジュウ = fill",Guess the meaning of the Kunyomi reading,Text
"愁,||うれえる,うれい||","grieve, lament, be anxious,sad, unhappy, gloomy","Onyomi: シュウ = grieve, lament, be anxious",Guess the meaning of the Kunyomi reading,Text
"渋,||しぶ,しぶい,しぶる||","hesitate, be reluctant, have loose painful bowel movements,puckery taste (of persimmons), sobriety, quietness,puckery, astringent, sullen, quiet, sober, tasteful (in dress)","Onyomi: ジュウ = hesitate, be reluctant, have loose painful bowel movements",Guess the meaning of the Kunyomi reading,Text
"汁,||しる||","juice, sap, soup, broth, gravy, pus","Onyomi: ジュウ = juice",Guess the meaning of the Kunyomi reading,Text
"臭,||くさい,におう||","illsmelling, suspiciouslooking,smell, odor, scent, stench, fragrance, aroma, perfume","Onyomi: シュウ = odor, savor, fragrance",Guess the meaning of the Kunyomi reading,Text
"醜,||みにくい||","badlooking, ugly, unsightly, indecent, disgraceful","Onyomi: シュウ = ugliness, uncleanness, shame",Guess the meaning of the Kunyomi reading,Text
"緒,||お||","cord, strap, thong, clog cord, string","Onyomi: ショ,チョ = beginning, inception, end",Guess the meaning of the Kunyomi reading,Text
"升,||ます||","a measuring box","Onyomi: ショウ = 1.8 liter",Guess the meaning of the Kunyomi reading,Text
"醸,||かもす||","brew, cause, give rise to","Onyomi: ジョウ = brew, cause, give rise to",Guess the meaning of the Kunyomi reading,Text
"宵,||よい||","evening, early night hours","Onyomi: ショウ = evening, early night hours",Guess the meaning of the Kunyomi reading,Text
"詔,||みことのり||","imperial edict, decree","Onyomi: ショウ = imperial edict",Guess the meaning of the Kunyomi reading,Text
"償,||つぐなう||","make up for, recompense, redeem (one's faults), compensate for, indemnify, atone for","Onyomi: ショウ = make up for, recompense, redeem (one's faults), compensate for, indemnify, atone for",Guess the meaning of the Kunyomi reading,Text
"刃,||は||","blade, edge","Onyomi: ジン = blade, sword, cutting tool",Guess the meaning of the Kunyomi reading,Text
"甚,||はなはだ,はなはだしい||","very, greatly, exceedingly,extreme, excessive, intense, severe, serious","Onyomi: ジン = exceedingly",Guess the meaning of the Kunyomi reading,Text
"唇,||くちびる||","lip","Onyomi: シン = lip",Guess the meaning of the Kunyomi reading,Text
"津,||つ||","port, harbor, ferry","Onyomi: シン = port, harbor, ferry",Guess the meaning of the Kunyomi reading,Text
"診,||みる||","diagnose, examine","Onyomi: シン = seeing, diagnosing",Guess the meaning of the Kunyomi reading,Text
"逝,||ゆく,いく||","die, pass away","Onyomi: セイ = die, pass away",Guess the meaning of the Kunyomi reading,Text
"誓,||ちかう||","swear, plegde, vow","Onyomi: セイ = swear, plegde, vow",Guess the meaning of the Kunyomi reading,Text
"拙,||つたない||","clumsy, bungling, unskillful","Onyomi: セツ = clumsy, unskillful",Guess the meaning of the Kunyomi reading,Text
"薦,||すすめる||","recommend, advise, encourage, offer (wine)","Onyomi: セン = recommendation, advice, encouragement",Guess the meaning of the Kunyomi reading,Text
"疎,||うとい,うとむ||","neglect, shun, alienate,distant, estranged, disinterested, ignorant of","Onyomi: ソ = rough, sparseness, estrangement",Guess the meaning of the Kunyomi reading,Text
"藻,||も||","duckweed, seaweed","Onyomi: ソウ = duckweed, seaweed",Guess the meaning of the Kunyomi reading,Text
"霜,||しも||","frost","Onyomi: ソウ = frost",Guess the meaning of the Kunyomi reading,Text
"挿,||さす||","insert, put in, graft (a branch), wear (a sword), carry (in the belt)","Onyomi: ソウ = insert, put in, graft (a branch), wear (a sword), carry (in the belt)",Guess the meaning of the Kunyomi reading,Text
"喪,||も||","mourning","Onyomi: ソウ = mourning",Guess the meaning of the Kunyomi reading,Text
"捜,||さがす||","search, look for, locate, glean","Onyomi: ソウ = search, look for, locate, glean",Guess the meaning of the Kunyomi reading,Text
"釣,||つる||","angle, fish, catch, decoy, allure","Onyomi: チョウ = angle, fish, catch, decoy, allure",Guess the meaning of the Kunyomi reading,Text
"挑,||いどむ||","challenge, contend for, make love to","Onyomi: チョウ = challenge, contend for, make love to",Guess the meaning of the Kunyomi reading,Text
"懲,||こりる,こらす,こらしめる||","chastise, punish, discipline,learn by experience, be disgusted with","Onyomi: チョウ = chastise, punish, discipline",Guess the meaning of the Kunyomi reading,Text
"弔,||とむらう||","mourn for, hold a memorial service for, condole","Onyomi: チョウ = mourning",Guess the meaning of the Kunyomi reading,Text
"眺,||ながめる||","watch, look at, see, scrutinize","Onyomi: チョウ = watch, look at, see, scrutinize",Guess the meaning of the Kunyomi reading,Text
"泥,||どろ||","mud, mire, dirt, slush, disgrace","Onyomi: デイ = mud, mire",Guess the meaning of the Kunyomi reading,Text
"洞,||ほら||","cave, den, excavation","Onyomi: ドウ = cavity",Guess the meaning of the Kunyomi reading,Text
"悼,||いたむ||","grieve over","Onyomi: トウ = grieve over",Guess the meaning of the Kunyomi reading,Text
"筒,||つつ||","pipe, tube, case, gun barrel, sleeve, well curb","Onyomi: トウ = pipette, tube",Guess the meaning of the Kunyomi reading,Text
"棟,||むね,むな||","ridge, ridgepole, counter for buildings","Onyomi: トウ = ridge, ridgepole, counter for buildings",Guess the meaning of the Kunyomi reading,Text
"軟,||やわらか,やわらかい||","soft","Onyomi: ナン = soft",Guess the meaning of the Kunyomi reading,Text
"尼,||あま||","nun","Onyomi: ニ = nun",Guess the meaning of the Kunyomi reading,Text
"忍,||しのぶ,しのばせる||","bear, endure, put up with, hide (oneself),conceal, secrete","Onyomi: ニン = bear, endure, put up with, hide (oneself)",Guess the meaning of the Kunyomi reading,Text
"培,||つちかう||","cultivate, foster","Onyomi: バイ = cultivate, foster",Guess the meaning of the Kunyomi reading,Text
"廃,||すたれる,すたる||","become useless, get out of date, die out, be abolished, decline (in prosperity)","Onyomi: ハイ = obsolescence, cessation, discarding",Guess the meaning of the Kunyomi reading,Text
"煩,||わずらう,わずらわす||","be ill, worry, be afflicted, be in pain, be troubled,trouble, keep (someone) busy, disturb, annoy","Onyomi: ハン,ボン = worry, trouble",Guess the meaning of the Kunyomi reading,Text
"扉,||とびら||","door, title page, front page","Onyomi: ヒ = door, title page, front page",Guess the meaning of the Kunyomi reading,Text
"猫,||ねこ||","cat","Onyomi: ビョウ = cat",Guess the meaning of the Kunyomi reading,Text
"侮,||あなどる||","despise, make light of","Onyomi: ブ = despise, make light of",Guess the meaning of the Kunyomi reading,Text
"沸,||わく,わかす||","boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched,heat up (the bath), melt","Onyomi: フツ = boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched",Guess the meaning of the Kunyomi reading,Text
"憤,||いきどおる||","resent, be indignant, become angry","Onyomi: フン = resent, be indignant, become angry",Guess the meaning of the Kunyomi reading,Text
"併,||あわせる||","get together, unite","Onyomi: ヘイ = get together, unite",Guess the meaning of the Kunyomi reading,Text
"偏,||かたよる||","lean, incline, be biased","Onyomi: ヘン = side, left radical of a character, inclining",Guess the meaning of the Kunyomi reading,Text
"泡,||あわ||","bubble, foam, froth, scum, suds","Onyomi: ホウ = bubble, foam, froth, scum, suds",Guess the meaning of the Kunyomi reading,Text
"褒,||ほめる||","praise, commend","Onyomi: ホウ = praise, extol",Guess the meaning of the Kunyomi reading,Text
"紡,||つむぐ||","spin, make yarn","Onyomi: ボウ = spin, make yarn",Guess the meaning of the Kunyomi reading,Text
"麻,||あさ||","flax, hemp, ramie, jute, linen","Onyomi: マ = flax, hemp, ramie, jute, linen",Guess the meaning of the Kunyomi reading,Text
"磨,||みがく||","polish, scour, shine (shoes), brush (teeth), improve (skill), cultivate (character), train (the mind)","Onyomi: マ = polish, scour, shine (shoes), brush (teeth), improve (skill), cultivate (character), train (the mind)",Guess the meaning of the Kunyomi reading,Text
"諭,||さとす||","admonish, charge, remonstrate with, counsel, persuade, warn, make known to","Onyomi: ユ = admonish, charge, remonstrate with, counsel, persuade, warn, make known to",Guess the meaning of the Kunyomi reading,Text
"癒,||いえる,いやす||","heal, cure, quench (thirst), wreak (vengeance),recover, be healed","Onyomi: ユ = heal, cure, quench (thirst), wreak (vengeance)",Guess the meaning of the Kunyomi reading,Text
"窯,||かま||","kiln, oven, furnace, stove","Onyomi: ヨウ = kiln, oven, furnace, stove",Guess the meaning of the Kunyomi reading,Text
"履,||はく||","put on (the feet)","Onyomi: リ = trample on, stamp on, carry through, practice, appraise, set foot on, evade payment, step on",Guess the meaning of the Kunyomi reading,Text
"竜,||たつ||","dragon","Onyomi: リュウ = dragon, imperial",Guess the meaning of the Kunyomi reading,Text
"柳,||やなぎ||","willow","Onyomi: リュウ = willow",Guess the meaning of the Kunyomi reading,Text
"涼,||すずしい,すずむ||","cool oneself, enjoy the evening air,cool, refreshing","Onyomi: リョウ = cool",Guess the meaning of the Kunyomi reading,Text
"戻,||もどす,もどる||","return, turn back, revert to, resume, return to, be returned, go backward,restore, turn back (a clock), reject, vomit","Onyomi: レイ = return, turn back, revert to, resume, return to, be returned, go backward",Guess the meaning of the Kunyomi reading,Text
"鈴,||すず||","bell","Onyomi: レイ,リン = bell, hand bell, buzzer",Guess the meaning of the Kunyomi reading,Text
"賄,||まかなう||","board, supply, finance","Onyomi: ワイ = board, supply, finance",Guess the meaning of the Kunyomi reading,Text
"丙,||ヘイ||","C, third","",Guess the meaning of the Onyomi reading,Text
"亜,||ア||","rank next, come after, Asia, sub, ous (in acids)","",Guess the meaning of the Onyomi reading,Text
"享,||キョウ||","receive, take, get, obtain, accept, catch (a ball), stop (a blow), parry, answer (the phone), undergo (an operation), take (an exam), sustain (a loss), be exposed to (ridicule), face, front on, i","",Guess the meaning of the Onyomi reading,Text
"亭,||テイ||","restaurant, mansion, arbor, cottage, vaudeville, music hall, stage name","",Guess the meaning of the Onyomi reading,Text
"仙,||セン||","hermit, wizard","",Guess the meaning of the Onyomi reading,Text
"伯,||ハク||","count, earl, eldest brother, uncle, chief official","",Guess the meaning of the Onyomi reading,Text
"侯,||コウ||","marquis, load, daimyo","",Guess the meaning of the Onyomi reading,Text
"俊,||シュン||","excellence, genius","",Guess the meaning of the Onyomi reading,Text
"俸,||ホウ||","salary","",Guess the meaning of the Onyomi reading,Text
"倫,||リン||","companion","",Guess the meaning of the Onyomi reading,Text
"偵,||テイ||","spy","",Guess the meaning of the Onyomi reading,Text
"傑,||ケツ||","excellent","",Guess the meaning of the Onyomi reading,Text
"僕,||ボク||","manservant, I (used by male speakers)","",Guess the meaning of the Onyomi reading,Text
"僚,||リョウ||","official, companion","",Guess the meaning of the Onyomi reading,Text
"儒,||ジュ||","Confucianism, Confucianist, Chinese scholar","",Guess the meaning of the Onyomi reading,Text
"准,||ジュン||","quasi, semi, associate","",Guess the meaning of the Onyomi reading,Text
"凸,||トツ||","projecting, beetle brow","",Guess the meaning of the Onyomi reading,Text
"凹,||オウ||","hollow, sunken","",Guess the meaning of the Onyomi reading,Text
"剖,||ボウ||","divide","",Guess the meaning of the Onyomi reading,Text
"剛,||ゴウ||","strength","",Guess the meaning of the Onyomi reading,Text
"剰,||ジョウ||","besides","",Guess the meaning of the Onyomi reading,Text
"劾,||ガイ||","criminal investigation","",Guess the meaning of the Onyomi reading,Text
"勅,||チョク||","imperial decree","",Guess the meaning of the Onyomi reading,Text
"勲,||クン||","merit, order of merit","",Guess the meaning of the Onyomi reading,Text
"厄,||ヤク||","misfortune, bad luck, evil, disaster","",Guess the meaning of the Onyomi reading,Text
"叔,||シュク||","uncle, youth","",Guess the meaning of the Onyomi reading,Text
"叙,||ジョ||","relate, narrate, describe, write, confer (a rank), write a preface","",Guess the meaning of the Onyomi reading,Text
"吟,||ギン||","singing, recital, song, poem","",Guess the meaning of the Onyomi reading,Text
"呈,||テイ||","offer, present, send (a letter),  exhibit, develop (symptoms), assume (airs)","",Guess the meaning of the Onyomi reading,Text
"呉,||ゴ||","give, do (something) for","",Guess the meaning of the Onyomi reading,Text
"唯,||ユイ,イ||","only, merely, solely, simply","",Guess the meaning of the Onyomi reading,Text
"喝,||カツ||","scold, get hoarse","",Guess the meaning of the Onyomi reading,Text
"嗣,||シ||","heir","",Guess the meaning of the Onyomi reading,Text
"嚇,||カク||","threaten, frighten, intimidate","",Guess the meaning of the Onyomi reading,Text
"囚,||シュウ||","criminal, arrest","",Guess the meaning of the Onyomi reading,Text
"壮,||ソウ||","manhood, prosperity","",Guess the meaning of the Onyomi reading,Text
"堕,||ダ||","descend to, lapse into, degenerate","",Guess the meaning of the Onyomi reading,Text
"塀,||ヘイ||","wall, fence","",Guess the meaning of the Onyomi reading,Text
"塁,||ルイ||","fort, rampart, walls, base (in baseball)","",Guess the meaning of the Onyomi reading,Text
"塑,||ソ||","modeling, molding","",Guess the meaning of the Onyomi reading,Text
"塾,||ジュク||","private school, boarding school, gate house","",Guess the meaning of the Onyomi reading,Text
"壌,||ジョウ||","earth, soil","",Guess the meaning of the Onyomi reading,Text
"奔,||ホン||","run","",Guess the meaning of the Onyomi reading,Text
"奨,||ショウ||","urge, encourage","",Guess the meaning of the Onyomi reading,Text
"妃,||ヒ||","queen, princess","",Guess the meaning of the Onyomi reading,Text
"妄,||モウ,ボウ||","without authority, without reason, arbitrarily, unnecessarily, indiscriminately, recklessly","",Guess the meaning of the Onyomi reading,Text
"妊,||ニン||","become pregnant, be pregnant, be filled with","",Guess the meaning of the Onyomi reading,Text
"妥,||ダ||","peace, depravity","",Guess the meaning of the Onyomi reading,Text
"姻,||イン||","marry","",Guess the meaning of the Onyomi reading,Text
"娠,||シン||","pregnancy","",Guess the meaning of the Onyomi reading,Text
"媒,||バイ||","gobetween","",Guess the meaning of the Onyomi reading,Text
"嫡,||チャク||","legitimacy, legitimate child, legitimate wife, direct descent","",Guess the meaning of the Onyomi reading,Text
"宜,||ギ||","good, goodnatured, pleasing, precious, noble, lovely, beautiful, fine, lucky, efficacious, right, suitable, justifiable, appropriate, satisfactory, better, all right, unnecessary, no objection, i","",Guess the meaning of the Onyomi reading,Text
"宰,||サイ||","manager, rule","",Guess the meaning of the Onyomi reading,Text
"寛,||カン||","leniency, generosity","",Guess the meaning of the Onyomi reading,Text
"寡,||カ||","minority, few, minimum, widow,","",Guess the meaning of the Onyomi reading,Text
"寧,||ネイ||","preferably","",Guess the meaning of the Onyomi reading,Text
"寮,||リョウ||","hostel, dormitory, villa, tea pavilion","",Guess the meaning of the Onyomi reading,Text
"尉,||イ||","jailer, old man, rank, company officer","",Guess the meaning of the Onyomi reading,Text
"尚,||ショウ||","further, furthermore, still, still more, yet, just like","",Guess the meaning of the Onyomi reading,Text
"屯,||トン||","police station, camp","",Guess the meaning of the Onyomi reading,Text
"崇,||スウ||","high","",Guess the meaning of the Onyomi reading,Text
"帥,||スイ||","leading (troops)","",Guess the meaning of the Onyomi reading,Text
"幣,||ヘイ||","Shinto zigzag paper offerings, bad habit, humble prefix, gift","",Guess the meaning of the Onyomi reading,Text
"庸,||ヨウ||","ordinary, tax paid in labor, employment","",Guess the meaning of the Onyomi reading,Text
"廷,||テイ||","imperial court, government office","",Guess the meaning of the Onyomi reading,Text
"弊,||ヘイ||","evil, abuse, vice, bad custom, breakage, our (humble), Shinto zigzag paper offering, tribute","",Guess the meaning of the Onyomi reading,Text
"彰,||ショウ||","clear","",Guess the meaning of the Onyomi reading,Text
"循,||ジュン||","follow","",Guess the meaning of the Onyomi reading,Text
"徹,||テツ||","clear","",Guess the meaning of the Onyomi reading,Text
"悠,||ユウ||","distant, longtime, leisure","",Guess the meaning of the Onyomi reading,Text
"惰,||ダ||","laziness","",Guess the meaning of the Onyomi reading,Text
"愉,||ユ||","rejoice","",Guess the meaning of the Onyomi reading,Text
"慶,||ケイ||","congratulate","",Guess the meaning of the Onyomi reading,Text
"憾,||カン||","regret, be sorry for","",Guess the meaning of the Onyomi reading,Text
"扶,||フ||","help, save, rescue, give relief to, spare (life), reinforce, promote, abet","",Guess the meaning of the Onyomi reading,Text
"抄,||ショウ||","selection, summary, one tenth of a shaku(勺)","",Guess the meaning of the Onyomi reading,Text
"把,||ハ||","bundle, bunch, sheaf, coil","",Guess the meaning of the Onyomi reading,Text
"披,||ヒ||","open","",Guess the meaning of the Onyomi reading,Text
"抹,||マツ||","paint, erase, rub","",Guess the meaning of the Onyomi reading,Text
"拐,||カイ||","falsify, kidnap","",Guess the meaning of the Onyomi reading,Text
"括,||カツ||","tie up, hang (someone), arrest, fasten","",Guess the meaning of the Onyomi reading,Text
"拷,||ゴウ||","beat, torture","",Guess the meaning of the Onyomi reading,Text
"搭,||トウ||","load (a vehicle), ride","",Guess the meaning of the Onyomi reading,Text
"摩,||マ||","rub, rub off, polish, grind, graze, scrape, be equal to, be about to reach","",Guess the meaning of the Onyomi reading,Text
"撤,||テツ||","withdraw, disarm (a ship), dismantle (a fort), remove, reject, exclude","",Guess the meaning of the Onyomi reading,Text
"撲,||ボク||","strike, hit, beat, knock, slap, punch, thrash, smite, clap (one's hands), beat (a drum), ring (a bell), (clocks) strike, impress, touch, shoot, pound in (a nail), water, sprinkle, braid, play (ch","",Guess the meaning of the Onyomi reading,Text
"擬,||ギ||","aim (a gun) at, nominate for office, imitate, mimic, compare","",Guess the meaning of the Onyomi reading,Text
"斉,||セイ||","equal, similar","",Guess the meaning of the Onyomi reading,Text
"斎,||サイ||","Buddhist food, room","",Guess the meaning of the Onyomi reading,Text
"旋,||セン||","go around","",Guess the meaning of the Onyomi reading,Text
"昆,||コン||","descendants, elder brother","",Guess the meaning of the Onyomi reading,Text
"曹,||ソウ||","friend","",Guess the meaning of the Onyomi reading,Text
"朕,||チン||","imperial we","",Guess the meaning of the Onyomi reading,Text
"朴,||ボク||","simple, plain, docile","",Guess the meaning of the Onyomi reading,Text
"析,||セキ||","divide, tear, analyze","",Guess the meaning of the Onyomi reading,Text
"枢,||スウ||","pivot, door","",Guess the meaning of the Onyomi reading,Text
"栓,||セン||","bolt, stopper, cork, plug, ear plug, bung, faucet, peg","",Guess the meaning of the Onyomi reading,Text
"核,||カク||","nucleus, core, seed, kernel","",Guess the meaning of the Onyomi reading,Text
"栽,||サイ||","planting","",Guess the meaning of the Onyomi reading,Text
"桟,||サン||","crosspiece, cleat, frame, door bolt, shelf, jetty, suspension bridge","",Guess the meaning of the Onyomi reading,Text
"棺,||カン||","casket, coffin","",Guess the meaning of the Onyomi reading,Text
"槽,||ソウ||","tub, tank, vat","",Guess the meaning of the Onyomi reading,Text
"款,||カン||","article, section, goodwill, friendship, collusion","",Guess the meaning of the Onyomi reading,Text
"殉,||ジュン||","die a martyr, follow (someone) by committing suicide, follow in resigning","",Guess the meaning of the Onyomi reading,Text
"泰,||タイ||","calm ,peace, easy, large, wide","",Guess the meaning of the Onyomi reading,Text
"洪,||コウ||","flood, vast","",Guess the meaning of the Onyomi reading,Text
"浄,||ジョウ||","clean, clear, pure, innocent, noble","",Guess the meaning of the Onyomi reading,Text
"渉,||ショウ||","cross, ford, ferry, be imported, change hands, make one's way through life, sweep across, migrate, be provided","",Guess the meaning of the Onyomi reading,Text
"涯,||ガイ||","shore","",Guess the meaning of the Onyomi reading,Text
"淑,||シュク||","graceful, polite, gentle, pure","",Guess the meaning of the Onyomi reading,Text
