question,answer,comment,instruction
"四不像","しふぞう","Elpahure;milu;Père David's deer (Elaphurus davidianus)","Animals"
"斑馬","しまうま","Speckled horse;zebra","Animals"
"縞馬","しまうま","Zebra","Animals"
"地潜","じむぐり","Burrowing rat snake;Japanese forest rat snake (Euprepiophis conspicillatus, Elaphe conspicillata)","Animals"
"麝香鹿","じゃこうじか","Musk deer","Animals"
"鯱","しゃち","Mythical animal with the head of a lion and the body of a fish;roof ornament in the shape of a shachihoko (believed to provide protection against fire by causing rain to fall);shac","Animals"
"儒艮","じゅごん","Dugong (Dugong dugon);sea pig","Animals"
"猩々","しょうじょう","Heavy drinker;orangutan","Animals"
"鼈","すっぽん","Bilge pump (used on traditional Japanese ships);Chinese soft-shelled turtle (Pelodiscus sinensis);soft-shelled turtle (Trionychidae);trap door located on the walkway in a kabuki th","Animals"
"砂滑","すなめり","Black finless porpoise (Neophocaena phocaenoides)","Animals"
"海象","セイウチ","Oceanic phenomenon;sea conditions;elephant seal (Mirounga spp.);walrus (Odobenus rosmarus)","Animals"
"穿山甲","せんざんこう","Pangolin;scaly anteater","Animals"
"玳瑁","たいまい","Hawksbill turtle (Eretmochelys imbricata)","Animals"
"貂/黄鼬","てん","Japanese marten (Martes melampus);marten (any arboreal weasel-like mammal of genus Martes)","Animals"
"石竜子/蜥蜴","とかげ","Lizard;skink lizard (Scincidae spp.)","Animals"
"胡獱","とど","Northern sea lion;Steller sea lion (Eumetopias jubatus)","Animals"
"馴鹿","トナカイ","Reindeer (Rangifer tarandus);reindeer (Rangifer tarandus)","Animals"
"樹懶","なまけもの","Sloth (animal)","Animals"
"鼠","ねずみ","Dark gray;dark grey;mouse;rat;slate (color, colour)","Animals"
"獏","ばく","Mo (mythological Chinese chimera similar to a tapir, said to devour bad dreams);tapir (Tapirus spp.)","Animals"
"白鼻心","はくびしん","Gem-faced civet;masked palm civet (Paguma larvata)","Animals"
"波布/飯匙倩","はぶ","Habu (Trimeresurus flavoviridis);yellow-spotted pit viper","Animals"
"羆","ひぐま","Brown bear (Ursus arctos)","Animals"
"狒々","ひひ","Baboon;dirty old man;lecher;skirt-chaser","Animals"
"豹","ひょう","Leopard (Panthera pardus)","Animals"
"箆鹿","へらじか","Elk;moose (Alces alces)","Animals"
"真鶴","まなづる","White-naped crane (Grus vipio)","Animals"
"蝮","まむし","Pit viper (esp. the mamushi, Gloydius blomhoffi)","Animals"
"鼯鼠","むささび","Flying squirrel;Japanese dwarf flying squirrel;Japanese flying squirrel (Pteromys momonga);small Japanese flying squirrel;Japanese giant flying squirrel (Petaurista leucogenys)","Animals"
"土竜","もぐら","Mole (Talpidae spp., esp. the small Japanese mole, Mogera imaizumii)","Animals"
"山羊/野羊","やぎ","Goat","Animals"
"山荒/豪猪","やまあらし","Hedgehog;porcupine","Animals"
"山楝蛇/赤楝蛇","やまかがし","Tiger keelback (snake)","Animals"
"冬眠鼠/山鼠","やまね","Japanese dormouse (Glirulus japonicus)","Animals"
"守宮","やもり","Outcasts common around the Kyoto region from the Kamakura period to the Edo period;gecko;house lizard","Animals"
"家守","やもり","Gecko;house lizard","Animals"
"駱駝","らくだ","Camel;camel (cloth);camel (color);cloth made from camel hair;light yellowish brown","Animals"
"海獺","ラッコ","Sea lion;sea otter (Enhydra lutris)","Animals"
"猟虎/獺虎","ラッコ","Sea otter (Enhydra lutris)","Animals"
"騾馬","らば","Mule","Animals"
"栗鼠","りす","Japanese squirrel (Sciurus lis);squirrel (any mammal of family Sciuridae)","Animals"
"驢馬","ろば","Ass;donkey","Animals"
"鰐","わに","Alligator;crocodile;shark;Wani;wani (mythological sea monster)","Animals"
"合鴨/間鴨","あいがも","Cross between a mallard and domestic duck","Birds"
"秋沙","あいさ","Merganser (any duck of genus Mergus)","Birds"
"緑啄木鳥","あおげら","Japanese green woodpecker (Picus awokera);Japanese woodpecker;wavy-bellied woodpecker","Birds"
"青鵐/蒿雀","あおじ","Black-faced bunting (Emberiza spodocephala)","Birds"
"青葉木菟","あおばずく","Brown hawk owl (Ninox scutulata)","Birds"
"赤啄木鳥","あかげら","Great spotted woodpecker (Dendrocopos major)","Birds"
"鰺刺","あじさし","Tern (esp. the common tern, Sterna hirundo)","Birds"
"花鶏","あとり","Brambling (bird) (Fringilla montifringilla)","Birds"
"家鴨/鶩","あひる","Domestic duck","Birds"
"信天翁/阿房鳥","あほうどり","Albatross (esp. the short-tailed albatross, Phoebastria albatrus)","Birds"
"雨燕","あまつばめ","Fork-tailed swift (Apus pacificus);swift (any bird of family Apodidae)","Birds"
"斑鳩/鵤","いかる","Japanese grosbeak (Eophona personata)","Birds"
"交喙","いすか","Common crossbill (Loxia curvirostra)","Birds"
"音呼/鸚哥","いんこ","True parrot (esp. small parrots such as the parakeet, lory and conure)","Birds"
"鵜","う","Cormorant (Phalacrocoracidae spp.)","Birds"
"鶯","うぐいす","Beautiful voice;greenish brown;Japanese bush warbler (Horornis diphone);Japanese nightingale;woman with a beautiful voice","Birds"
"烏骨鶏","うこっけい","Silky;silky fowl","Birds"
"鶉","うずら","Japanese quail (Coturnix japonica);quail","Birds"
"鷽","うそ","Eurasian bullfinch (Pyrrhula pyrrhula);Japanese bullfinch","Birds"
"善知鳥","うとう","Rhino auklet","Birds"
"鸚鵡","おうむ","(large) parrot (incl. the cockatoo)","Birds"
"大鷭","おおばん","Coot (Fulica atra)","Birds"
"鴛鴦","おしどり","Mandarin duck (Aix galericulata)","Birds"
"懸巣","かけす","Eurasian jay (Garrulus glandarius)","Birds"
"鵲","かささぎ","European magpie (Pica pica)","Birds"
"鵝鳥/鵞鳥","がちょう","Geese;goose","Birds"
"郭公","かっこう","Lesser cuckoo (Cuculus poliocephalus);common cuckoo (Cuculus canorus)","Birds"
"金糸雀","カナリア","Canary (esp. the island canary, Serinus canaria);canary (esp. the island canary, Serinus canaria)","Birds"
"鴨","かも","Duck;easy mark;sitting duck;sucker","Birds"
"鴎","かもめ","Common gull (Larus canus);gull (Laridae spp.);mew gull;seagull","Birds"
"烏/鴉","からす","Crow (Corvus spp.);raven","Birds"
"雁金","かりがね","Call of a wild goose;high-grade kukicha (esp. from gyokuro);tea made from twigs of high-quality tea plants (esp. gyokuro);wild goose (esp. a lesser white-fronted goose, Anser eryth","Birds"
"軽鴨","かるがも","Spot-billed duck (Anas poecilorhyncha)","Birds"
"川蝉/翡翠/魚狗","かわせみ","Beautiful lustrous colour similar to that of the kingfisher's feathers;jade (gem);kingfisher (esp. the common kingfisher, Alcedo atthis)","Birds"
"雁","がん,かり","がん:Call of a wild goose;high-grade kukicha (esp. from gyokuro);tea made from twigs of high-quality tea plants (esp. gyokuro);wild goose (esp. a lesser white-fronted goose, Anser eryth
かり:Call of a wild goose;Gan;high-grade kukicha (esp. from gyokuro);tea made from twigs of high-quality tea plants (esp. gyokuro);The Wild Geese (1913 novel by Mori Ōgai);wild goose (e","Birds"
"鴈","がん,かり","がん:Glans;head of a penis;wild goose
かり:Glans;head of a penis;wild goose","Birds"
"雉/雉子","きじ","Green pheasant (Phasianus versicolor);Japanese pheasant","Birds"
"啄木鳥","きつつき","Woodpecker","Birds"
"黄鶲","きびたき","Narcissus flycatcher (Ficedula narcissina)","Birds"
"恐鳥","きょうちょう","Moa (extinct, flightless bird formerly found in New Zealand)","Birds"
"水鶏/秧鶏","くいな","Rail (any bird of family Rallidae, esp. the water rail, Rallus aquaticus)","Birds"
"孔雀","くじゃく","Peafowl (incl. the male peacock, female peahen, and young peachick)","Birds"
"五位鷺","ごいさぎ","Black-crowned night heron (Nycticorax nycticorax);night heron","Birds"
"鸛","こうのとり","Stork (esp. the Oriental stork, Ciconia boyciana)","Birds"
"小雀","こがら","Willow tit (Parus montanus)","Birds"
"小啄木鳥","こげら","Pygmy woodpecker (Dendrocopos kizuki)","Birds"
"五十雀","ごじゅうから","Eurasian nuthatch (Sitta europaea)","Birds"
"琴鳥","ことどり","Superb lyrebird (Menura novaehollandiae)","Birds"
"木葉木菟","このはずく","Oriental scops owl","Birds"
"鷺","さぎ","Heron (Ardeidae)","Birds"
"差羽","さしば","Gray-faced buzzard;grey-faced buzzard (Butastur indicus)","Birds"
"鴫","しぎ","Sandpiper (any bird of family Scolopacidae, incl. the curlews, godwits, phalaropes, redshanks, ruff, snipes, turnstones, and woodcocks)","Birds"
"四十雀","しじゅうから","Japanese tit (Parus minor);Oriental tit","Birds"
"縞味","しまあじ","Garganey (Anas querquedula)","Birds"
"鷓鴣","しゃこ","Francolin (partridge-like bird of genus Francolinus);partridge (of genus Perdix)","Birds"
"軍鶏","シャモ","Game fowl;gamecock","Birds"
"十姉妹","じゅうしまつ","Bengalese finch;society finch (Lonchura striata var. domestica)","Birds"
"綬鶏","じゅけい","Chinese tragopan","Birds"
"雀","すずめ","Knowledgeable person;talkative person;tree sparrow (Passer montanus)","Birds"
"背黄青鸚哥","せきせいいんこ","Budgerigar (Melopsittacus undulatus);budgie;common pet parakeet;shell parakeet","Birds"
"鶺鴒","せきれい","Any bird of family Motacillidae (excluding the pipits);longclaw;wagtail","Birds"
"鷹","たか","Falcon;hawk","Birds"
"駝鳥","だちょう","Ostrich (Struthio camelus)","Birds"
"丹頂","たんちょう","Having a red crest or patch on the head (of a bird, fish, etc.);Japanese crane;red-cap oranda (goldfish);red-crowned crane (Grus japonensis);Tanchō (koi variety)","Birds"
"千鳥/鵆","ちどり","Plover","Birds"
"矮鶏","チャボ","(Japanese) bantam","Birds"
"鶫","つぐみ","Thrush (esp. the dusky thrush, Turdus naumanni)","Birds"
"燕","つばめ","Barn swallow (Hirundo rustica);boy toy;martin;swallow (bird of the Hirundinidae family);younger man involved with an older woman","Birds"
"雀鷂/雀鷹","つみ","Japanese sparrowhawk (Accipiter gularis)","Birds"
"唐丸/鶤鶏","とうまる","Japanese long-crowing chicken","Birds"
"朱鷺/桃花鳥","とき","Crested ibis;Japanese crested ibis (Nipponia nippon)","Birds"
"鴇","とき,のがん","とき:Bustard (esp. the great bustard, Otis tarda);crested ibis;Japanese crested ibis (Nipponia nippon)
のがん:Crested ibis;Japanese crested ibis (Nipponia nippon);bustard (esp. the great bustard, Otis tarda)","Birds"
"鳶/鴟/鵄","とび","Black kite (Milvus migrans);construction worker;filcher;fire hook;firefighter;Inverness cape;pilferer;reddish brown;scaffold erector;sneak thief","Birds"
"野雁","のがん","Bustard (esp. the great bustard, Otis tarda)","Birds"
"鷂","はいたか","Eurasian sparrowhawk (Accipiter nisus)","Birds"
"蜂角鷹","はちくま","Crested honey buzzard (Pernis ptilorhynchus);Oriental honey buzzard;pern","Birds"
"鳩","はと","Dove;pigeon","Birds"
"隼","はやぶさ","Falcon (esp. the peregrine falcon, Falco peregrinus)","Birds"
"鷭","ばん","Gallinule;moorhen (Gallinula chloropus);waterhen","Birds"
"火食鳥/食火鶏","ひくいどり","Cassowary (Casuarius spp.)","Birds"
"菱喰/鴻","ひしくい","Fenghuang (Chinese phoenix);large bird;peng (in Chinese mythology, giant bird said to transform from a fish);bean goose (Anser fabalis)","Birds"
"鶲","ひたき","Old World flycatcher (any bird of family Muscicapinae, esp. the typical flycatchers of subfamily Muscicapinae)","Birds"
"告天子/雲雀","ひばり","Mongolian lark (Melanocorypha mongolica);skylark (Alauda arvensis)","Birds"
"鵯","ひよどり","Brown-eared bulbul (Hypsipetes amaurotis)","Birds"
"鶸","ひわ","Cardueline finch (any finch of subfamily Carduelinae, esp. the Eurasian siskin, Carduelis spinus)","Birds"
"梟","ふくろう","Owl (esp. the Ural owl, Strix uralensis)","Birds"
"仏法僧","ぶっぽうそう","Bddha, Dharma, Sangha;Buddha, the teachings of Buddha, and the community of monks and nuns;Eurasian scops owl (Otus scops);Oriental dollarbird (Eurystomus orientalis);roller (any ","Birds"
"頬白","ほおじろ","Great white shark;meadow bunting (species of passerine, Emberiza cioides);white pointer (Carcharodon carcharias)","Birds"
"不如帰/子規/時鳥/杜鵑/蜀魂","ほととぎす","Lesser cuckoo (Cuculus poliocephalus)","Birds"
"珠鶏","ほろほろちょう","Helmeted guinea fowl (Numida meleagris)","Birds"
"雎鳩/鶚","みさご","Fish hawk;osprey (Pandion haliaetus)","Birds"
"水薙鳥","みずなぎどり","Petrel (esp. petrels of family Procellariidae)","Birds"
"鷦鷯","みそさざい","Winter wren (Troglodytes troglodytes)","Birds"
"木菟/角鴟","みみずく","Horned owl","Birds"
"椋鳥","むくどり","Bumpkin;gray starling;grey starling (Sturnus cineraceus);gullible person;sixty-nine (sexual position);starling (any bird of family Sturnidae);white-cheeked starling","Birds"
"目白/眼白","めじろ","Japanese white-eye (Zosterops japonicus);white-eye family of birds (Zosteropidae)","Birds"
"百舌/百舌鳥/鵙","もず","Bull-headed shrike (Lanius bucephalus);butcher bird;shrike (any bird of family Laniidae)","Birds"
"戴勝","やつがしら","Hoopoe (species of Eurasian bird, Upupa epops)","Birds"
"山雀","やまがら","Varied tit (species of titmouse, Poecile varius)","Birds"
"山翡翠/山魚狗","やませみ","Crested kingfisher (Megaceryle lugubris)","Birds"
"山原水鶏","やんばるくいな","Okinawa rail (Gallirallus okinawae)","Birds"
"百合鴎","ゆりかもめ","Black-headed gull (Chroicocephalus ridibundus);hooded gull","Birds"
"葦切","よしきり","Reed warbler (esp. the great reed warbler, but also the black-browed reed warbler)","Birds"
"葭五位/葦五位","よしごい","Yellow bittern (Ixobrychus sinensis)","Birds"
"怪鴟/蚊母鳥","よたか","Goatsucker;grey nightjar (Caprimulgus indicus);low class prostitute (Edo period);nightjar (any bird of family Caprimulgidae);soba sold by these vendors;soba vendors who walk around","Birds"
"蓮角","れんかく","Jacana (esp. the pheasant-tailed jacana, Hydrophasianus chirurgus);lily-trotter","Birds"
"連雀","れんじゃく","Japanese waxwing","Birds"
"鷲","わし","Eagle (Accipitridae family)","Birds"
"藍子","あいご","Dusky rabbitfish;mottled spinefoot (Siganus fuscescens, species of Western Pacific rabbitfish);sandy spinefoot","Fish"
"鮎並/鮎魚女","あいなめ","Fat greenling (Hexagrammos otakii)","Fish"
"赤魚鯛","あこうだい","Matsubara's red rockfish (Sebastes matsubarae);red rockfish;red scorpionfish","Fish"
"阿古屋貝","あこやがい","Akoya pearl oyster;Marten's pearl oyster (Pinctada fucata martensii)","Fish"
"浅蜊","あさり","Japanese littleneck clam;Manila clam (Ruditapes philippinarum)","Fish"
"鯵/鰺","あじ","Horse mackerel (Carangidae spp., esp. the Japanese horse mackerel, Trachurus japonicus);jack mackerel;pompano;scad","Fish"
"穴子","あなご","Conger eel (esp. the common Japanese conger, Conger myriaster);garden eel","Fish"
"醤蝦","あみ","Mysid;opossum shrimp (Mysida spp.)","Fish"
"年魚/香魚/鮎","あゆ","Ayu;salmon;sweetfish (Plecoglossus altivelis altivelis)","Fish"
"石決明","あわび","Powdered abalone shell (used in Chinese medicine);abalone;ear shell","Fish"
"鮑","あわび","Abalone;ear shell","Fish"
"鰒","あわび,ふぐ","あわび:Blow fish;fugu;globefish;puffer fish;swellfish;abalone;ear shell
ふぐ:Abalone;ear shell;blow fish;fugu;globefish;puffer fish;swellfish","Fish"
"鮟鱇","あんこう","Goosefish (any fish of family Lophiidae);monkfish;potbellied sumo wrestler;sea devil;wrestler with a big belly;curved gutter;fool;goosefish (any fish of family Lophiidae);monkfish;","Fish"
"飯蛸","いいだこ","Ocellated octopus (Octopus ocellatus)","Fish"
"烏賊","いか","Cuttlefish;squid","Fish"
"貽貝","いがい","Korean mussel (Mytilus coruscus)","Fish"
"玉筋魚","いかなご","Japanese sand lance (Ammodytes personatus);Pacific sandeel","Fish"
"池蝶貝","いけちょうがい","Hyriopsis schlegelii (species of freshwater mussel)","Fish"
"伊佐木/鶏魚","いさき","Chicken grunt (Parapristipoma trilineatum);threeline grunt","Fish"
"石持/石首魚","いしもち","Coral fish;Indian perch;Nibe croaker (Nibea mitsukurii);silver croaker;silver white croaker (Pennahia argentata);vertical-striped cardinalfish (Apogon lineatus);white croaker","Fish"
"糸魚","いとよ","Three-spined stickleback (Gasterosteus aculeatus)","Fish"
"鰮/鰯","いわし","Pilchard (esp. Japanese pilchard, Sardinops melanostictus);sardine","Fish"
"嘉魚/岩魚","いわな","Char (esp. the Japanese char, Salvelinus pluvius);charr","Fish"
"石斑魚","うぐい","Japanese dace (Tribolodon hakonensis)","Fish"
"鰻","うなぎ","Eel (esp. the Japanese eel, Anguilla japonica);eel (esp. the Japanese eel, Anguilla japonica)","Fish"
"海栗/海胆/雲丹","うに","Sea urchin;seasoned sea urchin eggs","Fish"
"海鷂魚","えい","Ray (any fish of superorder Batoidea)","Fish"
"狗母魚","えそ","Lizardfish (any fish of family Synodontidae)","Fish"
"斉魚","えつ","Japanese grenadier anchovy (Coilia nasus)","Fish"
"海老","えび","Crayfish;lobster;prawn;shrimp","Fish"
"蝦","えび","Frog;kajika frog (Buergeria buergeri);crayfish;lobster;prawn;shrimp","Fish"
"追河","おいかわ","Freshwater minnow;pale chub (Zacco platypus)","Fish"
"虎魚","おこぜ","Scorpion fish;stingfish;stonefish","Fish"
"大鮃","おひょう","Halibut (esp. the Pacific halibut, Hippoglossus stenolepis)","Fish"
"牡蠣","かき","Oyster;oyster shell","Fish"
"笠子","かさご","Marbled rockfish (Sebastiscus marmoratus);scorpionfish","Fish"
"杜父魚","かじか","Fourspine sculpin (species of fish, Cottus kazika);Japanese fluvial sculpin (Cottus pollux);sculpin (any fish of family Cottidae, incl. the bullheads and the miller's-thumb)","Fish"
"鰍","かじか","Young Japanese amberjack (Seriola quinqueradiata);Japanese fluvial sculpin (Cottus pollux);sculpin (any fish of family Cottidae, incl. the bullheads and the miller's-thumb)","Fish"
"旗魚/梶木","かじき","Marlin;sailfish;spearfish;swordfish","Fish"
"堅魚/松魚/鰹","かつお","Oceanic bonito;skipjack tuna (Katsuwonus pelamis);victorfish","Fish"
"金頭","かながしら","Redwing searobin (species of gurnard, Lepidotrigla microptera)","Fish"
"蟹","かに","Crab","Fish"
"兜海老/兜蝦","かぶとえび","Shield shrimp;tadpole shrimp (Triopsidae spp.)","Fish"
"兜蟹","かぶとがに","Horseshoe crab","Fish"
"梭子魚/梭魚","かます","Barracuda (Sphyraena spp.)","Fish"
"鰈","かれい","Righteye flounder (any fish of family Pleuronectidae)","Fish"
"川蜷/河貝子","かわにな","Freshwater snail","Fish"
"皮剥","かわはぎ","Barker;barking;skinner;skinning (an animal);stripping (a tree of its bark);thread-sail filefish (Stephanolepis cirrhifer)","Fish"
"間八","かんぱち","Greater amberjack (Seriola dumerili);greater yellowtail;purplish amberjack","Fish"
"喜佐古","きさご","Umbonium costatum (species of sea snail)","Fish"
"細螺","きさご","Umbonium costatum (species of sea snail);Umbonium costatum (species of sea snail)","Fish"
"鱚","きす","Sillago (any fish of genus Sillago, esp. the Japanese whiting, Sillago japonica)","Fish"
"吉備奈仔/黍魚子","きびなご","Silver-stripe round herring (Spratelloides gracilis)","Fish"
"金海鼠","きんこ","Orange-footed sea cucumber","Fish"
"銀宝","ぎんぽ","Tidepool gunnel (Pholis nebulosa)","Fish"
"水母/海月","くらげ","Jellyfish;medusa","Fish"
"鯉","こい","Common carp (Cyprinus carpio);koi carp","Fish"
"牛尾魚/鯒","こち","Flathead (esp. the bartailed flathead, Platycephalus indicus)","Fish"
"鮗","このしろ","Konoshiro gizzard shad (Konosirus punctatus)","Fish"
"石伏魚/鮴","ごり","Common freshwater goby (Gymnogobius urotaenia);dusky tripletooth goby (Tridentiger obscurus);fish of the genus Rhinogobius;Japanese fluvial sculpin (fish, Cottus pollux)","Fish"
"権瑞","ごんずい","Striped eel catfish (Plotosus lineatus)","Fish"
"鮭","さけ","Chum salmon (Oncorhynchus keta);salmon (Salmonidae spp.)","Fish"
"拳螺/栄螺","さざえ","Turban shell (any mollusc of the family Turbinidae, esp. the horned turban, Turbo cornutus)","Fish"
"拶双魚","さっぱ","Japanese sardinella (Sardinella zunasi)","Fish"
"鯖","さば","Mackerel (esp. the chub mackerel, Scomber japonicus);server (esp. in an online game)","Fish"
"鮫","さめ","Shark","Fish"
"細魚","さより","Japanese halfbeak (Hemiramphus sajori);stickleback","Fish"
"針魚","さより,はりよ","さより:Gasterosteus microcephalus (species of stickleback);Japanese halfbeak (Hemiramphus sajori);stickleback
はりよ:Japanese halfbeak (Hemiramphus sajori);stickleback;Gasterosteus microcephalus (species of stickleback)","Fish"
"鰆","さわら","Japanese Spanish mackerel (Scomberomorus niphonius)","Fish"
"珊瑚","さんご","Coral","Fish"
"秋刀魚","さんま","Mackerel pike;Pacific saury (Cololabis saira)","Fish"
"望潮/潮招","しおまねき","Fiddler crab (esp. species Uca arcuata)","Fish"
"蜆","しじみ","Basket clam (Corbiculidae spp.);freshwater clam;freshwater mussel","Fish"
"柳葉魚","ししゃも","Shishamo smelt (Spirinchus lanceolatus)","Fish"
"青蝦/芝海老","しばえび","Shiba shrimp (prawn, Metapenaeus joyneri)","Fish"
"蝦蛄/青竜蝦","しゃこ","Mantis crab;mantis shrimp (any marine crustacean of order Stomatopoda, esp. the species Oratosquilla oratoria);squilla","Fish"
"白魚","しらうお","Ice goby (Leucopsarion petersii);icefish (Salangidae spp., esp. the Japanese icefish, Salangichthys microdon);noodlefish;whitebait","Fish"
"介党鱈","すけとうだら","Alaska pollack;walleye pollack (Theragra chalcogramma)","Fish"
"鱸","すずき","Japanese sea bass (Lateolabrax japonicus)","Fish"
"宗太鰹","そうだがつお","Frigate tuna (Auxis spp.)","Fish"
"鯛","たい","Porgy;sea bream (Sparidae);tai (species of reddish-brown Pacific sea bream, Pagrus major)","Fish"
"高砂","たかさご","Double-lined fusilier (Pterocaesio digramma);Taiwan (nickname);Takasago (classic noh play by Zeami)","Fish"
"章魚/蛸/鮹","たこ","Octopus","Fish"
"太刀魚","たちうお","Beltfish;largehead hairtail (Trichiurus lepturus);scabbard fish","Fish"
"駄津","だつ","Pacific needlefish (Strongylura anastomella)","Fish"
"田螺","たにし","Pond snail (Viviparidae spp.)","Fish"
"大口魚/鱈","たら","Gadid (any fish of the family Gadidae, incl. cod, haddock, whiting and pollack);Pacific cod (Gadus macrocephalus)","Fish"
"知知武","ちちぶ","Dusky tripletooth goby (Tridentiger obscurus)","Fish"
"蝶鮫","ちょうざめ","Sturgeon (esp. the green sturgeon, Acipenser medirostris)","Fish"
"常節","とこぶし","Sulculus diversicolor supertexta (species of abalone or ear shell)","Fish"
"泥鰌/鰌","どじょう","Loach (any fish of family Cobitidae);pond loach;weather loach (Misgurnus anguillicaudatus)","Fish"
"飛魚","とびうお","Flying fish (esp. the Japanese flying fish, Cypselurus agoo)","Fish"
"溝貝","どぶがい","Chinese pond mussel (Sinanodonta woodiana)","Fish"
"富魚","とみよ","Amur stickleback (Pungitius sinensis)","Fish"
"海鼠","なまこ","Sea cucumber (Holothuroidea spp.)","Fish"
"鯰","なまず","Catfish (esp. the Amur catfish, Silurus asotus);earthquake","Fish"
"鯡/鰊","にしん","Pacific herring (Clupea pallasii)","Fish"
"馬鹿貝","ばかがい","Mactra chinensis (species of trough shell)","Fish"
"沙魚/蝦虎魚/鯊","はぜ","Goby (fish);yellowfin goby (Acanthogobius flavimanus)","Fish"
"燭魚/鰰","はたはた","Japanese sandfish;sailfin sandfish (Arctoscopus japonicus)","Fish"
"雷魚","はたはた","Blotched snakehead (Channa maculata);northern snakehead (Channa argus);Japanese sandfish;sailfin sandfish (Arctoscopus japonicus)","Fish"
"文蛤/蚌","はまぐり","Common orient clam (Meretrix lusoria)","Fish"
"蛤","はまぐり","Frog;kajika frog (Buergeria buergeri);common orient clam (Meretrix lusoria)","Fish"
"鱧","はも","Conger eel;daggertooth pike conger (Muraenesox cinereus);garden eel","Fish"
"鰉","ひがい","Sarcocheillichthys variegatus (species of minnow)","Fish"
"人手","ひとで","(human) hand;aide;any echinoderm of the class Asteroidea;assistance;asteroid;effort;hand (worker);help;human act;labor;labour;manpower;northern Pacific seastar (Asterias amurensis)","Fish"
"海星/海盤車","ひとで","Any echinoderm of the class Asteroidea;asteroid;northern Pacific seastar (Asterias amurensis);sea star;starfish","Fish"
"平政","ひらまさ","Yellowtail amberjack (species of fish, Seriola lalandi)","Fish"
"平目/比目魚/鮃","ひらめ","Bastard halibut;flounder (esp. the large-tooth flounders of family Paralichthyidae, but also lefteye flounders of family Bothidae);olive flounder (Paralichthys olivaceus);person wh","Fish"
"鱶","ふか","(large) shark","Fish"
"河豚","ふぐ","Blow fish;fugu;globefish;puffer fish;swellfish","Fish"
"富士壺","ふじつぼ","Acorn barnacle (Balanomorpha spp.)","Fish"
"鮒","ふな","Crucian carp (Carassius spp.)","Fish"
"鰤","ぶり","Japanese amberjack (species of yellowtail, Seriola quinqueradiata)","Fish"
"倍良/遍羅","べら","Wrasse (any fish of family Labridae)","Fish"
