Question,Answer,Comment,Instruction,Render as
"串,||くし||","spit, skewer","",Guess the meaning of the Kunyomi reading,Text
"牙,||きば||","tusk, fang, canine tooth, eyetooth","Onyomi: ガ,ゲ = tusk, fang, canine tooth, eyetooth",Guess the meaning of the Kunyomi reading,Text
"崖,||がけ||","cliff, bluff, precipice","Onyomi: ガイ = cliff, bluff, precipice",Guess the meaning of the Kunyomi reading,Text
"蓋,||ふた||","cover, lid, flap, hood","Onyomi: ガイ = cover",Guess the meaning of the Kunyomi reading,Text
"潰,||つぶす,つぶれる||","be smashed, be destroyed, collapse, be defaced(type), be ruined, be worn down, crush, smash, break, dissipate, waste(time), kill, butcher, demolish, melt down","Onyomi: カイ = crush, smash, break, dissipate, waste(time), kill, butcher, demolish, melt down",Guess the meaning of the Kunyomi reading,Text
"顎,||あご||","jaw, chin","Onyomi: ガク = jaw",Guess the meaning of the Kunyomi reading,Text
"葛,||くず||","arrowroot, arrowroot starch","Onyomi: カツ = arrowroot, a strongfiber vine",Guess the meaning of the Kunyomi reading,Text
"亀,||かめ||","turtle, tortoise","Onyomi: キ = turtle, tortoise",Guess the meaning of the Kunyomi reading,Text
"臼,||うす||","mortar, hand mill","Onyomi: キュウ = mortar, hand mill",Guess the meaning of the Kunyomi reading,Text
"嗅,||かぐ||","smell, sniff, scent","Onyomi: キュウ = smell, sniff, scent",Guess the meaning of the Kunyomi reading,Text
"僅,||わずか||","a little, a small quantity","Onyomi: キン = a little, a small quantity",Guess the meaning of the Kunyomi reading,Text
"錦,||にしき||","brocade, fine dress, honors","Onyomi: キン = brocade, fine dress, honors",Guess the meaning of the Kunyomi reading,Text
"詣,||もうでる||","go, come, call, visit, visit a shrine","Onyomi: ケイ = visit a temple or shrine",Guess the meaning of the Kunyomi reading,Text
"隙,||すき||","time, leisure, gap, crack, room, space, chance, unpreparedness, unguarded moment","Onyomi: ゲキ = crevice, fissure, chink, discord, opportunity",Guess the meaning of the Kunyomi reading,Text
"鍵,||かぎ||","key","Onyomi: ケン = (piano)key",Guess the meaning of the Kunyomi reading,Text
"拳,||こぶし||","fist","Onyomi: ケン = fist",Guess the meaning of the Kunyomi reading,Text
"股,||また||","crotch, thigh, groin","Onyomi: コ = thigh, crotch, yarn, strand, ply",Guess the meaning of the Kunyomi reading,Text
"虎,||とら||","tiger, drunkard","Onyomi: コ = tiger, drunkard",Guess the meaning of the Kunyomi reading,Text
"喉,||のど||","throat, voice","Onyomi: コウ = throat, voice",Guess the meaning of the Kunyomi reading,Text
"痕,||あと||","mark, footprint","Onyomi: コン = mark, footprint",Guess the meaning of the Kunyomi reading,Text
"塞,||ふさぐ,ふさがる||","close, shut, cover, block, wall up obstruct, fill, occupy, be closed, be blocked, be obstructed, be clogged, be shut, be occupied","Onyomi: サイ,ソク = close, shut, cover, block, wall up obstruct, fill, occupy",Guess the meaning of the Kunyomi reading,Text
"斬,||きる||","kill, cut","Onyomi: ザン = beheading",Guess the meaning of the Kunyomi reading,Text
"餌,||えさ,え||","feed, food, bait, prey, tempting profit","Onyomi: ジ = food",Guess the meaning of the Kunyomi reading,Text
"叱,||しかる||","scold, reprove","Onyomi: シツ = scold, reprove",Guess the meaning of the Kunyomi reading,Text
"呪,||のろう||","curse","Onyomi: ジュ = spell, curse, incantation",Guess the meaning of the Kunyomi reading,Text
"腫,||はれる,はらす||","swell, become swollen, inflame, cause to swell","Onyomi: シュ = tumor, swelling",Guess the meaning of the Kunyomi reading,Text
"蹴,||ける||","kick","Onyomi: シュウ = kick",Guess the meaning of the Kunyomi reading,Text
"袖,||そで||","sleeve, sleeve pocket, wing(of a building), extension(of a table)","Onyomi: シュウ = sleeve, sleeve pocket, wing(of a building), extension(of a table)",Guess the meaning of the Kunyomi reading,Text
"憧,||あこがれる||","yearn after, long for, thirst for, aspire to, admire, adore","Onyomi: ショウ = yearn after, long for, thirst for, aspire to, admire, adore",Guess the meaning of the Kunyomi reading,Text
"拭,||ふく,ぬぐう||","wipe, mop, swab","Onyomi: ショク = wipe, mop, swab",Guess the meaning of the Kunyomi reading,Text
"羨,||うらやむ,うらやましい||","be envious, be jealous, covet, enviable","Onyomi: セン = be envious, be jealous, covet",Guess the meaning of the Kunyomi reading,Text
"煎,||いる||","broil, parch, roast, fire (tea), boil down (in oil)","Onyomi: セン = broil, parch, roast, fire (tea), boil down (in oil)",Guess the meaning of the Kunyomi reading,Text
"狙,||ねらう||","aim at, sight, watch for, shadow, stalk","Onyomi: ソ = aim at, sight, watch for, shadow, stalk",Guess the meaning of the Kunyomi reading,Text
"遡,||さかのぼる||","go upstream, retrace the past","Onyomi: ソ = go upstream, retrace the past",Guess the meaning of the Kunyomi reading,Text
"痩,||やせる||","get thin","Onyomi: ソウ = get thin",Guess the meaning of the Kunyomi reading,Text
"爽,||さわやか||","refreshing, bracing, clear, resonant, sweet(voice), fluent","Onyomi: ソウ = refreshing, bracing, clear, resonant, sweet(voice), fluent",Guess the meaning of the Kunyomi reading,Text
"捉,||とらえる||","catch, arrest, capture","Onyomi: ソク = catch, arrest, capture",Guess the meaning of the Kunyomi reading,Text
"唾,||つば||","sputum, saliva","Onyomi: ダ = sputum, saliva",Guess the meaning of the Kunyomi reading,Text
"綻,||ほころびる||","be rent, be ripped, unravel, run, begin to open, smile","Onyomi: タン = be rent, be ripped, unravel, run, begin to open, smile",Guess the meaning of the Kunyomi reading,Text
"貼,||はる||","stick, paste, affix, post, paper, apply (tile, etc.)","Onyomi: チョウ = counter for medicine packages",Guess the meaning of the Kunyomi reading,Text
"嘲,||あざける||","rudicule, insult","Onyomi: チョウ = rudicule, insult",Guess the meaning of the Kunyomi reading,Text
"諦,||あきらめる||","abandon, give up, resign to, be reconciled to","Onyomi: テイ = abandon, give up, resign to, be reconciled to",Guess the meaning of the Kunyomi reading,Text
"溺,||おぼれる||","drown, indulge in","Onyomi: デキ = drown, indulge in",Guess the meaning of the Kunyomi reading,Text
"妬,||ねたむ||","be jealous of, be envious of","Onyomi: ト = be jealous of, be envious of",Guess the meaning of the Kunyomi reading,Text
"賭,||かける||","wager, place a bet","Onyomi: ト = gambling",Guess the meaning of the Kunyomi reading,Text
"瞳,||ひとみ||","pupil of the eye","Onyomi: ドウ = pupil of the eye",Guess the meaning of the Kunyomi reading,Text
"藤,||ふじ||","wisteria","Onyomi: トウ = wisteria",Guess the meaning of the Kunyomi reading,Text
"貪,||むさぼる||","covet, indulge in","Onyomi: ドン = coveting",Guess the meaning of the Kunyomi reading,Text
"罵,||ののしる||","abuse, insult, speak ill of","Onyomi: バ = abuse, insult, speak ill of",Guess the meaning of the Kunyomi reading,Text
"剥,||はがす,はぐ,はがれる,はげる||","come off, peel off, be worn off, fade, discolor, rip off, strip off, skin, flay, disrobe, deprive of","Onyomi: ハク = come off, peel off, be worn off, fade, discolor",Guess the meaning of the Kunyomi reading,Text
"眉,||まゆ||","eyebrow","Onyomi: ビ,ミ = eyebrow",Guess the meaning of the Kunyomi reading,Text
"餅,||もち||","rice cake","Onyomi: ヘイ = rice cake",Guess the meaning of the Kunyomi reading,Text
"蔑,||さげすむ||","despise, ridicule","Onyomi: ベツ = ignore, despise, neglect, ridicule",Guess the meaning of the Kunyomi reading,Text
"蜂,||はち||","bee, wasp, hornet","Onyomi: ホウ = bee, wasp, hornet",Guess the meaning of the Kunyomi reading,Text
"湧,||わく||","boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched","Onyomi: ユウ = boil, get hot, ferment, seethe, be in an uproar, gush out, grow, breed, be hatched",Guess the meaning of the Kunyomi reading,Text
"妖,||あやしい||","attractive, bewitching, calamity","Onyomi: ヨウ = attractive, bewitching, calamity",Guess the meaning of the Kunyomi reading,Text
"藍,||あい||","indigo (blue), indigo plant","Onyomi: ラン = indigo (blue), indigo plant",Guess the meaning of the Kunyomi reading,Text
"籠,||かご,こもる||","cage, coop, basket, seclude oneself, be confined in, be implied, be stuffy, be filled with (smoke)","Onyomi: ロウ = be crowed, requiring (a lot of work)",Guess the meaning of the Kunyomi reading,Text
"弄,||もてあそぶ||","play, take pleasure in, play (on an instrument), play with, make sport of, trifle with (affections)","Onyomi: ロウ = play with, trifle with",Guess the meaning of the Kunyomi reading,Text
"麓,||ふもと||","foot of a mountain","Onyomi: ロク = foot of a mountain",Guess the meaning of the Kunyomi reading,Text
"伎,||キ||","deed, skill","",Guess the meaning of the Onyomi reading,Text
"侶,||リョ||","companion, follower","",Guess the meaning of the Onyomi reading,Text
"傲,||ゴウ||","be proud","",Guess the meaning of the Onyomi reading,Text
"冥,||メイ,ミョウ||","dark","",Guess the meaning of the Onyomi reading,Text
"冶,||ヤ||","melting","",Guess the meaning of the Onyomi reading,Text
"凄,||セイ||","threaten","",Guess the meaning of the Onyomi reading,Text
"刹,||サツ,セツ||","temple","",Guess the meaning of the Onyomi reading,Text
"勃,||ボツ||","suddenness, rise","",Guess the meaning of the Onyomi reading,Text
"勾,||コウ||","to bent","",Guess the meaning of the Onyomi reading,Text
"呂,||ロ||","backbone","",Guess the meaning of the Onyomi reading,Text
"咽,||イン||","be choked, be smothered","",Guess the meaning of the Onyomi reading,Text
"哺,||ホ||","taking in the mouth","",Guess the meaning of the Onyomi reading,Text
"喩,||ユ||","compare, illustrate, speak figuratively","",Guess the meaning of the Onyomi reading,Text
"堆,||タイ||","piled high","",Guess the meaning of the Onyomi reading,Text
"填,||テン||","go into, fit into, fall into, plunge into, be deceived","",Guess the meaning of the Onyomi reading,Text
"嫉,||シツ||","be jealous, envy","",Guess the meaning of the Onyomi reading,Text
"巾,||キン||","towel","",Guess the meaning of the Onyomi reading,Text
"彙,||イ||","same kind","",Guess the meaning of the Onyomi reading,Text
"怨,||エン,オン||","bear a grudge, show resentment, be jealous","",Guess the meaning of the Onyomi reading,Text
"恣,||シ||","selfindulgent, wayward, selfish, arbitrary","",Guess the meaning of the Onyomi reading,Text
"惧,||グ||","fear, be overawed, be apprehensive","",Guess the meaning of the Onyomi reading,Text
"慄,||リツ||","fear, shudder","",Guess the meaning of the Onyomi reading,Text
"憬,||ケイ||","long for","",Guess the meaning of the Onyomi reading,Text
"戚,||セキ||","relative, sadness","",Guess the meaning of the Onyomi reading,Text
"戴,||タイ||","be crowned with, wear, live under (a ruler), install ( a president), receive, accept, buy, take, eat, drink (humble)","",Guess the meaning of the Onyomi reading,Text
"拉,||ラ||","Latin","",Guess the meaning of the Onyomi reading,Text
"拶,||サツ||","be imminent","",Guess the meaning of the Onyomi reading,Text
"挨,||アイ||","push open","",Guess the meaning of the Onyomi reading,Text
"挫,||ザ||","crush, break, sprain, dislocate, frustrate, unnerve, dampen(spirits)","",Guess the meaning of the Onyomi reading,Text
"捗,||チョク||","make progress","",Guess the meaning of the Onyomi reading,Text
"捻,||ネン||","pinch (of salt), small gift of money, a twist","",Guess the meaning of the Onyomi reading,Text
"摯,||シ||","gift, seriousness","",Guess the meaning of the Onyomi reading,Text
"斑,||ハン||","spot","",Guess the meaning of the Onyomi reading,Text
"旦,||タン,ダン||","dawn, early moring","",Guess the meaning of the Onyomi reading,Text
"旺,||オウ||","flourishing, successful, beautiful, vigorous","",Guess the meaning of the Onyomi reading,Text
"昧,||マイ||","dark, foolish","",Guess the meaning of the Onyomi reading,Text
"曖,||アイ||","dark, not clear","",Guess the meaning of the Onyomi reading,Text
"曽,||ソウ,ゾ||","once, before, formerly, ever, never(neg.), former, ex","",Guess the meaning of the Onyomi reading,Text
"柵,||サク||","stockade, fence, palisade","",Guess the meaning of the Onyomi reading,Text
"梗,||コウ||","for the most part, close up","",Guess the meaning of the Onyomi reading,Text
"椅,||イ||","chair","",Guess the meaning of the Onyomi reading,Text
"椎,||ツイ||","hammer, mallet","",Guess the meaning of the Onyomi reading,Text
"楷,||カイ||","squarecharacter style, straight tree, correctness, rule, model","",Guess the meaning of the Onyomi reading,Text
"毀,||キ||","break, destroy, demolish","",Guess the meaning of the Onyomi reading,Text
"氾,||ハン||","spread out, wide","",Guess the meaning of the Onyomi reading,Text
"汎,||ハン||","pan","",Guess the meaning of the Onyomi reading,Text
"汰,||タ||","luxury, select","",Guess the meaning of the Onyomi reading,Text
"沃,||ヨク||","pour, fertility","",Guess the meaning of the Onyomi reading,Text
"沙,||サ||","sand","",Guess the meaning of the Onyomi reading,Text
"玩,||ガン||","play, take pleasure in, play (on an instrument), play with, make sport of, trifle with (affections)","",Guess the meaning of the Onyomi reading,Text
"瑠,||ル||","lapis lazuli","",Guess the meaning of the Onyomi reading,Text
"璃,||リ||","lapis lazuli","",Guess the meaning of the Onyomi reading,Text
"璧,||ヘキ||","ball, bowl, sphere, bulb","",Guess the meaning of the Onyomi reading,Text
"畿,||キ||","capital, capital suburbs","",Guess the meaning of the Onyomi reading,Text
"瘍,||ヨウ||","boil, carbuncle","",Guess the meaning of the Onyomi reading,Text
"睦,||ボク||","friendly, intimate, harmonious","",Guess the meaning of the Onyomi reading,Text
"瞭,||リョウ||","clear","",Guess the meaning of the Onyomi reading,Text
"稽,||ケイ||","think, consider, quarrel","",Guess the meaning of the Onyomi reading,Text
"窟,||クツ||","cavern","",Guess the meaning of the Onyomi reading,Text
"箋,||セン||","paper, label, letter, composition","",Guess the meaning of the Onyomi reading,Text
"緻,||チ||","fine (not coarse)","",Guess the meaning of the Onyomi reading,Text
"羞,||シュウ||","feel ashamed","",Guess the meaning of the Onyomi reading,Text
"脊,||セキ||","stature, height","",Guess the meaning of the Onyomi reading,Text
"腎,||ジン||","kidney","",Guess the meaning of the Onyomi reading,Text
"腺,||セン||","gland","",Guess the meaning of the Onyomi reading,Text
"膳,||ゼン||","small low table, tray","",Guess the meaning of the Onyomi reading,Text
"臆,||オク||","timidity, breast, heart, mind","",Guess the meaning of the Onyomi reading,Text
"舷,||ゲン||","gunwale","",Guess the meaning of the Onyomi reading,Text
"芯,||シン||","wick","",Guess the meaning of the Onyomi reading,Text
"苛,||カ||","torment, scold, chastise","",Guess the meaning of the Onyomi reading,Text
"蔽,||ヘイ||","cover, covering, shade, mantle, coat, hood, bonnet, casing, awning","",Guess the meaning of the Onyomi reading,Text
"蜜,||ミツ||","honey, nectar, molasses, honeydew","",Guess the meaning of the Onyomi reading,Text
"訃,||フ||","obituary, report of a death","",Guess the meaning of the Onyomi reading,Text
"詮,||セン||","discussion, selection, methods called for, result, effect","",Guess the meaning of the Onyomi reading,Text
"諧,||カイ||","harmony, order, suitability","",Guess the meaning of the Onyomi reading,Text
"貌,||ボウ||","form, appearance, countenance","",Guess the meaning of the Onyomi reading,Text
"賂,||ロ||","bribe","",Guess the meaning of the Onyomi reading,Text
"踪,||ソウ||","remains (of something), clue, footprint","",Guess the meaning of the Onyomi reading,Text
"辣,||ラツ||","bitter","",Guess the meaning of the Onyomi reading,Text
"遜,||ソン||","humble oneself, condescend, be modest","",Guess the meaning of the Onyomi reading,Text
"那,||ナ||","what","",Guess the meaning of the Onyomi reading,Text
"酎,||チュウ||","sak_","",Guess the meaning of the Onyomi reading,Text
"醒,||セイ||","awake, be disillusioned, sober up","",Guess the meaning of the Onyomi reading,Text
"采,||サイ||","dice, form, appearance","",Guess the meaning of the Onyomi reading,Text
"錮,||コ||","to tie","",Guess the meaning of the Onyomi reading,Text
"韓,||カン||","Korea","",Guess the meaning of the Onyomi reading,Text
"須,||ス||","by all means, necessarily","",Guess the meaning of the Onyomi reading,Text
"頓,||トン||","suddenly, in a hurry, immediately","",Guess the meaning of the Onyomi reading,Text
"骸,||ガイ||","bone, body","",Guess the meaning of the Onyomi reading,Text
"鬱,||ウツ||","gloom, depression, melancholy","",Guess the meaning of the Onyomi reading,Text
"麺,||メン||","noodles, wheat flour","",Guess the meaning of the Onyomi reading,Text
"藍,||ラン||","indigo (blue), indigo plant","Kunyomi: あい = indigo (blue), indigo plant",Guess the meaning of the Onyomi reading,Text
"諦,||テイ||","abandon, give up, resign to, be reconciled to","Kunyomi: あきらめる = abandon, give up, resign to, be reconciled to",Guess the meaning of the Onyomi reading,Text
"顎,||ガク||","jaw","Kunyomi: あご = jaw, chin",Guess the meaning of the Onyomi reading,Text
"憧,||ショウ||","yearn after, long for, thirst for, aspire to, admire, adore","Kunyomi: あこがれる = yearn after, long for, thirst for, aspire to, admire, adore",Guess the meaning of the Onyomi reading,Text
"嘲,||チョウ||","rudicule, insult","Kunyomi: あざける = rudicule, insult",Guess the meaning of the Onyomi reading,Text
"痕,||コン||","mark, footprint","Kunyomi: あと = mark, footprint",Guess the meaning of the Onyomi reading,Text
"妖,||ヨウ||","attractive, bewitching, calamity","Kunyomi: あやしい = attractive, bewitching, calamity",Guess the meaning of the Onyomi reading,Text
"煎,||セン||","broil, parch, roast, fire (tea), boil down (in oil)","Kunyomi: いる = broil, parch, roast, fire (tea), boil down (in oil)",Guess the meaning of the Onyomi reading,Text
"臼,||キュウ||","mortar, hand mill","Kunyomi: うす = mortar, hand mill",Guess the meaning of the Onyomi reading,Text
"羨,||セン||","be envious, be jealous, covet","Kunyomi: うらやむ,うらやましい = be envious, be jealous, covet, enviable",Guess the meaning of the Onyomi reading,Text
"餌,||ジ||","food","Kunyomi: えさ,え = feed, food, bait, prey, tempting profit",Guess the meaning of the Onyomi reading,Text
"畏,||イ||","fear, be overawed, be apprehensive","Kunyomi: おそれる = fear, be overawed, be apprehensive",Guess the meaning of the Onyomi reading,Text
"溺,||デキ||","drown, indulge in","Kunyomi: おぼれる = drown, indulge in",Guess the meaning of the Onyomi reading,Text
"鍵,||ケン||","(piano)key","Kunyomi: かぎ = key",Guess the meaning of the Onyomi reading,Text
"嗅,||キュウ||","smell, sniff, scent","Kunyomi: かぐ = smell, sniff, scent",Guess the meaning of the Onyomi reading,Text
"崖,||ガイ||","cliff, bluff, precipice","Kunyomi: がけ = cliff, bluff, precipice",Guess the meaning of the Onyomi reading,Text
"賭,||ト||","gambling","Kunyomi: かける = wager, place a bet",Guess the meaning of the Onyomi reading,Text
"籠,||ロウ||","be crowed, requiring (a lot of work)","Kunyomi: かご,こもる = cage, coop, basket, seclude oneself, be confined in, be implied, be stuffy, be filled with (smoke)",Guess the meaning of the Onyomi reading,Text
"亀,||キ||","turtle, tortoise","Kunyomi: かめ = turtle, tortoise",Guess the meaning of the Onyomi reading,Text
"瓦,||ガ||","tile","Kunyomi: かわら = tile",Guess the meaning of the Onyomi reading,Text
"牙,||ガ,ゲ||","tusk, fang, canine tooth, eyetooth","Kunyomi: きば = tusk, fang, canine tooth, eyetooth",Guess the meaning of the Onyomi reading,Text
"斬,||ザン||","beheading","Kunyomi: きる = kill, cut",Guess the meaning of the Onyomi reading,Text
"葛,||カツ||","arrowroot, a strongfiber vine","Kunyomi: くず = arrowroot, arrowroot starch",Guess the meaning of the Onyomi reading,Text
"蹴,||シュウ||","kick","Kunyomi: ける = kick",Guess the meaning of the Onyomi reading,Text
"拳,||ケン||","fist","Kunyomi: こぶし = fist",Guess the meaning of the Onyomi reading,Text
"遡,||ソ||","go upstream, retrace the past","Kunyomi: さかのぼる = go upstream, retrace the past",Guess the meaning of the Onyomi reading,Text
"蔑,||ベツ||","ignore, despise, neglect, ridicule","Kunyomi: さげすむ = despise, ridicule",Guess the meaning of the Onyomi reading,Text
"爽,||ソウ||","refreshing, bracing, clear, resonant, sweet(voice), fluent","Kunyomi: さわやか = refreshing, bracing, clear, resonant, sweet(voice), fluent",Guess the meaning of the Onyomi reading,Text
"叱,||シツ||","scold, reprove","Kunyomi: しかる = scold, reprove",Guess the meaning of the Onyomi reading,Text
"隙,||ゲキ||","crevice, fissure, chink, discord, opportunity","Kunyomi: すき = time, leisure, gap, crack, room, space, chance, unpreparedness, unguarded moment",Guess the meaning of the Onyomi reading,Text
"袖,||シュウ||","sleeve, sleeve pocket, wing(of a building), extension(of a table)","Kunyomi: そで = sleeve, sleeve pocket, wing(of a building), extension(of a table)",Guess the meaning of the Onyomi reading,Text
"唾,||ダ||","sputum, saliva","Kunyomi: つば = sputum, saliva",Guess the meaning of the Onyomi reading,Text
"潰,||カイ||","crush, smash, break, dissipate, waste(time), kill, butcher, demolish, melt down","Kunyomi: つぶす,つぶれる = be smashed, be destroyed, collapse, be defaced(type), be ruined, be worn down, crush, smash, break, dissipate, waste(time), kill, butcher, demolish, melt down",Guess the meaning of the Onyomi reading,Text
"艶,||エン||","luster, glaze, polish, charm","Kunyomi: つや = gloss, luster, glaze, polish, brightness, charm, romance, love",Guess the meaning of the Onyomi reading,Text
"虎,||コ||","tiger, drunkard","Kunyomi: とら = tiger, drunkard",Guess the meaning of the Onyomi reading,Text
"捉,||ソク||","catch, arrest, capture","Kunyomi: とらえる = catch, arrest, capture",Guess the meaning of the Onyomi reading,Text
"萎,||イ||","wither, droop, weaken, be paralyzed, be lame","Kunyomi: なえる = wither, droop, weaken, be paralyzed, be lame",Guess the meaning of the Onyomi reading,Text
"錦,||キン||","brocade, fine dress, honors","Kunyomi: にしき = brocade, fine dress, honors",Guess the meaning of the Onyomi reading,Text
"妬,||ト||","be jealous of, be envious of","Kunyomi: ねたむ = be jealous of, be envious of",Guess the meaning of the Onyomi reading,Text
"狙,||ソ||","aim at, sight, watch for, shadow, stalk","Kunyomi: ねらう = aim at, sight, watch for, shadow, stalk",Guess the meaning of the Onyomi reading,Text
"喉,||コウ||","throat, voice","Kunyomi: のど = throat, voice",Guess the meaning of the Onyomi reading,Text
"罵,||バ||","abuse, insult, speak ill of","Kunyomi: ののしる = abuse, insult, speak ill of",Guess the meaning of the Onyomi reading,Text
"呪,||ジュ||","spell, curse, incantation","Kunyomi: のろう = curse",Guess the meaning of the Onyomi reading,Text
"剥,||ハク||","come off, peel off, be worn off, fade, discolor","Kunyomi: はがす,はぐ,はがれる,はげる = come off, peel off, be worn off, fade, discolor, rip off, strip off, skin, flay, disrobe, deprive of",Guess the meaning of the Onyomi reading,Text
"蜂,||ホウ||","bee, wasp, hornet","Kunyomi: はち = bee, wasp, hornet",Guess the meaning of the Onyomi reading,Text
"貼,||チョウ||","counter for medicine packages","Kunyomi: はる = stick, paste, affix, post, paper, apply (tile, etc.)",Guess the meaning of the Onyomi reading,Text
"腫,||シュ||","tumor, swelling","Kunyomi: はれる,はらす = swell, become swollen, inflame, cause to swell",Guess the meaning of the Onyomi reading,Text
"瞳,||ドウ||","pupil of the eye","Kunyomi: ひとみ = pupil of the eye",Guess the meaning of the Onyomi reading,Text
"拭,||ショク||","wipe, mop, swab","Kunyomi: ふく,ぬぐう = wipe, mop, swab",Guess the meaning of the Onyomi reading,Text
"塞,||サイ,ソク||","close, shut, cover, block, wall up obstruct, fill, occupy","Kunyomi: ふさぐ,ふさがる = close, shut, cover, block, wall up obstruct, fill, occupy, be closed, be blocked, be obstructed, be clogged, be shut, be occupied",Guess the meaning of the Onyomi reading,Text
"藤,||トウ||","wisteria","Kunyomi: ふじ = wisteria",Guess the meaning of the Onyomi reading,Text
"蓋,||ガイ||","cover","Kunyomi: ふた = cover, lid, flap, hood",Guess the meaning of the Onyomi reading,Text
"麓,||ロク||","foot of a mountain","Kunyomi: ふもと = foot of a mountain",Guess the meaning of the Onyomi reading,Text
"綻,||タン||","be rent, be ripped, unravel, run, begin to open, smile","Kunyomi: ほころびる = be rent, be ripped, unravel, run, begin to open, smile",Guess the meaning of the Onyomi reading,Text
"股,||コ||","thigh, crotch, yarn, strand, ply","Kunyomi: また = crotch, thigh, groin",Guess the meaning of the Onyomi reading,Text
"眉,||ビ,ミ||","eyebrow","Kunyomi: まゆ = eyebrow",Guess the meaning of the Onyomi reading,Text
"淫,||イン||","lewdness, licentiousness","Kunyomi: みだら = licentious, indecent, lewd",Guess the meaning of the Onyomi reading,Text
"貪,||ドン||","coveting","Kunyomi: むさぼる = covet, indulge in",Guess the meaning of the Onyomi reading,Text
"詣,||ケイ||","visit a temple or shrine","Kunyomi: もうでる = go, come, call, visit, visit a shrine",Guess the meaning of the Onyomi reading,Text
"餅,||ヘイ||","rice cake","Kunyomi: もち = rice cake",Guess the meaning of the Onyomi reading,Text
"弄,||ロウ||","play with, trifle with","Kunyomi: もてあそぶ = play, take pleasure in, play (on an instrument), play with, make sport of, trifle with (affections)",Guess the meaning of the Onyomi reading,Text
"痩,||ソウ||","get thin","Kunyomi: やせる = get thin",Guess the meaning of the Onyomi reading,Text
