Question,Answer,Comment,Instruction,Render as
"覆,||おおう,くつがえす,くつがえる||","overturn, capsize, fall, be ruined,overthrow, undermine, frustrate, veto, disprove (a theory),cover, veil, hang over, brood over, conceal, overlap, shelter, screen, disguise, wrap, envelop, obscu","Onyomi: フク = overturn, capsize, fall, be ruined",Guess the meaning of the Kunyomi reading,Text
"紛,||まぎれる,まぎらす,まぎらわす,まぎらわしい||","be mistaken for, be confused with, go astray, be diverted from,divert, distract, beguile, evade, conceal,misleading, ambiguous","Onyomi: フン = be mistaken for, be confused with, go astray, be diverted from",Guess the meaning of the Kunyomi reading,Text
"癖,||くせ||","habit, peculiality, vice, trait, fault, curl, kink, mannerism","Onyomi: ヘキ = habit",Guess the meaning of the Kunyomi reading,Text
"募,||つのる||","gather (contributions), campaign (for students), float (a loan), enlist (troops), grow violent","Onyomi: ボ = gather (contributions), campaign (for students), float (a loan), enlist (troops), grow violent",Guess the meaning of the Kunyomi reading,Text
"慕,||したう||","yearn for, love dearly, adore, follow","Onyomi: ボ = yearn for, love dearly, adore, follow",Guess the meaning of the Kunyomi reading,Text
"崩,||くずれる,くずす||","demolish, destroy level (a hill), crumble (bread), change (money), simplify, put in disorder, cut (prices),crumble, collapse, cave in, be destroyed, get out of shape, be routed, worsen (weather)","Onyomi: ホウ = die",Guess the meaning of the Kunyomi reading,Text
"妨,||さまたげる||","disturb, prevent, hamper, hinder, obstruct","Onyomi: ボウ = disturb, prevent, hamper, hinder, obstruct",Guess the meaning of the Kunyomi reading,Text
"芳,||かんばしい||","fragrant, balmy, favorable","Onyomi: ホウ = fragrance",Guess the meaning of the Kunyomi reading,Text
"膨,||ふくらむ,ふくれる||","swell","Onyomi: ボウ = get fat, get thick, swell",Guess the meaning of the Kunyomi reading,Text
"飽,||あきる,あかす||","get tired of, lose interest in, have enough,satiate, surfeit, bore, tire, weary","Onyomi: ホウ = get tired of, lose interest in, have enough",Guess the meaning of the Kunyomi reading,Text
"房,||ふさ||","tuft, tassel, fringe, lock (of hair), cluster, bunch, segment (of an orange)","Onyomi: ボウ = house, room, tassel",Guess the meaning of the Kunyomi reading,Text
"倣,||ならう||","imitate, follow, emulate","Onyomi: ホウ = imitate, follow, emulate",Guess the meaning of the Kunyomi reading,Text
"乏,||とぼしい||","meager, scarce, limited, destitute, hard up","Onyomi: ボウ = meager, scarce, limited, destitute, hard up",Guess the meaning of the Kunyomi reading,Text
"縫,||ぬう||","sew, stich, embroider","Onyomi: ホウ = sew, stich, embroider",Guess the meaning of the Kunyomi reading,Text
"奉,||たてまつる||","offer, present, revere, do respectfully","Onyomi: ホウ,ブ = present, dedicate, obey, follow, believe in, serve",Guess the meaning of the Kunyomi reading,Text
"謀,||はかる||","plan, devise, scheme, counsel with, have in mind, aim at, deceive, impose on","Onyomi: ボウ,ム = plan, devise, scheme, counsel with, have in mind, aim at, deceive, impose on",Guess the meaning of the Kunyomi reading,Text
"墨,||すみ||","India ink, Chinese ink, ink stick, inked marking string, ink (of a squid)","Onyomi: ボク = India ink, Chinese ink, ink stick, inked marking string, ink (of a squid)",Guess the meaning of the Kunyomi reading,Text
"翻,||ひるがえる,ひるがえす||","turn over, wave, flutter,change (one's mind), turn, reverse, wave, dodge","Onyomi: ホン = turn over, wave, flutter",Guess the meaning of the Kunyomi reading,Text
"埋,||うめる,うまる,うもれる||","be filled up, be buried, be imbedded in,bury, inter, fill up, pour in, plug up, inlay, make up for,be covered, live in obscruity","Onyomi: マイ = be filled up, be buried, be imbedded in",Guess the meaning of the Kunyomi reading,Text
"滅,||ほろびる,ほろぼす||","be ruined, perish,ruin, destroy, overthrow","Onyomi: メツ = be ruined, perish",Guess the meaning of the Kunyomi reading,Text
"免,||まぬかれる||","escape from, be rescued from, avoid, evade, avert, elude, be exempted, be relieved from pain, get rid of","Onyomi: メン = dismissal",Guess the meaning of the Kunyomi reading,Text
"憂,||うれえる,うれい,うい||","grieve, lament, be anxious,sad, unhappy, gloomy,distress, sorrow, trouble, anxiety, grief","Onyomi: ユウ = grieve, lament, be anxious",Guess the meaning of the Kunyomi reading,Text
"誘,||さそう||","invite, ask, call for, provoke, cause, bring (tears), allure, tempt, seduce","Onyomi: ユウ = invite, ask, call for, provoke, cause, bring (tears), allure, tempt, seduce",Guess the meaning of the Kunyomi reading,Text
"揚,||あげる,あがる||","rise, go up, climb up, advance, appreciate, be promoted, improve, enter, call on, be offered, accrue, be finished, (expenses) come to, go bankrupt, begin spinning (cocoons), be caught, get ruffle","Onyomi: ヨウ = praise",Guess the meaning of the Kunyomi reading,Text
"揺,||ゆれる,ゆる,ゆらぐ,ゆるぐ,ゆする,ゆさぶる,ゆすぶる||","shake, sway, rock, roll, pitch, tremble, quake, flicker, vibrate, jolt,swing, shake","Onyomi: ヨウ = shake, sway, rock, roll, pitch, tremble, quake, flicker, vibrate, jolt",Guess the meaning of the Kunyomi reading,Text
"抑,||おさえる||","stop, check, restrain, pin down, suppress, subdue, control, catch, arrest, govern, stop (the ears), withhold, attach, seize, secure (evidence), estimate conservatively","Onyomi: ヨク = stop, check, restrain, pin down, suppress, subdue, control, catch, arrest, govern, stop (the ears), withhold, attach, seize, secure (evidence), estimate conservatively",Guess the meaning of the Kunyomi reading,Text
"裸,||はだか||","naked body, nude, uncovered, only partially clothed, undressed, without investing, leafless, unpreparedness (for a wedding), unsaddled, denuded, bare","Onyomi: ラ = naked body, nude, uncovered, only partially clothed, undressed, without investing, leafless, unpreparedness (for a wedding), unsaddled, denuded, bare",Guess the meaning of the Kunyomi reading,Text
"陵,||みささぎ||","imperial tomb","Onyomi: リョウ = imperial tomb",Guess the meaning of the Kunyomi reading,Text
"糧,||かて||","food, provisions, bread","Onyomi: リョウ,ロウ = food, provisions, bread",Guess the meaning of the Kunyomi reading,Text
"励,||はげむ,はげます||","be diligent,encourage, inspire, raise (the voice)","Onyomi: レイ = be diligent",Guess the meaning of the Kunyomi reading,Text
"霊,||たま||","soul, spirit","Onyomi: レイ,リョウ = soul, spirit",Guess the meaning of the Kunyomi reading,Text
"裂,||さく,さける||","split, rend, tear, burst, rip, crack","Onyomi: レツ = split, rend, tear, burst, rip, crack",Guess the meaning of the Kunyomi reading,Text
"漏,||もる,もれる,もらす||","leak, escape, shine through, find expression, be disclosed, be omitted, be excluded,spill, let leak, omit, miss, leave out, divulge, betray, give vent to, express, let go","Onyomi: ロウ = leaking, water clock, time",Guess the meaning of the Kunyomi reading,Text
"双,||ソウ||","a pair, a set, comparison, counter for pairs",NULL,Guess the meaning of the Onyomi reading,Text
"乙,||オツ||","B, second, the latter, duplicate","",Guess the meaning of the Onyomi reading,Text
"了,||リョウ||","finish, complete, understand","",Guess the meaning of the Onyomi reading,Text
"伐,||バツ||","strike, attack, punish","",Guess the meaning of the Onyomi reading,Text
"佳,||カ||","good, excellent, beautiful","",Guess the meaning of the Onyomi reading,Text
"倹,||ケン||","economy","",Guess the meaning of the Onyomi reading,Text
"偶,||グウ||","even number, couple, man and wife, friend, same kind, doll","",Guess the meaning of the Onyomi reading,Text
"債,||サイ||","debt, loan","",Guess the meaning of the Onyomi reading,Text
"克,||コク||","win, prevail, predominate, surpass","",Guess the meaning of the Onyomi reading,Text
"冗,||ジョウ||","uselessness","",Guess the meaning of the Onyomi reading,Text
"刑,||ケイ||","penalty, sentence, punishment","",Guess the meaning of the Onyomi reading,Text
"勘,||カン||","perception, intuition, the sixth sense","",Guess the meaning of the Onyomi reading,Text
"匠,||ショウ||","workman, artisan, means, idea","",Guess the meaning of the Onyomi reading,Text
"匿,||トク||","shelter, shield, hide","",Guess the meaning of the Onyomi reading,Text
"卓,||タク||","table, desk, high","",Guess the meaning of the Onyomi reading,Text
"厘,||リン||","onetenth of a sen, onetenth of a bu","",Guess the meaning of the Onyomi reading,Text
"吉,||キチ,キツ||","good luck, joy, congratulations","",Guess the meaning of the Onyomi reading,Text
"吏,||リ||","an official","",Guess the meaning of the Onyomi reading,Text
"哲,||テツ||","clear","",Guess the meaning of the Onyomi reading,Text
"啓,||ケイ||","open, say","",Guess the meaning of the Onyomi reading,Text
"喚,||カン||","cry, scream, yell, shout, clamor","",Guess the meaning of the Onyomi reading,Text
"喫,||キツ||","eat, drink, smoke, receive (a blow, etc.)","",Guess the meaning of the Onyomi reading,Text
"嘱,||ショク||","requesting","",Guess the meaning of the Onyomi reading,Text
"坑,||コウ||","pit, hole","",Guess the meaning of the Onyomi reading,Text
"墜,||ツイ||","fall","",Guess the meaning of the Onyomi reading,Text
"墳,||フン||","mound, tomb","",Guess the meaning of the Onyomi reading,Text
"墾,||コン||","open up farmland","",Guess the meaning of the Onyomi reading,Text
"壇,||ダン,タン||","stage, rostrum, dais, terrace, altar, world (of literature, etc.)","",Guess the meaning of the Onyomi reading,Text
