Question,Answer,Comment,Instruction,Render as
"貝,||かい||","shell, shellfish","",Guess the meaning of the Kunyomi reading,Text
"竹,||たけ||","bamboo, bamboo wind instrument","Onyomi: チク = bamboo",Guess the meaning of the Kunyomi reading,Text
"虫,||むし||","worm, vermin, bug, insect, temper, nervousness, peevishness, bad company","Onyomi: チュウ = worm, vermin, bug, insect, temper, nervousness, peevishness, bad company",Guess the meaning of the Kunyomi reading,Text
"中,||なか||","inside, interior, midst, middle, mean, midway","Onyomi: チュウ,ジュウ = center, middle, middle (course), (golden) mean, medium, mediocrity, average, second volume (of three)",Guess the meaning of the Kunyomi reading,Text
"町,||まち||","town, quarters, street","Onyomi: チョウ = town, block, street, 2.45 acres, 119 yards",Guess the meaning of the Kunyomi reading,Text
"田,||た||","rice field, paddy field","Onyomi: デン = rice field, paddy field",Guess the meaning of the Kunyomi reading,Text
"天,||あめ,あま||","sky, heaven,Heavenly","Onyomi: テン = sky, air, heavens, celestial sphere, firmament, heaven, Providence, God, Nature, destiny, weather, top, beginning",Guess the meaning of the Kunyomi reading,Text
"土,||つち||","earth, soil, ground","Onyomi: ド,ト = earth, ground, Saturday, Turkey",Guess the meaning of the Kunyomi reading,Text
"二,||ふた,ふたつ||","two","Onyomi: ニ = two, second",Guess the meaning of the Kunyomi reading,Text
"日,||ひ,か||","sun, time, day, date","Onyomi: ニチ,ジツ = day, Sunday",Guess the meaning of the Kunyomi reading,Text
"入,||いる,いれる,はいる||","go in, come in, flow into, set, set in,put in, take in, bring in, let in, admit, introduce, commit (to prison), usher in, insert, set (jewels), employ, listen to, tolerate, comprehend, include, p","Onyomi: ニュウ = go in, come in, flow into, set, set in",Guess the meaning of the Kunyomi reading,Text
"年,||とし||","year, age, time of life","Onyomi: ネン = year, term of service",Guess the meaning of the Kunyomi reading,Text
"白,||しろ,しら,しろい||","white, fair (skin), gray (hair), blank (paper), spotless, innocent,feigned ignorance","Onyomi: ハク,ビャク = white",Guess the meaning of the Kunyomi reading,Text
"八,||や,やつ,やっつ,よう||","eight","Onyomi: ハチ = eight",Guess the meaning of the Kunyomi reading,Text
"文,||ふみ||","letter, note","Onyomi: ブン,モン = 1/100 of a hyakume, crest, figures,literary text, production, composition, sentence, style, literature, art, the pen, civil affairs, decoration, characters, elegance",Guess the meaning of the Kunyomi reading,Text
"木,||き,こ||","tree, wood, timber, lumber, wooden clappers","Onyomi: ボク,モク = tree, Thursday",Guess the meaning of the Kunyomi reading,Text
"本,||もと||","beginning, origin, foundation, basis, source, cause, root (of a tree), (raw) material, base, capital, principal, cost, forebears, formerly","Onyomi: ホン = book, this, the same, the present, the current, main, true, real, regular, normal, counter for long things",Guess the meaning of the Kunyomi reading,Text
"名,||な||","name, fame, reputation, pretext","Onyomi: メイ,ミョウ = distinguished, noted, wise, name",Guess the meaning of the Kunyomi reading,Text
"目,||め,ま||","eye, look, gaze, notice, attention, viewpoint, discrimination, insight, experience, treatment, care, favor, pity, texture, weave, mesh, grain, square, sight, vision, tooth (of a saw), weight, mom","Onyomi: モク,ボク = item, division, class, order (of plants or animals)",Guess the meaning of the Kunyomi reading,Text
"立,||たつ,たてる||","stand, rise, rouse oneself, be built, be established, go up (smoke), burn out, depart, take flight, run high (waves), stick into, be worked out, be maintained, save (face), establish oneself, beg","Onyomi: リツ,リュウ = standing",Guess the meaning of the Kunyomi reading,Text
"力,||ちから||","strength, energy, force, might, power, agency, authority, influence, vigor, stress, emphasis, exertions, endeavors, efficacy, help, support, good offices, ability, faculty, capability, attainment","Onyomi: リョク,リキ = strain, bear up, exert one's strength, swagger, bluff, boast,strength,power",Guess the meaning of the Kunyomi reading,Text
"林,||はやし||","forest","Onyomi: リン = forest",Guess the meaning of the Kunyomi reading,Text
"六,||む,むつ,むっつ,むい||","six","Onyomi: ロク = six",Guess the meaning of the Kunyomi reading,Text
"校,||コウ||","school, (printing) proof, comparison, correction, investigation","",Guess the meaning of the Onyomi reading,Text
"気,||キ,ケ||","spirit, mind, soul, heart, intention, bent, interest, mood, feeling, temper, disposition, nature, care, attention, air, atmosphere, flavor, odor, energy, essence, indications, symptoms, taste, to","",Guess the meaning of the Onyomi reading,Text
"王,||オウ||","king, rule, magnate, baron","",Guess the meaning of the Onyomi reading,Text
"百,||ヒャク||","hundred, a great number, all","",Guess the meaning of the Onyomi reading,Text
"青,||セイ,ショウ||","blue, green, green light","Kunyomi: あお,あおい = blue, green, green light, pale, unripe, green",Guess the meaning of the Onyomi reading,Text
"赤,||セキ,シャク||","red, crimson, scarlet","Kunyomi: あか,あかい,あからむ,あからめる = red, crimson, scarlet, Communist, Red,become red,blush, redden",Guess the meaning of the Onyomi reading,Text
"字,||ジ||","character, letter, word, handwriting","Kunyomi: あざ = section of a village",Guess the meaning of the Onyomi reading,Text
"足,||ソク||","foot, leg, counter for pairs of footwear","Kunyomi: あし,たりる,たる,たす = foot, leg, paw, flipper, tentacles, arms, walk, step, pace, speed, footing, draft (of a ship), foot (of a mountain), trace, deficit, shortage,money,be sufficient, suffice, serve, answer, will do (for something), be worth, deserve, be satisfied, qualify,add to, add up, make up for, make good, supply, supplement",Guess the meaning of the Onyomi reading,Text
"雨,||ウ||","rain, fainfall","Kunyomi: あめ,あま = rain, rainfall",Guess the meaning of the Onyomi reading,Text
"天,||テン||","sky, air, heavens, celestial sphere, firmament, heaven, Providence, God, Nature, destiny, weather, top, beginning","Kunyomi: あめ,あま = sky, heaven,Heavenly",Guess the meaning of the Onyomi reading,Text
"生,||セイ,ショウ||","birth, life, existence, living, subsistence, student","Kunyomi: いきる,いかす,いける,うまれる,うむ,おう,はえる,はやす,き,なま = grow, spring up, cut (teeth),cultivate, wear (a beard),revive, resuscitate, restore to life, let live, spare a life, make the most of, give life to, stet,keep alive, arrange flowers (in a vase), living,live, subsist, exist, be enlivened, be safe (on first),be born,bear, give birth to, breed, spawn, produce, yield (interest),raw, uncooked, fresh, unripe, halfboiled, rare, hard cash, impertinent, conceited, inexperienced, (beer) on tap, crude (rubber), unprocessed,pure, undiluted, genuine, raw, crude",Guess the meaning of the Onyomi reading,Text
"石,||セキ,シャク,コク||","stone, pebble, rock, jewel, the go playing stones,4.96 bushels, 10 cubic feet (of lumber)","Kunyomi: いし = stone, pebble, rock, jewel, the go playing stones",Guess the meaning of the Onyomi reading,Text
"五,||ゴ||","five","Kunyomi: いつ,いつつ = five, five years old",Guess the meaning of the Onyomi reading,Text
"糸,||シ||","thread, one tenthousandth of a hair","Kunyomi: いと = thread, yarn, gut, string (of a violin), (fish) line",Guess the meaning of the Onyomi reading,Text
"犬,||ケン||","dog","Kunyomi: いぬ = dog, spy",Guess the meaning of the Onyomi reading,Text
"入,||ニュウ||","go in, come in, flow into, set, set in","Kunyomi: いる,いれる,はいる = go in, come in, flow into, set, set in,put in, take in, bring in, let in, admit, introduce, commit (to prison), usher in, insert, set (jewels), employ, listen to, tolerate, comprehend, include, pay (interest), cast (votes),enter, break into, join, enroll, contain, hold, accommodate, have (an income of)",Guess the meaning of the Onyomi reading,Text
"上,||ジョウ,ショウ||","top, best, first volume,upper part, government,aboard a ship or vehicle, from the standpoint of, as a matter of (fact),governmental, imperial, best, high class, going up, presenting, showing","Kunyomi: うえ,うわ,かみ,あげる,あがる,のぼる,のぼせる,のぼす = up, upper part, top, summit, surface, far better, higher, (in) authority, as far as…is concerned, besides, after, emperor, sovereign, upon (examination), influence of (liquor), lord, shogun, superior,rise, go up, climb up, advance, appreciate, be offered, accrue, be finished, (expenses) come to, go bankrupt, begin spinning (cocoons), be caught, get ruffled, eat, drink, die, weaken (as a battery), let up (rain),raise, elevate, fly (kites), praise, increase, promote, elevate, vomit, usher in, admit, send (to school), offer, present, leave with, finis",Guess the meaning of the Onyomi reading,Text
"大,||ダイ,タイ||","large, huge, grand, the greater, size, very, inveterate (smoker), severe (damage), success","Kunyomi: おお,おおきい,おおいに = large, great, grand, mighty, immense, severe, heavy,very, much, greatly, exceedingly,heavy (rain), loud (voice), fullsize, lifesize",Guess the meaning of the Onyomi reading,Text
"音,||オン,イン||","sound, noise, pronunciation, tone","Kunyomi: おと,ね = sound, noise, roar, fame, tone, note, voice, chirping",Guess the meaning of the Onyomi reading,Text
"男,||ダン,ナン||","man, male, baron,counter for sons","Kunyomi: おとこ = man, male, fellow, adult, manhood, male servant, paramour",Guess the meaning of the Onyomi reading,Text
"女,||ジョ,ニョ,ニョウ||","woman, girl, daughter","Kunyomi: おんな,め = woman, female, sweetheart, girl",Guess the meaning of the Onyomi reading,Text
"金,||キン,コン||","gold, money, Friday","Kunyomi: かね,かな = money, metal",Guess the meaning of the Onyomi reading,Text
"川,||セン||","river, stream, brook","Kunyomi: かわ = river, stream, brook",Guess the meaning of the Onyomi reading,Text
"木,||ボク,モク||","tree, Thursday","Kunyomi: き,こ = tree, wood, timber, lumber, wooden clappers",Guess the meaning of the Onyomi reading,Text
"草,||ソウ||","grass, grass hand (writing), weeds, herbs, plants, pasture","Kunyomi: くさ = grass, grass hand (writing), weeds, herbs, plants, pasture",Guess the meaning of the Onyomi reading,Text
"口,||コウ,ク||","mouth","Kunyomi: くち = mouth, lips, speech, words, one's taste, stopper, plug, nozzle, orifice, slit, aperture, door, gate, entrance, route, ascent, employment, job, call (for a doctor), share, kind, lot, brand, beginning, rumor, opening (of a boil)",Guess the meaning of the Onyomi reading,Text
"車,||シャ||","vehicle, a vehicle load","Kunyomi: くるま = wheel, vehicle, carriage, wagon, cart, wheelbarrow, gocart, jinricksha, van, automobile",Guess the meaning of the Onyomi reading,Text
"子,||シ,ス||","viscount, master, child, male, fruit, seed,offspring, the young (of animals)","Kunyomi: こ = child, offspring, the young (of animals)",Guess the meaning of the Onyomi reading,Text
"九,||キュウ,ク||","nine","Kunyomi: ここの,ここのつ = nine",Guess the meaning of the Onyomi reading,Text
"先,||セン||","the future, priority, precedence","Kunyomi: さき = point, tip, end, nozzle, head (of a line), the first priority, the future, objective, destination, sequel, remainder, the other party, future",Guess the meaning of the Onyomi reading,Text
"下,||カ,ゲ||","low class, inferiority, second, or last volume","Kunyomi: した,しも,もと,さげる,さがる,くだる,くだす,くださる,おろす,おりる = come down, go down, get down, descend, be given, be less than, have diarrhea, retire, leave the capital, give, confer, oblige, favor with, let down, lower, issue (orders), hand down (decisions), have diarrhea, lay (hands) on, step down, get off, swoop down, land, take down, pull down, lift down, drop, launch, let off (passengers), wear (for the first time), cause (abortion), grate, invoke, exercise, borrow (in subtraction), lock, hang down, dangle, fall, abate, wane, stand back, go behind, be granted, hang, wear (a decoration), reduce (rank",Guess the meaning of the Onyomi reading,Text
"白,||ハク,ビャク||","white","Kunyomi: しろ,しら,しろい = white, fair (skin), gray (hair), blank (paper), spotless, innocent,feigned ignorance",Guess the meaning of the Onyomi reading,Text
"空,||クウ||","air, sky, emptiness, vanity, unreality, hollow, void","Kunyomi: そら,あく,あける,から = become empty, be less crowded, empty, sky, heavens, air, weather, memory, absentmindedness",Guess the meaning of the Onyomi reading,Text
"田,||デン||","rice field, paddy field","Kunyomi: た = rice field, paddy field",Guess the meaning of the Onyomi reading,Text
"竹,||チク||","bamboo","Kunyomi: たけ = bamboo, bamboo wind instrument",Guess the meaning of the Onyomi reading,Text
"正,||セイ,ショウ||","right, righteousness, justice, original, plus, positive, genuine,just, punctual, senior,Regular","Kunyomi: ただしい,ただす,まさ = correct, adjust, reform, redress, straighten, amend,right, righteous, just, honest, truthful, proper, lawful, healthy, moral, straight, straightforward, perfect",Guess the meaning of the Onyomi reading,Text
"立,||リツ,リュウ||","standing","Kunyomi: たつ,たてる = stand, rise, rouse oneself, be built, be established, go up (smoke), burn out, depart, take flight, run high (waves), stick into, be worked out, be maintained, save (face), establish oneself, begin life, spread (rumors), shut (door), be active, open (markets), be excited, come (seasons), makes (a total of thirty),stand something up, set up, raise, put up, set on edge, prick up (one's ears), build, erect, close (a door), establish, institute, enact, lay (plans), map out, set forth, lay down (a proposition), formulate, render (services), perform, look up to, respect, be lo",Guess the meaning of the Onyomi reading,Text
"玉,||ギョク||","gem, jewel, precious stone, jade","Kunyomi: たま = ball, bowl, sphere, bulb, lens, gem, jewel, bullet, shot, shell, billiards, tool, cat’s paw, pretty girl, person, margin (in stocks), testicles",Guess the meaning of the Onyomi reading,Text
"千,||セン||","thousand, many","Kunyomi: ち = thousand, many",Guess the meaning of the Onyomi reading,Text
"小,||ショウ||","smallness, minor, small,humility prefix, small","Kunyomi: ちいさい,こ,お = small, little, diminutive, minute, fine, trivial,short, pretty, petty, nearly,nice",Guess the meaning of the Onyomi reading,Text
"力,||リョク,リキ||","strain, bear up, exert one's strength, swagger, bluff, boast,strength,power","Kunyomi: ちから = strength, energy, force, might, power, agency, authority, influence, vigor, stress, emphasis, exertions, endeavors, efficacy, help, support, good offices, ability, faculty, capability, attainment, means, resources",Guess the meaning of the Onyomi reading,Text
"月,||ゲツ,ガツ||","moon, month, Monday, month (of the year)","Kunyomi: つき = moon, month",Guess the meaning of the Onyomi reading,Text
"土,||ド,ト||","earth, ground, Saturday, Turkey","Kunyomi: つち = earth, soil, ground",Guess the meaning of the Onyomi reading,Text
"手,||シュ||","hand, arm, help, handwriting, handle, means, trick, snare, skill, kind, direction, side, trouble, care, control, management, possession, connection, injury","Kunyomi: て,た = hand, arm, help, handwriting, handle, means, trick, snare, skill, kind, direction, side, trouble, care, control, management, possession, connection, injury",Guess the meaning of the Onyomi reading,Text
"出,||シュツ,スイ||","born of, appearing from, going out, sending out","Kunyomi: でる,だす = appear, come out, emerge, haunt, infest, be found, get back, be served (meals), lead to, enter, find (oneself) at, come out (as a result), leave, go out, get out, attend, appear, work (at), participate, launch (into), run (for an office), be published, sell, depart, graduate, break out, originate, be raised, be produced, issue from, be traced to, derive from, stem from, protrude, stick out, exceed, interfere, intrude,put out, take out, pull out, stick out, draw (a gun), stretch out, extend, save (from a fire), expose, bare, exhibit, send, forward, post, publish, hoist (a ",Guess the meaning of the Onyomi reading,Text
"十,||ジュウ,ジッ||","ten","Kunyomi: とお,と = ten",Guess the meaning of the Onyomi reading,Text
"年,||ネン||","year, term of service","Kunyomi: とし = year, age, time of life",Guess the meaning of the Onyomi reading,Text
"名,||メイ,ミョウ||","distinguished, noted, wise, name","Kunyomi: な = name, fame, reputation, pretext",Guess the meaning of the Onyomi reading,Text
"中,||チュウ,ジュウ||","center, middle, middle (course), (golden) mean, medium, mediocrity, average, second volume (of three)","Kunyomi: なか = inside, interior, midst, middle, mean, midway",Guess the meaning of the Onyomi reading,Text
"七,||シチ||","seven","Kunyomi: なな,ななつ,なの = seven",Guess the meaning of the Onyomi reading,Text
"花,||カ||","flower","Kunyomi: はな = flower, blossom, cherry blossoms, essence, spirit, pride, pearl, youth, best days, beautiful woman, flower arrangement, flowercard game",Guess the meaning of the Onyomi reading,Text
"早,||ソウ,サッ||","quick, fast, speedy, brisk, prompt, early, premature","Kunyomi: はやい,はやまる,はやめる = quick, fast, speedy, brisk, prompt, early, premature,hasten, precipitate, accelerate, expedite, advance (the date),be hasty, be rash",Guess the meaning of the Onyomi reading,Text
"林,||リン||","forest","Kunyomi: はやし = forest",Guess the meaning of the Onyomi reading,Text
"日,||ニチ,ジツ||","day, Sunday","Kunyomi: ひ,か = sun, time, day, date",Guess the meaning of the Onyomi reading,Text
"火,||カ||","fire, Tuesday","Kunyomi: ひ,ほ = fire, flame, blaze",Guess the meaning of the Onyomi reading,Text
"左,||サ||","left, the following","Kunyomi: ひだり = left, the left, leftist",Guess the meaning of the Onyomi reading,Text
"人,||ジン,ニン||","man, person, people","Kunyomi: ひと = man, human being, mankind, person, people, character, personality, true man, man of talent, adult, other people, messenger, visitor",Guess the meaning of the Onyomi reading,Text
"一,||イチ,イツ||","one, a","Kunyomi: ひと,ひとつ = one, a unit, the same, just, once",Guess the meaning of the Onyomi reading,Text
"二,||ニ||","two, second","Kunyomi: ふた,ふたつ = two",Guess the meaning of the Onyomi reading,Text
"文,||ブン,モン||","1/100 of a hyakume, crest, figures,literary text, production, composition, sentence, style, literature, art, the pen, civil affairs, decoration, characters, elegance","Kunyomi: ふみ = letter, note",Guess the meaning of the Onyomi reading,Text
"町,||チョウ||","town, block, street, 2.45 acres, 119 yards","Kunyomi: まち = town, quarters, street",Guess the meaning of the Onyomi reading,Text
"学,||ガク||","learning, study, science, scholarship, erudition","Kunyomi: まなぶ = learn, study",Guess the meaning of the Onyomi reading,Text
"円,||エン||","circle, yen","Kunyomi: まるい = round, circular, spherical",Guess the meaning of the Onyomi reading,Text
"三,||サン||","three","Kunyomi: み,みつ,みっつ = three",Guess the meaning of the Onyomi reading,Text
"右,||ウ,ユウ||","right, right hand","Kunyomi: みぎ = right, right hand",Guess the meaning of the Onyomi reading,Text
"水,||スイ||","water, ice water, Wednesday","Kunyomi: みず = water",Guess the meaning of the Onyomi reading,Text
"耳,||ジ||","ear","Kunyomi: みみ = ear, edge, border, loop, selvage, bread crusts",Guess the meaning of the Onyomi reading,Text
"見,||ケン||","hopes, chances, ideas, opinion","Kunyomi: みる,みえる,みせる = see, look at, witness, observe, regard as, sightsee, look through, examine, consult (a lexicon), tell (one’s future), estimate, care for, try, test, be seen, be visible, be in sight, look like, seem, appear, come, show up, be found",Guess the meaning of the Onyomi reading,Text
"六,||ロク||","six","Kunyomi: む,むつ,むっつ,むい = six",Guess the meaning of the Onyomi reading,Text
"虫,||チュウ||","worm, vermin, bug, insect, temper, nervousness, peevishness, bad company","Kunyomi: むし = worm, vermin, bug, insect, temper, nervousness, peevishness, bad company",Guess the meaning of the Onyomi reading,Text
"村,||ソン||","village, hamlet","Kunyomi: むら = village, hamlet",Guess the meaning of the Onyomi reading,Text
"目,||モク,ボク||","item, division, class, order (of plants or animals)","Kunyomi: め,ま = eye, look, gaze, notice, attention, viewpoint, discrimination, insight, experience, treatment, care, favor, pity, texture, weave, mesh, grain, square, sight, vision, tooth (of a saw), weight, momme (0.1325 oz.), eye (of a needle)",Guess the meaning of the Onyomi reading,Text
"本,||ホン||","book, this, the same, the present, the current, main, true, real, regular, normal, counter for long things","Kunyomi: もと = beginning, origin, foundation, basis, source, cause, root (of a tree), (raw) material, base, capital, principal, cost, forebears, formerly",Guess the meaning of the Onyomi reading,Text
