Question,Answer,Comment,Instruction,Render as
"刈,||かる||","cut, clip, shear, reap, trim, prune","",Guess the meaning of the Kunyomi reading,Text
"押,||おす,おさえる||","push, shove, press, squash, compress, stamp, seal, do in spite of, stop, check, restrain, pin down, suppress, subdue, control, catch, arrest, govern, stop (the ears), withhold, attach, seize, sec","Onyomi: オウ = push, shove, press, squash, compress, stamp, seal, do in spite of",Guess the meaning of the Kunyomi reading,Text
"暇,||ひま||","time, leisure, poor business, leave of absence, dismissal, divorce","Onyomi: カ = rest, leisure",Guess the meaning of the Kunyomi reading,Text
"皆,||みな||","all, everybody, everything","Onyomi: カイ = all, everybody, everything",Guess the meaning of the Kunyomi reading,Text
"壊,||こわす,こわれる||","break, destroy, tear up, crack, smack, mar, be broken, be demolished, fall into ruin","Onyomi: カイ = break",Guess the meaning of the Kunyomi reading,Text
"戒,||いましめる||","admonish, warn, prohibit","Onyomi: カイ = commandment, admonition",Guess the meaning of the Kunyomi reading,Text
"獲,||える||","get, acquire, find, earn, win, gain, receive, can, be able to, may, commit (sin)","Onyomi: カク = get, acquire, find, earn, win, gain, receive, can, be able to, may, commit (sin)",Guess the meaning of the Kunyomi reading,Text
"汗,||あせ||","perspiration","Onyomi: カン = be sweaty",Guess the meaning of the Kunyomi reading,Text
"乾,||かわく,かわかす||","dry, dry up, be dry, desiccate","Onyomi: カン = heaven, emperor",Guess the meaning of the Kunyomi reading,Text
"含,||ふくむ,ふくめる||","hold in the mouth, bear in mind, understand, cherish, harbor, contain, comprise, have, hold, include, embrace, be charged or loaded with, be dripping with, be full of, be suffused with, include, ","Onyomi: ガン = hold in the mouth, bear in mind, understand, cherish, harbor, contain, comprise, have, hold, include, embrace, be charged or loaded with, be dripping with, be full of, be suffused with",Guess the meaning of the Kunyomi reading,Text
"甘,||あまい,あまえる,あまやかす||","presume upon, take advantage of, coax, pamper, be indulgent, coddle, sweet, honeyed (words), lenient, halfwitted, easygoing, soft, mild, loose, trashy, sentimental","Onyomi: カン = presume upon, take advantage of, coax",Guess the meaning of the Kunyomi reading,Text
"勧,||すすめる||","recommend, advise, encourage, offer (wine)","Onyomi: カン = recommend, advise, encourage, offer (wine)",Guess the meaning of the Kunyomi reading,Text
"鑑,||かんがみる||","take warning from, learn a lesson from","Onyomi: カン = take warning from, learn a lesson from",Guess the meaning of the Kunyomi reading,Text
"鬼,||おに||","devil, demon, ghost, spirits of the dead, fiend, creditor, the one who is 'it' (in games)","Onyomi: キ = devil, demon, spirits of the dead",Guess the meaning of the Kunyomi reading,Text
"幾,||いく||","some, several, many, how many, how much","Onyomi: キ = how many, how much, how far, how long, so much per, however(difficult)",Guess the meaning of the Kunyomi reading,Text
"戯,||たわむれる||","play, sport, frolic, joke, flirt with","Onyomi: ギ = play, sport, frolic, joke, flirt with",Guess the meaning of the Kunyomi reading,Text
"祈,||いのる||","pray, wish","Onyomi: キ = pray, wish",Guess the meaning of the Kunyomi reading,Text
"輝,||かがやく||","shine, sparkle, gleam, twinkle, brilliant, radiant, bright","Onyomi: キ = shine, sparkle, gleam, twinkle, brilliant, radiant, bright",Guess the meaning of the Kunyomi reading,Text
"詰,||つめる,つまる,つむ||","be pressed in, be packed, become close, be checkmated, stuff, fill, pack, plug, place closely, write closely, sit closely, shorten, curtail, checkmate, keep doing, hold (one’s breath), attend (of","Onyomi: キツ = be pressed in, be packed, become close, be checkmated",Guess the meaning of the Kunyomi reading,Text
"脚,||あし||","foot, leg, paw, flipper, tentacles, arms, walk, step, pace, speed, footing, draft (of a ship), foot (of a mountain), trace, deficit, shortage","Onyomi: キャク,キャ = leg, skid, undercarriage",Guess the meaning of the Kunyomi reading,Text
"朽,||くちる||","decay, rot, remain in seclusion","Onyomi: キュウ = decay, rot, remain in seclusion",Guess the meaning of the Kunyomi reading,Text
"及,||およぶ,および,およぼす||","exert, exercise, cause, reach, come up to, amount to, befall, happen to, extend, match, equal, and, as well as","Onyomi: キュウ = exert, exercise, cause",Guess the meaning of the Kunyomi reading,Text
"丘,||おか||","hill, knoll, rising ground","Onyomi: キュウ = hill, knoll, rising ground",Guess the meaning of the Kunyomi reading,Text
"御,||おん||","honorific prefixes","Onyomi: ギョ,ゴ = imperial honorary prefix, honorific prefix",Guess the meaning of the Kunyomi reading,Text
"驚,||おどろく,おどろかす||","be surprised, be frightened, be taken aback, be appalled, be amazed, surprise, frighten, create a stir","Onyomi: キョウ = be surprised, be frightened, be taken aback, be appalled, be amazed",Guess the meaning of the Kunyomi reading,Text
"恐,||おそれる,おそろしい||","fear, dread, be afraid, be overawed, be apprehensive, terrible, awful, fierce, tremendous, marvelous","Onyomi: キョウ = fear, dread, be afraid, be overawed, be apprehensive",Guess the meaning of the Kunyomi reading,Text
"狂,||くるう,くるおしい||","go insane, lose one’s head, run amuck, rave, be madly in love, go haywire, break down, be upset, warp, fluctuate, miss the mark, (winds) howl","Onyomi: キョウ = lunatic",Guess the meaning of the Kunyomi reading,Text
"狭,||せまい,せばめる,せばまる||","narrow, contract, reduce, become narrow, contract, small (area), limited, tight","Onyomi: キョウ = narrow, contract, reduce",Guess the meaning of the Kunyomi reading,Text
"叫,||さけぶ||","shout, exclaim, cry, yell, roar, howl, cry for, clamor for, advocate","Onyomi: キョウ = shout, exclaim, cry, yell, roar, howl, cry for, clamor for, advocate",Guess the meaning of the Kunyomi reading,Text
"響,||ひびく||","sound, resound, reverberate, echo, ring, vibrate, grate on, affect, find an echo in, become known","Onyomi: キョウ = sound, resound, reverberate, echo, ring, vibrate, grate on, affect, find an echo in, become known",Guess the meaning of the Kunyomi reading,Text
"仰,||あおぐ,おおせ||","look up, look up to, ask for, depend on, seek, respect, revere, drink, take, statement, command, wishes (of a superior)","Onyomi: ギョウ,コウ = look up, look up to, ask for, depend on, seek, respect, revere, drink, take",Guess the meaning of the Kunyomi reading,Text
"駆,||かける,かる||","run, gallop, advance, drive (a car), spur on, prompt, actuate, inspire, sway, impel","Onyomi: ク = run, gallop, advance",Guess the meaning of the Kunyomi reading,Text
"掘,||ほる||","dig, delve, core, excavate, sink (wells), dig up, scoop out, pick (the ear), probe","Onyomi: クツ = dig, delve, core, excavate, sink (wells), dig up, scoop out, pick (the ear), probe",Guess the meaning of the Kunyomi reading,Text
"傾,||かたむく,かたむける||","incline toward, tilt, slant, slope, lurch, heel over, be disposed to, trend toward, be prone to, go down (sun), wane, sink, decline, incline, list, bend, lean, tip, concentrate on, devote to, rui","Onyomi: ケイ = lean, incline, tilt, list, tip, careen, lurch",Guess the meaning of the Kunyomi reading,Text
"迎,||むかえる||","meet, greet, welcome, invite, engage","Onyomi: ゲイ = meet, greet, welcome, invite, engage",Guess the meaning of the Kunyomi reading,Text
"継,||つぐ||","succeed to, inherit, follow, patch, graft (trees), tell","Onyomi: ケイ = succeed to, inherit, follow, patch, graft (trees), tell",Guess the meaning of the Kunyomi reading,Text
"恵,||めぐむ||","bless, show mercy to, render benevolence to","Onyomi: ケイ,エ = blessing, grace, favor, kindness, mercy, benevolence, charity",Guess the meaning of the Kunyomi reading,Text
"撃,||うつ||","strike, hit, beat, knock, slap, punch, thrash, smite, clap (one’s hands), beat (a drum), ring (a bell), (clocks) strike, impress, touch, shoot, pound in (a nail), water, sprinkle, braid, play (ch","Onyomi: ゲキ = attack, defeat, destroy, conquer",Guess the meaning of the Kunyomi reading,Text
"兼,||かねる||","combine with, serve as both, hold an additional post, use with","Onyomi: ケン = and, in addition, concurrently",Guess the meaning of the Kunyomi reading,Text
"堅,||かたい||","hard, solid, tough, rigid, tight, steady, firm, strict, safe, reliable, upright, chaste, constant, stiff, bookish, classical, stubborn","Onyomi: ケン = hard, solid, tough, rigid, tight, steady, firm, strict, safe, reliable, upright, chaste, constant, stiff, bookish, classical, stubborn",Guess the meaning of the Kunyomi reading,Text
"軒,||のき||","eaves","Onyomi: ケン = house counter",Guess the meaning of the Kunyomi reading,Text
"遣,||つかう,つかわす||","send, dispatch, give, donate, bestow on, do for (someone), use, handle, manipulate, employ, need, want, spend, consume, speak (English), practice (fencing), take (one’s lunch), circulate (bad mon","Onyomi: ケン = send, dispatch, give, donate, bestow on, do for (someone)",Guess the meaning of the Kunyomi reading,Text
"肩,||かた||","shoulder","Onyomi: ケン = shoulder",Guess the meaning of the Kunyomi reading,Text
"剣,||つるぎ||","sword","Onyomi: ケン = sword, saber, blade, bayonet, sting, clock hand",Guess the meaning of the Kunyomi reading,Text
"誇,||ほこる||","boast of, be proud of","Onyomi: コ = boast of, be proud of",Guess the meaning of the Kunyomi reading,Text
"鼓,||つづみ||","drum","Onyomi: コ = drum",Guess the meaning of the Kunyomi reading,Text
"互,||たがい||","mutually, reciprocally, together","Onyomi: ゴ = mutually, reciprocally, together",Guess the meaning of the Kunyomi reading,Text
"枯,||かれる,からす||","wither, die, be dead, age, be seasoned, fog up,kill (vegetation), let dry, season (lumber)","Onyomi: コ = wither, die, be dead, age, be seasoned, fog up",Guess the meaning of the Kunyomi reading,Text
"更,||さら,ふける,ふかす||","sit up late,get late, grow old, reach the height of the season,again, after all, more and more","Onyomi: コウ = a watch of the night",Guess the meaning of the Kunyomi reading,Text
"攻,||せめる||","attack, offensive","Onyomi: コウ = attack, assault",Guess the meaning of the Kunyomi reading,Text
"荒,||あらい,あれる,あらす||","rough, rude, wild, harsh, violent, gruff, fierce,be ruined, become stormy, tear around, get chapped,lay waste","Onyomi: コウ = rough, rude, wild, harsh, violent, gruff, fierce",Guess the meaning of the Kunyomi reading,Text
"鎖,||くさり||","chain, irons, connection","Onyomi: サ = chain, irons, connection",Guess the meaning of the Kunyomi reading,Text
"彩,||いろどる||","color, paint, make up","Onyomi: サイ = color, paint, make up",Guess the meaning of the Kunyomi reading,Text
"載,||のせる,のる||","ride, board, mount, get up on, spread (paints), be taken in, share in, join, be found in (a dictionary), feel like doing, be mentioned in, be in harmony with,place, put, lay, set, let (one) take ","Onyomi: サイ = ride, board, mount, get up on, spread (paints), be taken in, share in, join, be found in (a dictionary), feel like doing, be mentioned in, be in harmony with",Guess the meaning of the Kunyomi reading,Text
"惨,||みじめ||","sad, pitiful, wretched","Onyomi: サン,ザン = disaster, cruelty, wretchedness",Guess the meaning of the Kunyomi reading,Text
"刺,||さす,ささる||","pierce, thrust, stab, prick, bite, sting, pin down, sew, stitch, put (a runner) out, pole (a boat), stick,be stuck","Onyomi: シ = calling card",Guess the meaning of the Kunyomi reading,Text
"脂,||あぶら||","fat, grease, tallow, blubber, lard, suet","Onyomi: シ = fat, rouge",Guess the meaning of the Kunyomi reading,Text
"雌,||め,めす||","female","Onyomi: シ = female",Guess the meaning of the Kunyomi reading,Text
"紫,||むらさき||","purple, violet, soy sauce","Onyomi: シ = purple, violet",Guess the meaning of the Kunyomi reading,Text
"旨,||むね||","purport, principle, instructions, will, thinking","Onyomi: シ = relish, show a liking for",Guess the meaning of the Kunyomi reading,Text
"伺,||うかがう||","visit, ask, inquire, question, hear, be told, implore (a good for an oracle)","Onyomi: シ = visit, ask, inquire, question, hear, be told, implore (a good for an oracle)",Guess the meaning of the Kunyomi reading,Text
"執,||とる||","take, hold, seize, catch, capture, fetch, receive, procure, obtain, adopt (a measure), engage (graduates), choose, order (foodstuffs), pick, pluck, make, produce, eat, set up (camp), charge, admi","Onyomi: シツ,シュウ = take, hold, seize, catch, capture, fetch, receive, procure, obtain, adopt (a measure), engage (graduates), choose, order (foodstuffs), pick, pluck, make, produce, eat, set up (camp), charge, administer, transact, take (pains), make out (the meaning), remove, take off (one's hat), take out (spots), strike out (words), weed, catch (fish), deprive of, steal, capture (territory), annex, need, require, reserve (rooms), subscribe to, press (a point home), take (a picture), possess",Guess the meaning of the Kunyomi reading,Text
"煮,||にる,にえる,にやす||","boil, cook, be cooked, be boiled,boil, cook","Onyomi: シャ = boil, cook, be cooked, be boiled",Guess the meaning of the Kunyomi reading,Text
"斜,||ななめ||","slanting, diagonal, oblique, askew, unpleasant, disagreeable","Onyomi: シャ = slanting, oblique",Guess the meaning of the Kunyomi reading,Text
"寂,||さび,さびしい,さびれる||","patina, antique look, elegant simplicity, trained recite's voice,lonely, lonesome, solitary, deserted, desolate","Onyomi: ジャク,セキ = quietly, death of a priest",Guess the meaning of the Kunyomi reading,Text
"狩,||かる,かり||","hunt,hunting, raiding, gathering (mushrooms), viewing (maples)","Onyomi: シュ = hunt",Guess the meaning of the Kunyomi reading,Text
"趣,||おもむき||","import, meaning, contents,tenor, gist, tone, touch, sentiment, charm, aspect, appearance","Onyomi: シュ = proceed to, become, tend toward",Guess the meaning of the Kunyomi reading,Text
"獣,||けもの||","animal, beast","Onyomi: ジュウ = animal, beast",Guess the meaning of the Kunyomi reading,Text
"襲,||おそう||","attack, advance on, succeed to, call unexpectedly","Onyomi: シュウ = attack",Guess the meaning of the Kunyomi reading,Text
"舟,||ふね,ふな||","boat, ship, vessel, steamer, liner, barge, shipping, tank, trough, cistern, vat","Onyomi: シュウ = boat",Guess the meaning of the Kunyomi reading,Text
"秀,||ひいでる||","surpass, excel, tower above, rise to eminence","Onyomi: シュウ = excellence, beauty",Guess the meaning of the Kunyomi reading,Text
"柔,||やわらか,やわらかい||","soft, tender, plastic, limp, gentle, mellow","Onyomi: ジュウ,ニュウ = weakness, gentleness, softness",Guess the meaning of the Kunyomi reading,Text
"巡,||めぐる||","go around, in connection with, concering","Onyomi: ジュン = going around, circumference",Guess the meaning of the Kunyomi reading,Text
"盾,||たて||","shield, buckler, escutcheon, pretext","Onyomi: ジュン = shield, buckler, escutcheon, pretext",Guess the meaning of the Kunyomi reading,Text
"瞬,||またたく||","wink, twinkle, flicker","Onyomi: シュン = wink, blink",Guess the meaning of the Kunyomi reading,Text
"丈,||たけ||","height, stature, length, measure","Onyomi: ジョウ = 10 feet, length, measure, Mr,or Mrs,(re: artists)",Guess the meaning of the Kunyomi reading,Text
"床,||とこ,ゆか||","bed, sickbed, floor, alcove, padding","Onyomi: ショウ = bed, floor",Guess the meaning of the Kunyomi reading,Text
"召,||めす||","call, send for, wear, put on, take (a bath), ride in, buy, eat, drink, catch (a cold)","Onyomi: ショウ = call, send for, wear, put on, take (a bath), ride in, buy, eat, drink, catch (a cold)",Guess the meaning of the Kunyomi reading,Text
"詳,||くわしい||","full, detailed, minute, accurate, versed in, wellinformed on","Onyomi: ショウ = full, detailed, minute, accurate, versed in, wellinformed on",Guess the meaning of the Kunyomi reading,Text
"畳,||たたむ,たたみ||","fold, fold up, furl, shut up, shut, wind up (affairs), do away with, kill, bear in mind,folding, collapsible","Onyomi: ジョウ = mat counter",Guess the meaning of the Kunyomi reading,Text
"沼,||ぬま||","swamp, bog, pond, lake","Onyomi: ショウ = swamp, lake",Guess the meaning of the Kunyomi reading,Text
"殖,||ふえる,ふやす||","increase, multiply, accrue, (water) rises,add to, raise, augment","Onyomi: ショク = increase",Guess the meaning of the Kunyomi reading,Text
"飾,||かざる||","ornament, decorate, adorn, embellish, exhibit, be ostentatious, whitewash","Onyomi: ショク = ornament, decorate, adorn, embellish, exhibit, be ostentatious, whitewash",Guess the meaning of the Kunyomi reading,Text
"触,||ふれる,さわる||","touch, feel, hit, strike, graze, announce, proclaim, mention, refer to, conflict with, be contrary to","Onyomi: ショク = touching",Guess the meaning of the Kunyomi reading,Text
"慎,||つつしむ||","be discreet, be careful, be prudent, be cautious, restrain oneself, be moderate","Onyomi: シン = be discreet, be careful, be prudent, be cautious, restrain oneself, be moderate",Guess the meaning of the Kunyomi reading,Text
"尋,||たずねる||","look for, inquire for, ask (someone) a question","Onyomi: ジン = fathom",Guess the meaning of the Kunyomi reading,Text
"薪,||たきぎ||","firewood, kindling, fuel","Onyomi: シン = firewood",Guess the meaning of the Kunyomi reading,Text
"侵,||おかす||","invate, raid, violate, trespass, intrude on","Onyomi: シン = invate, raid, violate, trespass, intrude on",Guess the meaning of the Kunyomi reading,Text
"震,||ふるう,ふるえる||","shake, tremble, quiver, shiver, shudder, vibrate","Onyomi: シン = shake, tremble, quiver, shiver, shudder, vibrate",Guess the meaning of the Kunyomi reading,Text
"寝,||ねる,ねかす||","sleep, retire, be bedridden, lie down, lie idle, remain unsold,put to sleep, send to bed, lay down, let lie idle","Onyomi: シン = sleeping, resting, bed",Guess the meaning of the Kunyomi reading,Text
"浸,||ひたす,ひたる||","soak, dip, steep, immerse, moisten, wet, dunk, drench,be soaked in, be immersed in, be flooded, be submerged, be bathed in, be addicted to","Onyomi: シン = soak, dip, steep, immerse, moisten, wet, dunk, drench",Guess the meaning of the Kunyomi reading,Text
"尽,||つくす,つきる,つかす||","use up, run out of, exhaust, serve, befriend, work for, endeavor, do (one's duty),become exhausted, be consumed, spend, end","Onyomi: ジン = use up, run out of, exhaust, serve, befriend, work for, endeavor, do (one's duty),last day of the month",Guess the meaning of the Kunyomi reading,Text
"振,||ふる,ふるう,ふれる||","wave, wag, swing, shake, sprinkle, brandish, jilt, reject, attach, allot,lean toward, deflect, tend, shake, swing, oscillate,wield, be invigorated, be spirited, flourish","Onyomi: シン = wave, wag, swing, shake, sprinkle, brandish, jilt, reject, attach, allot",Guess the meaning of the Kunyomi reading,Text
"吹,||ふく||","breathe, blow, play (a wind instrument), emit, smelt, mint, brag","Onyomi: スイ = breathe, blow, play (a wind instrument), emit, smelt, mint, brag",Guess the meaning of the Kunyomi reading,Text
"跡,||あと||","mark, print, impression, trace, track, trail, wake, marks, traces, evidence, scar, ruins, precedent","Onyomi: セキ = mark, print, impression, trace, track, trail, wake, marks, traces, evidence, scar, ruins, precedent",Guess the meaning of the Kunyomi reading,Text
"扇,||おうぎ||","folding fan","Onyomi: セン = fan",Guess the meaning of the Kunyomi reading,Text
"鮮,||あざやか||","vivid, clear, brilliant, fresh, graceful, splendid, beautiful","Onyomi: セン = Korea",Guess the meaning of the Kunyomi reading,Text
"占,||しめる,うらなう||","occupy, hold, have, get, take (a seat),divine, forecast, augur","Onyomi: セン = occupy, hold, have, get, take (a seat)",Guess the meaning of the Kunyomi reading,Text
"訴,||うったえる||","sue, complain of (pain), appeal to, have recourse to","Onyomi: ソ = sue, complain of (pain), appeal to, have recourse to",Guess the meaning of the Kunyomi reading,Text
"騒,||さわぐ||","make a noise, be boisterous, shout, clamor, raise an uproar, be excited, be agitated, bustle around, make a fuss about, make merry, go on a spree","Onyomi: ソウ = make a noise, be boisterous, shout, clamor, raise an uproar, be excited, be agitated, bustle around, make a fuss about, make merry, go on a spree",Guess the meaning of the Kunyomi reading,Text
"贈,||おくる||","send, give to, award to, confer on","Onyomi: ゾウ,ソウ = present (something)",Guess the meaning of the Kunyomi reading,Text
"替,||かえる,かわる||","change, turn, convert, exchange, renew, substitute, replace,relieve","Onyomi: タイ = change, turn, convert, exchange, renew, substitute, replace",Guess the meaning of the Kunyomi reading,Text
"耐,||たえる||","endure, support, withstand, resist, brave, weather, be fit for, be equal to","Onyomi: タイ = enduring",Guess the meaning of the Kunyomi reading,Text
"沢,||さわ||","swamp, marsh, dale, valley","Onyomi: タク = swamp, blessing",Guess the meaning of the Kunyomi reading,Text
"濁,||にごる,にごす||","be muddy, be impure, be voiced, be vague,make muddy, make cloudy, quibble, prevaricate","Onyomi: ダク = uncleanness, wrong, muddiness, impurity, voicing marks, voiced sound, voiced consonant, unrefined sake",Guess the meaning of the Kunyomi reading,Text
"脱,||ぬぐ,ぬげる||","take off (clothes), undress,come off, slip off, slip down","Onyomi: ダツ = removing",Guess the meaning of the Kunyomi reading,Text
"弾,||ひく,はずむ,たま||","play on,spring, bound, rebound, be inspired, be spurred on, invest in, be generous (in tipping), breathe with difficulty,bullet, shot, shell","Onyomi: ダン = bullet",Guess the meaning of the Kunyomi reading,Text
"淡,||あわい||","light, faint, pale, fleeting, a little","Onyomi: タン = light, faint, pale, fleeting, a little",Guess the meaning of the Kunyomi reading,Text
"端,||はし,は,はた||","end, tip, edge, border, one side, corner, beginning, scrap of cloth,side","Onyomi: タン = origin, end, point",Guess the meaning of the Kunyomi reading,Text
"嘆,||なげく,なげかわしい||","sigh, lament, moan, grieve, regret, deplore, sorrow,sad, wretched, deplorable","Onyomi: タン = sigh",Guess the meaning of the Kunyomi reading,Text
"遅,||おくれる,おくらす,おそい||","be late, be delayed, be overdue, lag behind, (clocks) lose,retard, delay, defer,late, slow","Onyomi: チ = be late, be delayed, be overdue, lag behind, (clocks) lose",Guess the meaning of the Kunyomi reading,Text
"致,||いたす||","do, send, forward, incur, cause, render (assistance), exert (oneself), engage, call in (a doctor)","Onyomi: チ = do, send, forward, incur, cause, render (assistance), exert (oneself), engage, call in (a doctor)",Guess the meaning of the Kunyomi reading,Text
"恥,||はじる,はじ,はじらう,はずかしい||","shame, dishonor, disgrace, humiliation, insult,feel ashamed,feel shy, be coy, be bashful, blush,bashful, ashamed, coy, disgraceful, shameful","Onyomi: チ = shame, dishonor, disgrace, humiliation, insult",Guess the meaning of the Kunyomi reading,Text
"蓄,||たくわえる||","store, lay in stock, save, wear (a mustache)","Onyomi: チク = store, hoard, savings",Guess the meaning of the Kunyomi reading,Text
"澄,||すむ,すます||","be clear, become clear, clarify,clear, settle, strain (one's ears), look grave","Onyomi: チョウ = be clear, become clear, clarify",Guess the meaning of the Kunyomi reading,Text
"跳,||はねる,とぶ||","leap, spring up, hop, jerk, prance, buck, bound, spatter, splash, snap, crack, sputter, close, be over,jump, spring, bound, vault, hop","Onyomi: チョウ = leap, spring up, hop, jerk, prance, buck, bound, spatter, splash, snap, crack, sputter, close, be over",Guess the meaning of the Kunyomi reading,Text
"沈,||しずむ,しずめる||","sink, be submerged, subside, cave in, feel depressed, be overcome with,submerge, immerse","Onyomi: チン = aloes",Guess the meaning of the Kunyomi reading,Text
"珍,||めずらしい||","new, novel, rare, strange, curious, unusual, nice (gift)","Onyomi: チン = rare, curious, strange",Guess the meaning of the Kunyomi reading,Text
"堤,||つつみ||","dike, bank, embankment","Onyomi: テイ = dike, bank, embankment",Guess the meaning of the Kunyomi reading,Text
"滴,||しずく,したたる||","drop,drip, trickle","Onyomi: テキ = drop",Guess the meaning of the Kunyomi reading,Text
"摘,||つむ||","pick, pluck, pull out, trim, clip, nip, gather","Onyomi: テキ = pick, pinch, hold in the fingers, summarize",Guess the meaning of the Kunyomi reading,Text
"添,||そえる,そう||","accompany, marry, be added to, suit, meet, satisfy, be adjusted to,add to, attach, append, accompany, garnish, imitate","Onyomi: テン = accompany, marry, be added to, suit, meet, satisfy, be adjusted to",Guess the meaning of the Kunyomi reading,Text
"殿,||との,どの||","mister,lord, mansion, place,Mr.","Onyomi: デン,テン = hall, mansion, palace, temple, rear guard",Guess the meaning of the Kunyomi reading,Text
"怒,||いかる,おこる||","become angry, be offended, become excited","Onyomi: ド = become angry, be offended, become excited",Guess the meaning of the Kunyomi reading,Text
"渡,||わたる,わたす||","cross, ford, ferry, be imported, change hands, make one's way through life, sweep across, migrate, be provided,carry across, ferry over, bring over, hand over, deliver, deal (cards), transfer (a ","Onyomi: ト = cross, ford, ferry, be imported, change hands, make one's way through life, sweep across, migrate, be provided",Guess the meaning of the Kunyomi reading,Text
"吐,||はく||","disgorge, vomit, belch, emit, give vent to, confess, tell (lies), speak","Onyomi: ト = disgorge, vomit, belch, emit, give vent to, confess, tell (lies), speak",Guess the meaning of the Kunyomi reading,Text
"倒,||たおれる,たおす||","fall, collapse, drop, break down, die, succumb to, fall senseless, be ruined, have a bad debt,bring down, throw down, blow down, fell, knock down, trip up, defeat, ruin, overthrow, kill, leave un","Onyomi: トウ = fall, collapse, drop, break down, die, succumb to, fall senseless, be ruined, have a bad debt",Guess the meaning of the Kunyomi reading,Text
"闘,||たたかう||","wage war, fight, engage in a contest, struggle against","Onyomi: トウ = fighting",Guess the meaning of the Kunyomi reading,Text
"逃,||にげる,にがす,のがす,のがれる||","flee, run away, escape, shirk, evade, back out,let go, set free, let escape, miss (a chance),avoid","Onyomi: トウ = flee, run away, escape, shirk, evade, back out",Guess the meaning of the Kunyomi reading,Text
"桃,||もも||","peach","Onyomi: トウ = peach",Guess the meaning of the Kunyomi reading,Text
