Question,Answer,Comment,Instruction,Render as
"強,||つよい,つよまる,つよめる,しいる||","strong, powerful, mighty, robust, vigorous, healthy, brave, courageous, severe, intense, durable, solid, get strong, strengthen, intensify, invigorate, confirm, emphasize, increase, redouble, for","Onyomi: キョウ,ゴウ = strength, might, strong person",Guess the meaning of the Kunyomi reading,Text
"近,||ちかい||","early, immediate, near, short (road), close by, akin to, nearby, bordering on, verge of, tantamount to, intimate, friendly","Onyomi: キン = early, immediate, near, short (road), close by, akin to, nearby, bordering on, verge of, tantamount to, intimate, friendly",Guess the meaning of the Kunyomi reading,Text
"計,||はかる,はからう||","measure, gauge, weigh, fathom, sound, compute, estimate, manage, arrange, dispose of, see about, talk over","Onyomi: ケイ = plan, scheme, trick, total, meter, gauge",Guess the meaning of the Kunyomi reading,Text
"兄,||あに||","elder brother","Onyomi: ケイ,キョウ = brother, you, elder brother",Guess the meaning of the Kunyomi reading,Text
"形,||かた,かたち||","shape, form, make, size, format, mark, pattern, design, personal appearance","Onyomi: ケイ,ギョウ = shape",Guess the meaning of the Kunyomi reading,Text
"原,||はら||","field, plain, prairie, tundra, moor, wilderness","Onyomi: ゲン = original, primitive",Guess the meaning of the Kunyomi reading,Text
"元,||もと||","beginning, origin, foundation, basis, source, cause, root (of a tree), (raw) material, base, capital, principal, cost, forebears, formerly","Onyomi: ゲン,ガン = yuan, origin, New Year’s Day, first year of an era,Gen Mongol (dynasty)",Guess the meaning of the Kunyomi reading,Text
"言,||いう,こと||","say, tell, talk, speak, declare, call, term, name.word","Onyomi: ゲン,ゴン = word, phrase, speech, statement",Guess the meaning of the Kunyomi reading,Text
"戸,||と||","door","Onyomi: コ = house, door, family, counter for houses",Guess the meaning of the Kunyomi reading,Text
"古,||ふるい,ふるす||","old, aged, ancient, antiquated, stale, threadbare, outmoded, obsolete article","Onyomi: コ = old",Guess the meaning of the Kunyomi reading,Text
"語,||かたる,かたらう||","talk, tell, narrate, recite,chat, pledge one's troth, invite, entice, win, conspire with","Onyomi: ゴ = word, speech, language, term",Guess the meaning of the Kunyomi reading,Text
"後,||のち,うしろ,あと,おくれる||","after, since then, future, after one's death,back, rear, behind,results, remainder, sequel, posterity, successor, survivor, effect, influence, estate,be late, be delayed, be overdue, lag behind, ","Onyomi: ゴ,コウ = back, rear, behind",Guess the meaning of the Kunyomi reading,Text
"交,||まじわる,まじえる,まじる,まざる,まぜる,かう,かわす||","associate with, mingle with, interest, join,mix, converse with, cross (swords),blend, mingle, include, let in on,be mixed, be blended,exchange (messages), dodge, parry, avoid, turn aside","Onyomi: コウ = coming and going, association, change of seasons",Guess the meaning of the Kunyomi reading,Text
"高,||たかい,たか,たかまる,たかめる||","high, tall, lofty, raised, elevated, eminent, exalted, noble, loud, stentorian, expensive, widely known,quantity, volume, amount, sum, rise (in prices), fief,rise, swell, be elevated, be promoted","Onyomi: コウ = high",Guess the meaning of the Kunyomi reading,Text
"光,||ひかる,ひかり||","shine, glitter, sparkle, twinkle, flash,light, beam, glare, gleam, glimmer, glow, brightness, radiance, glitter, luster, influence (of parents)","Onyomi: コウ = light",Guess the meaning of the Kunyomi reading,Text
"公,||おおやけ||","public, open, official, governmental, formal","Onyomi: コウ = public, duke, lord, public",Guess the meaning of the Kunyomi reading,Text
"広,||ひろい,ひろまる,ひろめる,ひろがる,ひろげる||","spread out, extend, reach to,expand, enlarge, widen, unfurl, open (arms of a package), stretch, spread,be diffused, prevail, be propagated, prevade, be circulated, become popular,enlargel, dissem","Onyomi: コウ = spread out, extend, reach to",Guess the meaning of the Kunyomi reading,Text
"考,||かんがえる||","think, consider, believe, suspect, be of the opinion, intend, expect, hope, fear, judge, conclude, imagine, suppose, regard as, be discreet, ponder over, reconsider, be prepared for, invent","Onyomi: コウ = thought, consideration, research, treatise",Guess the meaning of the Kunyomi reading,Text
"黄,||き,こ||","yellow,turn yellow,yellow tint","Onyomi: コウ,オウ = yellow",Guess the meaning of the Kunyomi reading,Text
"合,||あう,あわす,あわせる||","fit, suit, agree with, match, be correct, pay, be profitable,join together, be opposite, face, unite, combine, connect, add up, mix, match, overlap, compare, check with","Onyomi: ゴウ,ガッ,カッ = onetenth",Guess the meaning of the Kunyomi reading,Text
"行,||いく,ゆく,おこなう||","go, run (water),do, act, conduct oneself, carry out, perform, conduct (school), exercise (control), hold (a ceremony)","Onyomi: コウ,ギョウ,アン = party, suite, journey, expedition, line, row,religious austerities.",Guess the meaning of the Kunyomi reading,Text
"黒,||くろ,くろい||","black, dark, swarthy, browned, dirty","Onyomi: コク = black, dark",Guess the meaning of the Kunyomi reading,Text
"国,||くに||","country, land, realm, province, native land","Onyomi: コク = country",Guess the meaning of the Kunyomi reading,Text
"谷,||たに||","valley, dale, ravine, trough (of a wave), trough (in atmospheric pressure)","Onyomi: コク = valley, dale, ravine, trough (of a wave), trough (in atmospheric pressure)",Guess the meaning of the Kunyomi reading,Text
"今,||いま||","now, present time, just now, soon, immediately, (one) more","Onyomi: コン,キン = now, the present, the coming, this",Guess the meaning of the Kunyomi reading,Text
"細,||ほそい,ほそる,こまか,こまかい||","get thin, taper off,fine (line), thin (voice), slender, narrow (trousers),small, fine, detailed, minor, trifling, elaborate, delicate, stingy, frugal, small (change)","Onyomi: サイ = get thin, taper off",Guess the meaning of the Kunyomi reading,Text
"作,||つくる||","a work, a production, tillage, harvest, ridge (in a field)","Onyomi: サク,サ = a work, a production, tillage, harvest, ridge (in a field)",Guess the meaning of the Kunyomi reading,Text
"矢,||や||","arrow","Onyomi: シ = arrow",Guess the meaning of the Kunyomi reading,Text
"市,||いち||","market, fair","Onyomi: シ = city, town, market",Guess the meaning of the Kunyomi reading,Text
"姉,||あね||","elder sister","Onyomi: シ = elder sister",Guess the meaning of the Kunyomi reading,Text
"時,||とき||","time, hour, moment, occasion, season, opportunity, the times, tense","Onyomi: ジ = hour, o'clock, time, Buddhist sect originating in the thirteenth century",Guess the meaning of the Kunyomi reading,Text
"紙,||かみ||","paper","Onyomi: シ = paper",Guess the meaning of the Kunyomi reading,Text
"止,||とまる,とめる||","stop, halt, stand still, pull up, cease, be interrupted, be discontinued, be choked, alight on, perch, roost, be held in position,check, allay (pain), fasten, turn off, detain, forbid to do, diss","Onyomi: シ = stop, halt, stand still, pull up, cease, be interrupted, be discontinued, be choked, alight on, perch, roost, be held in position",Guess the meaning of the Kunyomi reading,Text
"寺,||てら||","temple","Onyomi: ジ = temple",Guess the meaning of the Kunyomi reading,Text
"思,||おもう||","think, believe, judge, esteem, consider, realize, feel like, regard as, anticipate, imagine, suppose, guess, mistake for, recall, intend, desire, love, care for, yearn after, wonder, suspect","Onyomi: シ = think, believe, judge, esteem, consider, realize, feel like, regard as, anticipate, imagine, suppose, guess, mistake for, recall, intend, desire, love, care for, yearn after, wonder, suspect",Guess the meaning of the Kunyomi reading,Text
"自,||みずから||","oneself, personally","Onyomi: ジ,シ = oneself",Guess the meaning of the Kunyomi reading,Text
"室,||むろ||","greenhouse, (ice) house, cellar","Onyomi: シツ = room, apartment, compartment, chamber",Guess the meaning of the Kunyomi reading,Text
"社,||やしろ||","Shinto shrine","Onyomi: シャ = Shinto shrine, association, firm, company, office",Guess the meaning of the Kunyomi reading,Text
"弱,||よわい,よわる,よわまる,よわめる||","weaken, be emaciated, be dejected, be perplexed,impair, enfeeble,weak, feeble, frail, tender, unskilled, weak (alcoholic beverage)","Onyomi: ジャク = weakness, the weak",Guess the meaning of the Kunyomi reading,Text
"首,||くび||","neck, head","Onyomi: シュ = head, neck, beginning, the first, poem and song counter",Guess the meaning of the Kunyomi reading,Text
"秋,||あき||","autumn","Onyomi: シュウ = autumn",Guess the meaning of the Kunyomi reading,Text
"春,||はる||","spring, springtime","Onyomi: シュン = spring",Guess the meaning of the Kunyomi reading,Text
"書,||かく||","write, compose, draw, paint","Onyomi: ショ = handwriting, letter, note, book",Guess the meaning of the Kunyomi reading,Text
"少,||すくない,すこし||","a small quantity, a little, a few, something, a little while, a short distance,few, a little, scarce, insufficient, seldom","Onyomi: ショウ = few, small, young",Guess the meaning of the Kunyomi reading,Text
"場,||ば||","place, site, space, seat, scene, occasion, situation","Onyomi: ジョウ = place, grounds, links, range, course, track, ring",Guess the meaning of the Kunyomi reading,Text
"色,||いろ||","color, tint, tinge, complexion, countenance, look, sensual pleasure, sweetheart, charms, fall colors, embellishment, slight concession, kind","Onyomi: ショク,シキ = color",Guess the meaning of the Kunyomi reading,Text
"食,||くう,くらう,たべる||","eat, subsist on, support oneself, consume, get (a scolding), encroach, bite at, gnaw at, (shoes) pinch, be cheated,drink, receive (a blow)","Onyomi: ショク,ジキ = food, provisions, eating, meal, appetite",Guess the meaning of the Kunyomi reading,Text
"心,||こころ||","mind, spirit, mentality, idea, thought, heart, feeling, wholeheartedness, sincerity, sympathy, attention, interest, care, will, intention, taste, mood, true meaning (of a poem)","Onyomi: シン = heart, mind, spirit, motive, sense (of duty), padding, wick, core, marrow, vitality",Guess the meaning of the Kunyomi reading,Text
"親,||おや,したしい,したしむ||","parent, dealer (in card games), banker (in gambling),intimate, familiar, friendly,be intimate with, have a liking for, take habitually","Onyomi: シン = intimacy, parents, relative",Guess the meaning of the Kunyomi reading,Text
"新,||あたらしい,あらた,にい||","new, novel, fresh, recent, modern","Onyomi: シン = newness, novelty,new, modern, novel, fresh, neo",Guess the meaning of the Kunyomi reading,Text
"図,||はかる||","measure, gauge, weigh, fathom, sound, compute, estimate, plan, devise, scheme, counsel with, have in mind, aim at, deceive, impose on","Onyomi: ズ,ト = drawing, plan, figure, cut, chart, diagram, illustration, graph",Guess the meaning of the Kunyomi reading,Text
"数,||かず,かぞえる||","number, figure,count, calculate, enumerate","Onyomi: スウ,ス = strength, fate, law, numbers, figures, numerical",Guess the meaning of the Kunyomi reading,Text
"晴,||はれる,はらす||","clear up, (doubts) vanish, be refreshed,dispel, clear away (gloom), refresh (oneself)","Onyomi: セイ = clear up, (doubts) vanish, be refreshed",Guess the meaning of the Kunyomi reading,Text
"西,||にし||","west","Onyomi: セイ,サイ = west",Guess the meaning of the Kunyomi reading,Text
"星,||ほし||","star, spot, dot, mark, bull's eye, one's fortune, point, score","Onyomi: セイ,ショウ = star",Guess the meaning of the Kunyomi reading,Text
"声,||こえ,こわ||","voice, tone, alarm, cry, (bird) song, chirp","Onyomi: セイ,ショウ = voice, tone, alarm, cry, (bird) song, chirp",Guess the meaning of the Kunyomi reading,Text
"雪,||ゆき||","snow, snowfall","Onyomi: セツ = snow, snowfall",Guess the meaning of the Kunyomi reading,Text
"切,||きる,きれる||","cut, chop, hash, carve, saw, clip, shear, slice, strip, fell, cut down, punch, sever (connections), pause, break off, disconnect, turn off, hang up, cross (a street), discount, sell below cost, s","Onyomi: セツ,サイ = cut, chop, hash, carve, saw, clip, shear, slice, strip, fell, cut down, punch, sever (connections), pause, break off, disconnect, turn off, hang up, cross (a street), discount, sell below cost, shake (water) off",Guess the meaning of the Kunyomi reading,Text
"前,||まえ||","front, fore part, head (of a line), presence, ago, before, previously, (five minutes) to","Onyomi: ゼン = before",Guess the meaning of the Kunyomi reading,Text
"船,||ふね,ふな||","boat, ship, vessel, steamer, liner, barge, shipping, tank, trough, cistern, vat","Onyomi: セン = ship",Guess the meaning of the Kunyomi reading,Text
"組,||くむ,くみ||","braid, plait, construct, assemble, cross (legs), fold (arms), unite with, cooperate with, grapple with,class, party, group, set, pack (of cards), suit, assortment, typesetting","Onyomi: ソ = take part in, be implicated in, side with, support",Guess the meaning of the Kunyomi reading,Text
"走,||はしる||","run, rush, flee, turn to, become, go to excess","Onyomi: ソウ = run, rush, flee, turn to, become, go to excess",Guess the meaning of the Kunyomi reading,Text
"多,||おおい||","many, copious, abundant, much, frequent","Onyomi: タ = much",Guess the meaning of the Kunyomi reading,Text
"太,||ふとい,ふとる||","get fat, gain, fill out,big, thick, burly, fat, deep, sonorous (voice), shameless, audacious, insolent","Onyomi: タイ,タ = get fat, gain, fill out",Guess the meaning of the Kunyomi reading,Text
"体,||からだ||","body, health","Onyomi: タイ,テイ = the body, substance, object, reality, style, form, image counter,appearance, air, condition, state",Guess the meaning of the Kunyomi reading,Text
"知,||しる||","know, understand, appreciate recognize, realize, notice, sense, feel, remember, infer, gather, be concerned with","Onyomi: チ = know, acquaintance, sense",Guess the meaning of the Kunyomi reading,Text
"池,||いけ||","pond, pool, cistern, basin, reservoir","Onyomi: チ = pond, pool, cistern, basin, reservoir",Guess the meaning of the Kunyomi reading,Text
"昼,||ひる||","daytime, midday, noon","Onyomi: チュウ = daytime, midday",Guess the meaning of the Kunyomi reading,Text
"鳥,||とり||","bird, chicken, fowl","Onyomi: チョウ = bird",Guess the meaning of the Kunyomi reading,Text
"朝,||あさ||","morning, forenoon","Onyomi: チョウ = dynasty, reign, regime, period, epoch, the court",Guess the meaning of the Kunyomi reading,Text
"長,||ながい||","long, lengthy","Onyomi: チョウ = head, chief, headman, commander, director, manager, merit, forte, advantage, superiority, length",Guess the meaning of the Kunyomi reading,Text
"直,||ただちに,なおす,なおる||","be mended, get well, be restored, return to normal, be installed (as a legal wife), change (from third to second class),mend, repair, put in order, reform, correct, revise, amend, redo, alter, cu","Onyomi: チョク,ジキ = honesty, frankness, simplicity, correctness, being straight, night duty",Guess the meaning of the Kunyomi reading,Text
"通,||とおる,とおす,かよう||","walk along, pass by, pass through, pass (exams), be knows as, be admissible, come in, be understood, reach, draw (on a piece), drain (as a sink), be consistent,let (someone) pass, pass (something","Onyomi: ツウ,ツ = pass, expert",Guess the meaning of the Kunyomi reading,Text
"弟,||おとうと||","younger brother","Onyomi: テイ,ダイ,デ = younger brother, faithful service to those older, brotherly affection",Guess the meaning of the Kunyomi reading,Text
"店,||みせ||","shop, store, booth","Onyomi: テン = shop, store",Guess the meaning of the Kunyomi reading,Text
"答,||こたえる,こたえ||","answer, respond, solve,solution","Onyomi: トウ = answer",Guess the meaning of the Kunyomi reading,Text
"東,||ひがし||","east","Onyomi: トウ = east",Guess the meaning of the Kunyomi reading,Text
"当,||あたる,あてる||","hit, strike, dash into, touch, shine on, guess right, be fulfilled, succeed, confront, lie (to the south), treat, fell out, undertake, be worth, correspond to, be related to, apply to, draw (a pr","Onyomi: トウ = right, appropriateness, fairness, himself, itself, at the time",Guess the meaning of the Kunyomi reading,Text
"刀,||かたな||","sword, blade","Onyomi: トウ = sword, saber, knife, engraving tool",Guess the meaning of the Kunyomi reading,Text
"同,||おなじ||","same, identical, equal, uniform, equivalent, similar, common (origin), changeless","Onyomi: ドウ = the same, the said, ibid",Guess the meaning of the Kunyomi reading,Text
"冬,||ふゆ||","winter","Onyomi: トウ = winter",Guess the meaning of the Kunyomi reading,Text
"頭,||あたま,かしら||","head, brain, mind, intellect, leader, top, head (of boil), idea, hair, point of view, consideration,leader, chief","Onyomi: トウ,ズ,ト = head, counter for large mammals",Guess the meaning of the Kunyomi reading,Text
"道,||みち||","road, path, lane, way, street, highway, route, journey, distance, course, way, means, duty, morality, moral doctrine, teachings, specialty, an art, reason, justice","Onyomi: ドウ,トウ = district, province, prefecture, road",Guess the meaning of the Kunyomi reading,Text
"読,||よむ||","read, peruse, understand, read (one's heart), guess, divine","Onyomi: ドク,トク,トウ = reading",Guess the meaning of the Kunyomi reading,Text
"内,||うち||","inside, interior, house, home, within, between, among, out of, mind, myself,inner","Onyomi: ナイ,ダイ = inside, interior, within, between, among,within, within the scope of",Guess the meaning of the Kunyomi reading,Text
"南,||みなみ||","south","Onyomi: ナン,ナ = south",Guess the meaning of the Kunyomi reading,Text
"馬,||うま,ま||","horse, horseflesh","Onyomi: バ = horse",Guess the meaning of the Kunyomi reading,Text
"買,||かう||","buy, invest in, incur, appreciate, call in (geisha)","Onyomi: バイ = buying",Guess the meaning of the Kunyomi reading,Text
"売,||うる,うれる||","sell, deal in, betray, deceive, impose on, tell on, pick (a quarrel),be in demand, enjoy a large sale, be well known","Onyomi: バイ = selling",Guess the meaning of the Kunyomi reading,Text
"麦,||むぎ||","wheat, barley, oats, rye","Onyomi: バク = wheat, barley, oats, rye",Guess the meaning of the Kunyomi reading,Text
"半,||なかば||","half, semi, middle, halfway, partly","Onyomi: ハン = half, odd number, semi, hemi, demi",Guess the meaning of the Kunyomi reading,Text
"父,||ちち||","father","Onyomi: フ = father",Guess the meaning of the Kunyomi reading,Text
"風,||かぜ,かざ||","wind, storm, breeze, draft, current of air, a cold","Onyomi: フウ,フ = wind, air, look, appearance, bearing, mien, deportment, manners, custom, trend, tone, tendency, way, fashion, manner, style, type, disposition, turn of mind, kind, vein, state, condition",Guess the meaning of the Kunyomi reading,Text
"分,||わける,わかれる,わかる,わかつ||","understand, comprehend, know, be known, be identified, be open to reason, be sensible, can tell (what will happen), appreciate, be announced, be discovered, recognize,divide, split, separate, iso","Onyomi: ブン,フン,ブ = dividing, part, segment, share, ration, rate, degree, one's lot, one's status, relation, duty, kind, lot,a minute of time, onesixtieth of a degree, onetenth of a momme,rate, part, percentage, one percent, thickness, odds, chance of winning, onetenth of a shaku, one quarter of a ryo",Guess the meaning of the Kunyomi reading,Text
"聞,||きく,きこえる||","hear, listen to, learn of, inquire, follow advice,be heard, sound, ring, seem, be well known, be reasonable","Onyomi: ブン,モン = hear, listen to, learn of, inquire, follow advice",Guess the meaning of the Kunyomi reading,Text
"米,||こめ||","rice","Onyomi: ベイ,マイ = rice, U.S.A.",Guess the meaning of the Kunyomi reading,Text
"母,||はは||","mother, cause, motive","Onyomi: ボ = mother, cause, motive",Guess the meaning of the Kunyomi reading,Text
"歩,||あるく,あゆむ||","walk, hike, step","Onyomi: ホ,ブ,フ = step, pace, foot soldier,rate, six feet square, tsubo, change of winning,pawn (in Japanese chess)",Guess the meaning of the Kunyomi reading,Text
"方,||かた||","direction, settlement, person","Onyomi: ホウ = direction, way, side, part, square, way, method, means, scheme, process",Guess the meaning of the Kunyomi reading,Text
"北,||きた||","north","Onyomi: ホク = north",Guess the meaning of the Kunyomi reading,Text
"妹,||いもうと||","younger sister","Onyomi: マイ = younger sister",Guess the meaning of the Kunyomi reading,Text
"鳴,||なく,なる,ならす||","(animals and birds) cry, bark, chirp, etc,sound, ring, roar, (thunder) rumbles, (clocks) strike, boom, resound, echo, be famous, (fingers) itch for, sonorous, ringing, squeaky,blow (a whistle), b","Onyomi: メイ = (animals and birds) cry, bark, chirp, etc,",Guess the meaning of the Kunyomi reading,Text
"明,||あかり,あかるい,あかるむ,あからむ,あきらか,あける,あく,あくる,あかす||","open, empty, vacate, leave (a space), clear (the table), make (a hole), reserve (a seat), stay away from, dawn, end, expire, be over, open, begin,be opened, start, commence, become vacant, become","Onyomi: メイ,ミョウ = clearness, shining, eyesight, discernment,next (week), tomorrow (morning)",Guess the meaning of the Kunyomi reading,Text
"毛,||け||","hair, fur, feather, down","Onyomi: モウ = hair, tenth of a rin",Guess the meaning of the Kunyomi reading,Text
"門,||かど||","gate, door","Onyomi: モン = gate, gateway, private school, class, counter for cannon",Guess the meaning of the Kunyomi reading,Text
"野,||の||","field, plain","Onyomi: ヤ = field, plain, the Opposition, civilian life, rustic",Guess the meaning of the Kunyomi reading,Text
"夜,||よ,よる||","evening, night, nighttime, at night","Onyomi: ヤ = night",Guess the meaning of the Kunyomi reading,Text
"友,||とも||","friend, companion, pal","Onyomi: ユウ = friend, companion, pal",Guess the meaning of the Kunyomi reading,Text
"用,||もちいる||","use, adopt (a method), employ","Onyomi: ヨウ = business, work, function, errand, engagement, use, service, expenses, call of nature,for, used for",Guess the meaning of the Kunyomi reading,Text
"来,||くる,きたる,きたす||","come, arrive, be due to, next, forthcoming,cause, bring about, produce,come to hand, approach, call on, come on (rain), set in, be due, become, grow, get, come from, be caused by, derive from","Onyomi: ライ = come,since (last month), for (ten days),next (year)",Guess the meaning of the Kunyomi reading,Text
"里,||さと||","village, hamlet, the country, parents' home","Onyomi: リ = village, a Japanese league, 2.44 miles",Guess the meaning of the Kunyomi reading,Text
"話,||はなす,はなし||","talk, speak, converse, tell, explain,chat, conversation, story, rumor, news, consultation, negotiations, facts, reasons","Onyomi: ワ = talk, speak, converse, tell, explain",Guess the meaning of the Kunyomi reading,Text
"万,||マン,バン||","ten thousand, myriad,fully, if by any chance","",Guess the meaning of the Onyomi reading,Text
"京,||キョウ,ケイ||","ten quadrillion, captital, metropolis, Kyoto","",Guess the meaning of the Onyomi reading,Text
"午,||ゴ||","11 a.m.1 p.m., 7th zodiac sign","",Guess the meaning of the Onyomi reading,Text
"台,||ダイ,タイ||","stand, pedestal, rack, table, dais, bench, block, holder, support, mounting, setting","",Guess the meaning of the Onyomi reading,Text
"地,||チ,ジ||","earth, land, ground, the surface of the earth, soil, place, region, territory, room, space, position, site, foundation,texture, weave, fabric, field (of a flag), disposition, respectability, acco","",Guess the meaning of the Onyomi reading,Text
"工,||コウ,ク||","artisan, mechanic, manufacture, work","",Guess the meaning of the Onyomi reading,Text
"才,||サイ||","ability, talent, aptitude, genius, acumen, intelligence, wit, cubic foot, year, age, time, occasion, opportunity, limit, vicinity","",Guess the meaning of the Onyomi reading,Text
"曜,||ヨウ||","day of the week, light, shining","",Guess the meaning of the Onyomi reading,Text
"毎,||マイ||","each, every, at an interval of, whenever,Apiece","",Guess the meaning of the Onyomi reading,Text
"汽,||キ||","vapor, steam","",Guess the meaning of the Onyomi reading,Text
"活,||カツ||","living, being helped, resuscitation","",Guess the meaning of the Onyomi reading,Text
"点,||テン||","point, mark, score, run, speck, stain, defect, a detail, standpoint, items, pieces, decimal point, vote","",Guess the meaning of the Onyomi reading,Text
"理,||リ||","reason, justice, truth, principle","",Guess the meaning of the Onyomi reading,Text
"画,||ガ,カク||","picture, drawing, painting, sketch, stroke (in a character)","",Guess the meaning of the Onyomi reading,Text
"番,||バン||","watch, guard, duty, number, order, size, game, round, turn, bout","",Guess the meaning of the Onyomi reading,Text
"科,||カ||","course, branch, department, faculty, school, college, arm (of defense), family (in biology)","",Guess the meaning of the Onyomi reading,Text
"算,||サン||","divining (block), calculation, number, abacus, plan, probability","",Guess the meaning of the Onyomi reading,Text
"絵,||カイ,エ||","picture, drawing, painting, sketch, illustration, cut, print","",Guess the meaning of the Onyomi reading,Text
"線,||セン||","line, track, route, wire","",Guess the meaning of the Onyomi reading,Text
"肉,||ニク||","flesh, muscles, meat, the flesh, seal pad, ink pad, thickness, succulence","",Guess the meaning of the Onyomi reading,Text
"茶,||チャ,サ||","tea, tea plant, tea leaves, light brown","",Guess the meaning of the Onyomi reading,Text
"週,||シュウ||","week","",Guess the meaning of the Onyomi reading,Text
"電,||デン||","electricity","",Guess the meaning of the Onyomi reading,Text
"間,||カン,ケン||","interval, space, between, among, discord, favorable opportunity, six feet","Kunyomi: あいだ,ま = space, interval, gap, between, among, midway, on the way, distance, time, period, relationship, room, pause, rest (in music), a while, leisure, luck, timing, harmony",Guess the meaning of the Onyomi reading,Text
"会,||カイ,エ||","Buddhist ceremony, understanding, meeting, assembly, party, association, club","Kunyomi: あう = meet, interview",Guess the meaning of the Onyomi reading,Text
"合,||ゴウ,ガッ,カッ||","onetenth","Kunyomi: あう,あわす,あわせる = fit, suit, agree with, match, be correct, pay, be profitable,join together, be opposite, face, unite, combine, connect, add up, mix, match, overlap, compare, check with",Guess the meaning of the Onyomi reading,Text
